dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001601,0.999999,0.000031,0.003125,0.156250,7.812500,0.001601
0.020000,-0.001585,0.999999,0.000047,0.000805,-0.116007,-13.612871,0.001585
0.020000,-0.001549,0.999999,0.000084,0.001811,0.050294,8.315085,0.001549
0.020000,-0.001484,0.999999,0.000148,0.003218,0.070387,1.004634,0.001484
0.020000,-0.001384,0.999999,0.000248,0.005027,0.090441,1.002714,0.001384
0.020000,-0.001239,0.999999,0.000393,0.007236,0.110433,0.999573,0.001239
0.020000,-0.001042,0.999999,0.000590,0.009843,0.130331,0.994905,0.001042
0.020000,-0.000785,1.000000,0.000847,0.012845,0.150099,0.988409,0.000785
0.020000,-0.000460,1.000000,0.001172,0.016238,0.169695,0.979786,0.000460
0.020000,-0.000060,1.000000,0.001572,0.020020,0.189069,0.968740,0.000060
0.020000,0.003735,0.999999,0.005367,0.189751,8.486564,414.874734,6.282762
0.020000,0.008809,0.999996,0.010441,0.253701,3.197471,-264.454642,6.282188
0.020000,0.014763,0.999988,0.016396,0.297721,2.201041,-49.821493,6.281515
0.020000,0.021664,0.999973,0.023296,0.345044,2.366151,8.255479,6.280738
0.020000,0.029585,0.999951,0.031217,0.396046,2.550065,9.195680,6.279850
0.020000,0.038592,0.999916,0.040224,0.450321,2.713779,8.185742,6.278843
0.020000,0.048754,0.999866,0.050386,0.508121,2.889992,8.810613,6.277711
0.020000,0.060141,0.999797,0.061773,0.569354,3.061652,8.583023,6.276449
0.020000,0.072819,0.999702,0.074452,0.633956,3.230082,8.421489,6.275052
0.020000,0.086857,0.999577,0.088491,0.701917,3.398053,8.398562,6.273514
0.020000,0.102321,0.999415,0.103955,0.773228,3.565581,8.376370,6.271830
0.020000,0.119277,0.999207,0.120913,0.847882,3.732680,8.354974,6.269997
0.020000,0.137793,0.998944,0.139430,0.925869,3.899369,8.334437,6.268011
0.020000,0.157932,0.998617,0.159572,1.007073,4.060166,8.039869,6.265870
0.020000,0.179758,0.998214,0.181402,1.091514,4.222082,8.095799,6.263571
0.020000,0.203336,0.997722,0.204985,1.179162,4.382385,8.015160,6.261112
0.020000,0.228730,0.997128,0.230386,1.270016,4.542694,8.015419,6.258493
0.020000,0.256000,0.996417,0.257665,1.363954,4.696885,7.709546,6.255715
0.020000,0.285207,0.995571,0.286884,1.460964,4.850499,7.680703,6.252776
0.020000,0.316411,0.994573,0.318105,1.561035,5.003576,7.653870,6.249680
0.020000,0.349674,0.993404,0.351388,1.664158,5.156155,7.628926,6.246429
0.020000,0.385051,0.992043,0.386791,1.770163,5.300248,7.204651,6.243025
0.020000,0.422567,0.990469,0.424340,1.877454,5.364538,3.214504,6.239477
0.020000,0.462207,0.988662,0.464021,1.984038,5.329217,-1.766022,6.235796
0.020000,0.503959,0.986602,0.505824,2.090156,5.305899,-1.165927,6.231992
0.020000,0.547810,0.984268,0.549737,2.195668,5.275564,-1.516719,6.228079
0.020000,0.593746,0.981642,0.595748,2.300538,5.243520,-1.602241,6.224069
0.020000,0.641751,0.978701,0.643843,2.404750,5.210601,-1.645926,6.219973
0.020000,0.691813,0.975427,0.694012,2.508458,5.185412,-1.259436,6.215805
0.020000,0.743915,0.971800,0.746240,2.611370,5.145585,-1.991387,6.211577
0.020000,0.798008,0.967803,0.800480,2.712031,5.033027,-5.627867,6.207304
0.020000,0.854010,0.963424,0.856654,2.808672,4.832066,-10.048066,6.203006
0.020000,0.911840,0.958651,0.914680,2.901321,4.632481,-9.979257,6.198698
0.020000,0.971416,0.953476,0.974481,2.990035,4.435698,-9.839145,6.194398
0.020000,1.032657,0.947892,1.035976,3.074752,4.235854,-9.992219,6.190121
0.020000,1.095485,0.941893,1.099089,3.155672,4.045967,-9.494306,6.185883
0.020000,1.159820,0.935476,1.163744,3.232721,3.852457,-9.675520,6.181697
0.020000,1.225586,0.928641,1.229864,3.306011,3.664520,-9.396854,6.177578
0.020000,1.292704,0.921388,1.297373,3.375426,3.470721,-9.689965,6.173537
0.020000,1.361100,0.913721,1.366197,3.441209,3.289162,-9.077948,6.169588
0.020000,1.430699,0.905644,1.436263,3.503290,3.104057,-9.255228,6.165741
0.020000,1.501426,0.897164,1.507497,3.561717,2.921367,-9.134520,6.162007
0.020000,1.573211,0.888289,1.579828,3.616535,2.740898,-9.023414,6.158395
0.020000,1.645980,0.879031,1.653183,3.667785,2.562470,-8.921421,6.154915
0.020000,1.719662,0.869402,1.727492,3.715445,2.383006,-8.973188,6.151574
0.020000,1.794188,0.859414,1.802685,3.759635,2.209510,-8.674809,6.148381
0.020000,1.869491,0.849083,1.878693,3.800384,2.037438,-8.603623,6.145343
0.020000,1.945500,0.838426,1.955445,3.837611,1.861377,-8.803047,6.142465
0.020000,2.022149,0.827461,2.032875,3.871496,1.694248,-8.356444,6.139754
0.020000,2.099372,0.816207,2.110914,3.901941,1.522223,-8.601262,6.137215
0.020000,2.177104,0.804684,2.189495,3.929083,1.357092,-8.256518,6.134853
0.020000,2.255280,0.792914,2.268552,3.952815,1.186605,-8.524366,6.132671
0.020000,2.333835,0.780918,2.348018,3.973305,1.024514,-8.104567,6.130674
0.020000,2.412707,0.768721,2.427827,3.990488,0.859155,-8.267918,6.128864
0.020000,2.491833,0.756345,2.507915,4.004378,0.694504,-8.232568,6.127245
0.020000,2.571151,0.743816,2.588216,4.015059,0.534036,-8.023406,6.125819
0.020000,2.650599,0.731158,2.668666,4.022510,0.372545,-8.074517,6.124588
0.020000,2.730116,0.718396,2.749201,4.026747,0.211839,-8.035329,6.123553
0.020000,2.809642,0.705557,2.829757,4.027792,0.052260,-7.978954,6.122716
0.020000,2.889117,0.692666,2.910271,4.025681,-0.105527,-7.889356,6.122077
0.020000,2.968481,0.679748,2.990679,4.020417,-0.263209,-7.884084,6.121638
0.020000,3.047675,0.666831,3.070919,4.012017,-0.420018,-7.840468,6.121398
0.020000,3.126670,0.653935,3.150961,4.002059,-0.497891,-3.893623,6.121356
0.020000,3.205470,0.641075,3.230803,3.992107,-0.497592,0.014932,6.121514
0.020000,3.284076,0.628268,3.310446,3.982143,-0.498189,-0.029816,6.121872
0.020000,3.362491,0.615529,3.389889,3.972152,-0.499575,-0.069334,6.122429
0.020000,3.440717,0.602873,3.469131,3.962118,-0.501676,-0.105043,6.123186
0.020000,3.518754,0.590317,3.548172,3.952033,-0.504263,-0.129330,6.124146
0.020000,3.596603,0.577875,3.627009,3.941888,-0.507238,-0.148762,6.125308
0.020000,3.674267,0.565564,3.705642,3.931648,-0.512023,-0.239245,6.126675
0.020000,3.751744,0.553399,3.784069,3.921307,-0.517052,-0.251471,6.128249
0.020000,3.829034,0.541397,3.862286,3.910850,-0.522834,-0.289076,6.130032
0.020000,3.906138,0.529572,3.940291,3.900262,-0.529381,-0.327371,6.132027
0.020000,3.983054,0.517942,4.018082,3.889541,-0.536091,-0.335509,6.134236
0.020000,4.059782,0.506521,4.095655,3.878661,-0.543998,-0.395303,6.136663
0.020000,4.136320,0.495328,4.173007,3.867587,-0.553691,-0.484695,6.139311
0.020000,4.212665,0.484378,4.250133,3.856316,-0.563530,-0.491922,6.142185
0.020000,4.288815,0.473688,4.327030,3.844831,-0.574243,-0.535645,6.145288
0.020000,4.364767,0.463275,4.403692,3.833114,-0.585859,-0.580806,6.148626
0.020000,4.440517,0.453157,4.480115,3.821146,-0.598409,-0.627531,6.152203
0.020000,4.516061,0.443350,4.556293,3.808907,-0.611928,-0.675945,6.156025
0.020000,4.591395,0.433873,4.632220,3.796378,-0.626452,-0.726167,6.160097
0.020000,4.666513,0.424743,4.707891,3.783538,-0.642018,-0.778311,6.164426
0.020000,4.741409,0.415979,4.783298,3.770365,-0.658668,-0.832482,6.169019
0.020000,4.816077,0.407599,4.858435,3.756836,-0.676443,-0.888772,6.173882
0.020000,4.890510,0.399622,4.933294,3.742928,-0.695388,-0.947257,6.179024
