dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000058,0.005829,0.291445,14.572229,0.001597
0.020000,0.000000,0.000000,0.000291,0.017487,0.582889,14.572229,0.001567
0.020000,0.000000,0.000000,0.000816,0.034973,0.874334,14.572229,0.001500
0.020000,0.000000,0.000000,0.001749,0.058289,1.165778,14.572229,0.001380
0.020000,0.000000,0.000000,0.003206,0.087433,1.457223,14.572229,0.001192
0.020000,0.000000,0.000000,0.005304,0.122407,1.748667,14.572229,0.000923
0.020000,0.000000,0.000000,0.008160,0.163209,2.040112,14.572229,0.000556
0.020000,0.000000,0.000000,0.011891,0.209840,2.331557,14.572229,0.000078
0.020000,0.004111,-0.000001,0.016612,0.262300,2.623001,14.572229,6.282660
0.020000,0.009940,-0.000006,0.022441,0.320589,2.914446,14.572229,6.281916
0.020000,0.016993,-0.000018,0.029494,0.384707,3.205890,14.572229,6.281020
0.020000,0.025388,-0.000041,0.037888,0.454654,3.497335,14.572229,6.279958
0.020000,0.035238,-0.000079,0.047739,0.530429,3.788779,14.572229,6.278719
0.020000,0.046662,-0.000138,0.059163,0.612034,4.080224,14.572229,6.277289
0.020000,0.059777,-0.000226,0.072278,0.699467,4.371669,14.572229,6.275659
0.020000,0.074699,-0.000352,0.087200,0.792729,4.663113,14.572229,6.273819
0.020000,0.091543,-0.000527,0.104046,0.891820,4.954558,14.572229,6.271760
0.020000,0.110427,-0.000765,0.122931,0.996740,5.246002,14.572229,6.269474
0.020000,0.131467,-0.001080,0.143974,1.107489,5.537447,14.572229,6.266956
0.020000,0.154779,-0.001490,0.167289,1.224067,5.828891,14.572229,6.264200
0.020000,0.180479,-0.002017,0.192995,1.346474,6.120336,14.572229,6.261203
0.020000,0.208683,-0.002683,0.221206,1.474710,6.411781,14.572229,6.257964
0.020000,0.239507,-0.003514,0.252041,1.608774,6.703225,14.572229,6.254482
0.020000,0.273065,-0.004541,0.285616,1.748667,6.994670,14.572229,6.250759
0.020000,0.309474,-0.005794,0.322046,1.894390,7.286114,14.572229,6.246800
0.020000,0.348848,-0.007310,0.361450,2.045941,7.577559,14.572229,6.242609
0.020000,0.391303,-0.009128,0.403942,2.203321,7.869003,14.572229,6.238196
0.020000,0.436891,-0.011286,0.449582,2.360701,7.869003,-0.000000,6.233575
0.020000,0.485613,-0.013823,0.498370,2.518081,7.869003,0.000000,6.228770
0.020000,0.537464,-0.016778,0.550306,2.675461,7.869003,-0.000000,6.223804
0.020000,0.592441,-0.020188,0.605389,2.832841,7.869003,0.000000,6.218702
0.020000,0.650541,-0.024092,0.663619,2.990221,7.869003,-0.000000,6.213489
0.020000,0.711759,-0.028530,0.724998,3.147601,7.869003,0.000000,6.208189
0.020000,0.776090,-0.033538,0.789523,3.304981,7.869003,-0.000000,6.202828
0.020000,0.843530,-0.039153,0.857197,3.462362,7.869003,0.000000,6.197433
0.020000,0.914074,-0.045411,0.928018,3.619742,7.869003,-0.000000,6.192028
0.020000,0.987717,-0.052345,1.001986,3.777122,7.869003,0.000000,6.186639
0.020000,1.064453,-0.059985,1.079103,3.934502,7.869003,0.000000,6.181293
0.020000,1.144279,-0.068362,1.159367,4.091882,7.869003,-0.000000,6.176014
0.020000,1.227188,-0.077501,1.242778,4.249262,7.869003,0.000000,6.170828
0.020000,1.313176,-0.087427,1.329337,4.406642,7.869003,0.000000,6.165761
0.020000,1.402238,-0.098158,1.419044,4.564022,7.869003,-0.000000,6.160837
0.020000,1.494371,-0.109712,1.511898,4.721402,7.869003,0.000000,6.156083
0.020000,1.589570,-0.122101,1.607900,4.878782,7.869003,0.000000,6.151522
0.020000,1.687832,-0.135334,1.707049,5.036162,7.869003,0.000000,6.147179
0.020000,1.789156,-0.149415,1.809346,5.193542,7.869003,0.000000,6.143081
0.020000,1.893539,-0.164344,1.914791,5.350922,7.869003,-0.000000,6.139252
0.020000,2.000980,-0.180113,2.023383,5.508302,7.869003,0.000000,6.135717
0.020000,2.111480,-0.196713,2.135123,5.665683,7.869003,-0.000000,6.132503
0.020000,2.225040,-0.214126,2.250010,5.823063,7.869003,0.000000,6.129637
0.020000,2.341663,-0.232329,2.368045,5.980443,7.869003,-0.000000,6.127145
0.020000,2.461353,-0.251291,2.489228,6.137823,7.869003,0.000000,6.125057
0.020000,2.584115,-0.270976,2.613558,6.295203,7.869003,0.000000,6.123402
0.020000,2.709956,-0.291339,2.741036,6.452583,7.869003,0.000000,6.122211
0.020000,2.838884,-0.312326,2.871662,6.609963,7.869003,-0.000000,6.121519
0.020000,2.970853,-0.333866,3.005376,6.761514,7.577559,-14.572229,6.121361
0.020000,3.105758,-0.355867,3.142064,6.907236,7.286114,-14.572229,6.121774
0.020000,3.243499,-0.378230,3.281608,7.047130,6.994670,-14.572229,6.122798
0.020000,3.383974,-0.400843,3.423891,7.181194,6.703225,-14.572229,6.124471
0.020000,3.527084,-0.423584,3.568797,7.309430,6.411781,-14.572229,6.126838
0.020000,3.672733,-0.446320,3.716210,7.431837,6.120336,-14.572229,6.129943
0.020000,3.820823,-0.468907,3.866012,7.548414,5.828891,-14.572229,6.133834
0.020000,3.971257,-0.491190,4.018088,7.659163,5.537447,-14.572229,6.138564
