dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001601,-0.999999,0.000031,0.003125,0.156250,7.812500,0.001601
0.020000,0.001585,-0.999999,0.000047,0.000805,-0.116007,-13.612871,0.001585
0.020000,0.001549,-0.999999,0.000084,0.001811,0.050294,8.315085,0.001549
0.020000,0.001484,-0.999999,0.000148,0.003218,0.070387,1.004634,0.001484
0.020000,0.001384,-0.999999,0.000248,0.005027,0.090441,1.002714,0.001384
0.020000,0.001239,-0.999999,0.000393,0.007236,0.110433,0.999573,0.001239
0.020000,0.001042,-0.999999,0.000590,0.009843,0.130331,0.994905,0.001042
0.020000,0.000785,-1.000000,0.000847,0.012845,0.150099,0.988409,0.000785
0.020000,0.000460,-1.000000,0.001172,0.016238,0.169695,0.979786,0.000460
0.020000,0.000060,-1.000000,0.001572,0.020020,0.189069,0.968740,0.000060
0.020000,0.002888,-1.000001,0.004400,0.141402,6.069089,294.000956,6.282762
0.020000,0.006814,-1.000003,0.008326,0.196280,2.743903,-166.259274,6.282188
0.020000,0.011424,-1.000010,0.012936,0.230498,1.710938,-51.648254,6.281515
0.020000,0.016771,-1.000021,0.018283,0.267354,1.842776,6.591883,6.280738
0.020000,0.022914,-1.000038,0.024426,0.307159,1.990268,7.374621,6.279850
0.020000,0.029906,-1.000065,0.031418,0.349626,2.123351,6.654125,6.278843
0.020000,0.037806,-1.000104,0.039318,0.394977,2.267535,7.209228,6.277711
0.020000,0.046669,-1.000158,0.048181,0.443173,2.409777,7.112104,6.276449
0.020000,0.056553,-1.000232,0.058065,0.494198,2.551268,7.074536,6.275052
0.020000,0.067514,-1.000329,0.069027,0.548085,2.694342,7.153696,6.273514
0.020000,0.079611,-1.000456,0.081125,0.604869,2.839199,7.242846,6.271830
0.020000,0.092901,-1.000619,0.094416,0.664590,2.986043,7.342233,6.269997
0.020000,0.107446,-1.000826,0.108962,0.727291,3.135085,7.452051,6.268011
0.020000,0.123302,-1.001083,0.124821,0.792935,3.282198,7.355685,6.265870
0.020000,0.140531,-1.001402,0.142053,0.861597,3.433066,7.543380,6.263571
0.020000,0.159194,-1.001791,0.160719,0.933311,3.585727,7.633071,6.261112
0.020000,0.179351,-1.002262,0.180882,1.008144,3.741642,7.795739,6.258493
0.020000,0.201065,-1.002829,0.202603,1.086066,3.896114,7.723606,6.255715
0.020000,0.224398,-1.003504,0.225946,1.167140,4.053677,7.878152,6.252776
0.020000,0.249414,-1.004304,0.250975,1.251430,4.214522,8.042230,6.249680
0.020000,0.276177,-1.005245,0.277755,1.339007,4.378829,8.215337,6.246429
0.020000,0.304752,-1.006345,0.306351,1.429812,4.540274,8.072290,6.243025
0.020000,0.335178,-1.007621,0.336804,1.522630,4.640896,5.031071,6.239477
0.020000,0.367463,-1.009093,0.369121,1.615895,4.663233,1.116843,6.235796
0.020000,0.401618,-1.010778,0.403318,1.709834,4.696936,1.685170,6.231992
0.020000,0.437654,-1.012696,0.439405,1.804361,4.726385,1.472452,6.228079
0.020000,0.475582,-1.014865,0.477395,1.899475,4.755666,1.464038,6.224069
0.020000,0.515411,-1.017304,0.517298,1.995180,4.785266,1.480004,6.219973
0.020000,0.557154,-1.020034,0.559131,2.091624,4.822188,1.846093,6.215805
0.020000,0.600820,-1.023074,0.602902,2.188576,4.847637,1.272464,6.211577
0.020000,0.646392,-1.026441,0.648599,2.284818,4.812071,-1.778306,6.207304
0.020000,0.693823,-1.030151,0.696175,2.378825,4.700372,-5.584930,6.203006
0.020000,0.743067,-1.034215,0.745587,2.470564,4.586943,-5.671445,6.198698
0.020000,0.794076,-1.038646,0.796787,2.560020,4.472782,-5.708075,6.194398
0.020000,0.846798,-1.043454,0.849728,2.647073,4.352675,-6.005337,6.190121
0.020000,0.901187,-1.048647,0.904365,2.731827,4.237675,-5.749996,6.185883
0.020000,0.957193,-1.054233,0.960648,2.814147,4.116026,-6.082453,6.181697
0.020000,1.014764,-1.060217,1.018529,2.894060,3.995612,-6.020724,6.177578
0.020000,1.073847,-1.066601,1.077957,2.971388,3.866403,-6.460427,6.173537
0.020000,1.134394,-1.073389,1.138882,3.046273,3.744285,-6.105887,6.169588
0.020000,1.196349,-1.080579,1.201254,3.118582,3.615456,-6.441460,6.165741
0.020000,1.259662,-1.088170,1.265020,3.188286,3.485188,-6.513390,6.162007
0.020000,1.324277,-1.096158,1.330127,3.255354,3.353400,-6.589414,6.158395
0.020000,1.390141,-1.104538,1.396522,3.319755,3.220031,-6.668482,6.154915
0.020000,1.457199,-1.113302,1.464150,3.381403,3.082388,-6.882128,6.151574
0.020000,1.525396,-1.122442,1.532957,3.440342,2.946948,-6.771991,6.148381
0.020000,1.594678,-1.131946,1.602888,3.496537,2.809753,-6.859771,6.145343
0.020000,1.664987,-1.141804,1.673885,3.549855,2.665909,-7.192198,6.142465
0.020000,1.736269,-1.152002,1.745893,3.600404,2.527461,-6.922400,6.139754
0.020000,1.808468,-1.162524,1.818853,3.648039,2.381765,-7.284788,6.137215
0.020000,1.881526,-1.173354,1.892710,3.692837,2.239909,-7.092790,6.134853
0.020000,1.955386,-1.184475,1.967403,3.734649,2.090554,-7.467784,6.132671
0.020000,2.029993,-1.195867,2.042875,3.773584,1.946754,-7.190002,6.130674
0.020000,2.105289,-1.207511,2.119066,3.809536,1.797640,-7.455666,6.128864
0.020000,2.181215,-1.219387,2.195915,3.842477,1.647037,-7.530154,6.127245
0.020000,2.257716,-1.231471,2.273364,3.872445,1.498396,-7.432037,6.125819
0.020000,2.334732,-1.243742,2.351352,3.899382,1.346827,-7.578482,6.124588
0.020000,2.412206,-1.256175,2.429817,3.923264,1.194123,-7.635200,6.123553
0.020000,2.490079,-1.268748,2.508699,3.944078,1.040687,-7.671803,6.122716
0.020000,2.568293,-1.281435,2.587935,3.961823,0.887237,-7.672496,6.122077
0.020000,2.646790,-1.294211,2.667464,3.976466,0.732169,-7.753407,6.121638
0.020000,2.725509,-1.307051,2.747224,3.987991,0.576261,-7.795372,6.121398
0.020000,2.804423,-1.319934,2.827183,3.997945,0.497715,-3.927323,6.121356
0.020000,2.883535,-1.332844,2.907341,4.007900,0.497717,0.000128,6.121514
0.020000,2.962846,-1.345766,2.987698,4.017865,0.498257,0.026989,6.121872
0.020000,3.042361,-1.358684,3.068255,4.027854,0.499439,0.059097,6.122429
0.020000,3.122082,-1.371581,3.149013,4.037881,0.501346,0.095352,6.123186
0.020000,3.202013,-1.384443,3.229972,4.047965,0.504224,0.143890,6.124146
0.020000,3.282159,-1.397251,3.311135,4.058129,0.508194,0.198499,6.125308
0.020000,3.362523,-1.409990,3.392502,4.068365,0.511810,0.180808,6.126675
0.020000,3.443109,-1.422643,3.474076,4.078699,0.516699,0.244457,6.128249
0.020000,3.523924,-1.435193,3.555859,4.089147,0.522370,0.283535,6.130032
0.020000,3.604971,-1.447623,3.637854,4.099723,0.528839,0.323467,6.132027
0.020000,3.686256,-1.459914,3.720063,4.110459,0.536782,0.397150,6.134236
0.020000,3.767785,-1.472048,3.802490,4.121362,0.545156,0.418707,6.136663
0.020000,3.849564,-1.484008,3.885139,4.132429,0.553361,0.410227,6.139311
0.020000,3.931598,-1.495774,3.968012,4.143693,0.563186,0.491272,6.142185
0.020000,4.013894,-1.507327,4.051116,4.155171,0.573916,0.536462,6.145288
0.020000,4.096460,-1.518646,4.134454,4.166883,0.585575,0.582948,6.148626
0.020000,4.179301,-1.529712,4.218030,4.178847,0.598190,0.630789,6.152203
0.020000,4.262425,-1.540502,4.301852,4.191082,0.611791,0.680041,6.156025
0.020000,4.345840,-1.550996,4.385924,4.203611,0.626406,0.730752,6.160097
0.020000,4.429553,-1.561170,4.470253,4.216452,0.642065,0.782965,6.164426
0.020000,4.513572,-1.571002,4.554846,4.229628,0.658800,0.836710,6.169019
0.020000,4.597906,-1.580466,4.639709,4.243161,0.676640,0.892009,6.173882
