dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.000000,25.000000,0.000058,0.005838,0.291893,14.594642,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,-0.291893,-29.189283,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,0.000000,14.594642,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,0.000000,0.000000,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,0.000000,0.000000,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,0.000000,0.000000,3.141593
0.020000,42.000000,25.000000,0.000058,0.000000,0.000000,0.000000,3.141593
0.020000,41.997091,25.000000,0.002968,0.145461,7.273069,363.653453,3.141593
0.020000,41.992362,25.000000,0.007696,0.236433,4.548591,-136.223917,3.141593
0.020000,41.986524,25.000000,0.013534,0.291893,2.772982,-88.780440,3.141593
0.020000,41.979460,25.000000,0.020598,0.353190,3.064875,14.594642,3.141593
0.020000,41.971054,25.000000,0.029004,0.420326,3.356768,14.594642,3.141593
0.020000,41.961188,25.000000,0.038870,0.493299,3.648660,14.594642,3.141593
0.020000,41.949746,25.000000,0.050313,0.572110,3.940553,14.594642,3.141593
0.020000,41.936611,25.000000,0.063448,0.656759,4.232446,14.594642,3.141593
0.020000,41.921666,25.000000,0.078393,0.747246,4.524339,14.594642,3.141593
0.020000,41.904794,25.000000,0.095264,0.843570,4.816232,14.594642,3.141593
0.020000,41.885880,25.000000,0.114179,0.945733,5.108125,14.594642,3.141593
0.020000,41.864805,25.000000,0.135253,1.053733,5.400017,14.594642,3.141593
0.020000,41.841454,25.000000,0.158605,1.167571,5.691910,14.594642,3.141593
0.020000,41.815709,25.000000,0.184350,1.287247,5.983803,14.594642,3.141593
0.020000,41.787453,25.000000,0.212605,1.412761,6.275696,14.594642,3.141593
0.020000,41.756571,25.000000,0.243487,1.544113,6.567589,14.594642,3.141593
0.020000,41.722945,25.000000,0.277113,1.681303,6.859482,14.594642,3.141593
0.020000,41.686458,25.000000,0.313600,1.824330,7.151374,14.594642,3.141593
0.020000,41.646995,25.000000,0.353064,1.973196,7.443267,14.594642,3.141593
0.020000,41.604437,25.000000,0.395622,2.127899,7.735160,14.594642,3.141593
0.020000,41.558726,25.000000,0.441332,2.285521,7.881107,7.297321,3.141593
0.020000,41.509863,25.000000,0.490195,2.443143,7.881107,0.000000,3.141593
0.020000,41.457848,25.000000,0.542210,2.600765,7.881107,-0.000000,3.141593
0.020000,41.402680,25.000000,0.597378,2.758387,7.881107,0.000000,3.141593
0.020000,41.344360,25.000000,0.655698,2.916009,7.881107,0.000000,3.141593
0.020000,41.282887,25.000000,0.717171,3.073632,7.881107,0.000000,3.141593
0.020000,41.218262,25.000000,0.781796,3.231254,7.881107,0.000000,3.141593
0.020000,41.150485,25.000000,0.849574,3.388876,7.881107,0.000000,3.141593
0.020000,41.079555,25.000000,0.920504,3.546498,7.881107,0.000000,3.141593
0.020000,41.005472,25.000000,0.994586,3.704120,7.881107,-0.000000,3.141593
0.020000,40.928238,25.000000,1.071821,3.861742,7.881107,0.000000,3.141593
0.020000,40.847850,25.000000,1.152208,4.019364,7.881107,0.000000,3.141593
0.020000,40.764311,25.000000,1.235748,4.176986,7.881107,0.000000,3.141593
0.020000,40.677618,25.000000,1.322440,4.334609,7.881107,0.000000,3.141593
0.020000,40.587774,25.000000,1.412285,4.492231,7.881107,0.000000,3.141593
0.020000,40.494835,25.000000,1.505223,4.646934,7.735160,-7.297321,3.141593
0.020000,40.398919,25.000000,1.601139,4.795799,7.443267,-14.594642,3.141593
0.020000,40.300143,25.000000,1.699916,4.938827,7.151374,-14.594642,3.141593
0.020000,40.198622,25.000000,1.801436,5.076016,6.859482,-14.594642,3.141593
0.020000,40.094475,25.000000,1.905583,5.207368,6.567589,-14.594642,3.141593
0.020000,39.987817,25.000000,2.012241,5.332882,6.275696,-14.594642,3.141593
0.020000,39.878766,25.000000,2.121292,5.452558,5.983803,-14.594642,3.141593
0.020000,39.767438,25.000000,2.232620,5.566396,5.691910,-14.594642,3.141593
0.020000,39.653950,25.000000,2.346108,5.674397,5.400017,-14.594642,3.141593
0.020000,39.538419,25.000000,2.461639,5.776559,5.108125,-14.594642,3.141593
0.020000,39.420961,25.000000,2.579097,5.872884,4.816232,-14.594642,3.141593
0.020000,39.301694,25.000000,2.698364,5.963371,4.524339,-14.594642,3.141593
0.020000,39.180734,25.000000,2.819325,6.048020,4.232446,-14.594642,3.141593
0.020000,39.058197,25.000000,2.941861,6.126831,3.940553,-14.594642,3.141593
0.020000,38.934201,25.000000,3.065857,6.199804,3.648660,-14.594642,3.141593
0.020000,38.808862,25.000000,3.191196,6.266939,3.356768,-14.594642,3.141593
0.020000,38.682297,25.000000,3.317761,6.328237,3.064875,-14.594642,3.141593
0.020000,38.554623,25.000000,3.445435,6.383696,2.772982,-14.594642,3.141593
0.020000,38.425957,25.000000,3.574101,6.433318,2.481089,-14.594642,3.141593
0.020000,38.296415,25.000000,3.703643,6.477102,2.189196,-14.594642,3.141593
0.020000,38.166114,25.000000,3.833944,6.515048,1.897303,-14.594642,3.141593
0.020000,38.035171,25.000000,3.964887,6.547156,1.605411,-14.594642,3.141593
0.020000,37.903702,25.000000,4.096356,6.573427,1.313518,-14.594642,3.141593
0.020000,37.771825,25.000000,4.228233,6.593859,1.021625,-14.594642,3.141593
0.020000,37.639656,25.000000,4.360402,6.608454,0.729732,-14.594642,3.141593
0.020000,37.507312,25.000000,4.492746,6.617211,0.437839,-14.594642,3.141593
0.020000,37.374965,25.000000,4.625093,6.617335,0.006199,-21.582002,3.141593
0.020000,37.242789,25.000000,4.757270,6.608826,-0.425441,-21.582002,3.141593
0.020000,37.110899,25.000000,4.889159,6.594479,-0.717334,-14.594642,3.141593
0.020000,36.979413,25.000000,5.020645,6.574295,-1.009227,-14.594642,3.141593
0.020000,36.848448,25.000000,5.151611,6.548272,-1.301119,-14.594642,3.141593
0.020000,36.718120,25.000000,5.281939,6.516412,-1.593012,-14.594642,3.141593
0.020000,36.588545,25.000000,5.411513,6.478714,-1.884905,-14.594642,3.141593
0.020000,36.459842,25.000000,5.540217,6.435178,-2.176798,-14.594642,3.141593
0.020000,36.332126,25.000000,5.667933,6.385804,-2.468691,-14.594642,3.141593
0.020000,36.205514,25.000000,5.794545,6.330592,-2.760584,-14.594642,3.141593
0.020000,36.080123,25.000000,5.919935,6.269543,-3.052476,-14.594642,3.141593
0.020000,35.956070,25.000000,6.043988,6.202655,-3.344369,-14.594642,3.141593
0.020000,35.833471,25.000000,6.166587,6.129930,-3.636262,-14.594642,3.141593
0.020000,35.712444,25.000000,6.287614,6.051367,-3.928155,-14.594642,3.141593
0.020000,35.593105,25.000000,6.406954,5.966966,-4.220048,-14.594642,3.141593
0.020000,35.475570,25.000000,6.524488,5.876727,-4.511941,-14.594642,3.141593
0.020000,35.359957,25.000000,6.640101,5.780651,-4.803833,-14.594642,3.141593
0.020000,35.246382,25.000000,6.753676,5.678736,-5.095726,-14.594642,3.141593
0.020000,35.134963,25.000000,6.865096,5.570984,-5.387619,-14.594642,3.141593
0.020000,35.025815,25.000000,6.974244,5.457394,-5.679512,-14.594642,3.141593
0.020000,34.919055,25.000000,7.081003,5.337965,-5.971405,-14.594642,3.141593
0.020000,34.814801,25.000000,7.185257,5.212699,-6.263298,-14.594642,3.141593
0.020000,34.713170,25.000000,7.286889,5.081596,-6.555190,-14.594642,3.141593
0.020000,34.614276,25.000000,7.385782,4.944654,-6.847083,-14.594642,3.141593
0.020000,34.518239,25.000000,7.481819,4.801874,-7.138976,-14.594642,3.141593
0.020000,34.425174,25.000000,7.574885,4.653257,-7.430869,-14.594642,3.141593
0.020000,34.335198,25.000000,7.664861,4.498802,-7.722762,-14.594642,3.141593
0.020000,34.248372,25.000000,7.751687,4.341304,-7.874907,-7.607281,3.141593
0.020000,34.164698,25.000000,7.835360,4.183682,-7.881107,-0.309960,3.141593
0.020000,34.084177,25.000000,7.915881,4.026059,-7.881107,0.000000,3.141593
0.020000,34.006808,25.000000,7.993250,3.868437,-7.881107,-0.000000,3.141593
0.020000,33.932592,25.000000,8.067467,3.710815,-7.881107,0.000000,3.141593
0.020000,33.861528,25.000000,8.138530,3.553193,-7.881107,0.000000,3.141593
0.020000,33.793617,25.000000,8.206442,3.395571,-7.881107,0.000000,3.141593
0.020000,33.728858,25.000000,8.271201,3.237949,-7.881107,0.000000,3.141593
0.020000,33.667251,25.000000,8.332807,3.080327,-7.881107,-0.000000,3.141593
0.020000,33.608797,25.000000,8.391261,2.922705,-7.881107,0.000000,3.141593
0.020000,33.553495,25.000000,8.446563,2.765082,-7.881107,0.000000,3.141593
0.020000,33.501346,25.000000,8.498712,2.607460,-7.881107,0.000000,3.141593
0.020000,33.452349,25.000000,8.547709,2.449838,-7.881107,-0.000000,3.141593
0.020000,33.406505,25.000000,8.593553,2.292216,-7.881107,0.000000,3.141593
0.020000,33.363813,25.000000,8.636245,2.134594,-7.881107,0.000000,3.141593
0.020000,33.324218,25.000000,8.675841,1.979767,-7.741359,6.987361,3.141593
0.020000,33.287605,25.000000,8.712454,1.830653,-7.455666,14.284682,3.141593
0.020000,33.253857,25.000000,8.746201,1.687378,-7.163773,14.594642,3.141593
0.020000,33.222858,25.000000,8.777200,1.549940,-6.871880,14.594642,3.141593
0.020000,33.194492,25.000000,8.805567,1.418341,-6.579987,14.594642,3.141593
0.020000,33.168640,25.000000,8.831418,1.292579,-6.288094,14.594642,3.141593
0.020000,33.145187,25.000000,8.854871,1.172655,-5.996201,14.594642,3.141593
0.020000,33.124016,25.000000,8.876043,1.058569,-5.704309,14.594642,3.141593
0.020000,33.105009,25.000000,8.895049,0.950320,-5.412416,14.594642,3.141593
0.020000,33.088051,25.000000,8.912007,0.847910,-5.120523,14.594642,3.141593
0.020000,33.073024,25.000000,8.927034,0.751337,-4.828630,14.594642,3.141593
0.020000,33.059812,25.000000,8.940246,0.660602,-4.536737,14.594642,3.141593
0.020000,33.048298,25.000000,8.951760,0.575705,-4.244844,14.594642,3.141593
0.020000,33.038365,25.000000,8.961693,0.496646,-3.952952,14.594642,3.141593
0.020000,33.029897,25.000000,8.970162,0.423425,-3.661059,14.594642,3.141593
0.020000,33.022776,25.000000,8.977283,0.356042,-3.369166,14.594642,3.141593
0.020000,33.016886,25.000000,8.983173,0.294496,-3.077273,14.594642,3.141593
0.020000,33.012110,25.000000,8.987948,0.238789,-2.785380,14.594642,3.141593
0.020000,33.008332,25.000000,8.991727,0.188919,-2.493487,14.594642,3.141593
0.020000,33.005434,25.000000,8.994624,0.144887,-2.201595,14.594642,3.141593
0.020000,33.003300,25.000000,8.996758,0.106693,-1.909702,14.594642,3.141593
0.020000,33.001813,25.000000,8.998245,0.074337,-1.617809,14.594642,3.141593
0.020000,33.000857,25.000000,8.999201,0.047819,-1.325916,14.594642,3.141593
0.020000,33.000314,25.000000,8.999744,0.027138,-1.034023,14.594642,3.141593
0.020000,33.000068,25.000000,8.999990,0.012296,-0.742130,14.594642,3.141593
0.020000,33.000002,25.000000,9.000056,0.003291,-0.450238,14.594642,3.141593
0.020000,33.000000,25.000000,9.000058,0.000124,-0.158345,14.594642,3.141593
0.020000,33.000000,25.000000,9.000058,0.000000,-0.006199,7.607281,3.141593
