dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.000000,24.000000,0.000058,0.005815,0.290727,14.536326,3.141593
0.020000,42.000000,24.000000,0.000291,0.017444,0.581453,14.536326,3.141593
0.020000,42.000000,24.000000,0.000814,0.034887,0.872180,14.536326,3.141593
0.020000,42.000000,24.000000,0.001744,0.058145,1.162906,14.536326,3.141593
0.020000,42.000000,24.000000,0.003198,0.087218,1.453633,14.536326,3.141593
0.020000,42.000000,24.000000,0.005291,0.122105,1.744359,14.536326,3.141593
0.020000,41.998860,24.000000,0.008140,0.162807,2.035086,14.536326,3.141593
0.020000,41.995138,24.000000,0.011862,0.209323,2.325812,14.536326,3.141593
0.020000,41.990429,24.000000,0.016571,0.261654,2.616539,14.536326,3.141593
0.020000,41.984614,24.000000,0.022386,0.319799,2.907265,14.536326,3.141593
0.020000,41.977578,24.000000,0.029422,0.383759,3.197992,14.536326,3.141593
0.020000,41.969206,24.000000,0.037794,0.453533,3.488718,14.536326,3.141593
0.020000,41.959379,24.000000,0.047621,0.529122,3.779445,14.536326,3.141593
0.020000,41.947983,24.000000,0.059017,0.610526,4.070171,14.536326,3.141593
0.020000,41.934900,24.000000,0.072100,0.697744,4.360898,14.536326,3.141593
0.020000,41.920015,24.000000,0.086985,0.790776,4.651624,14.536326,3.141593
0.020000,41.903211,24.000000,0.103789,0.889623,4.942351,14.536326,3.141593
0.020000,41.884372,24.000000,0.122628,0.994285,5.233077,14.536326,3.141593
0.020000,41.863381,24.000000,0.143619,1.104761,5.523804,14.536326,3.141593
0.020000,41.840123,24.000000,0.166877,1.221051,5.814530,14.536326,3.141593
0.020000,41.814481,24.000000,0.192519,1.343157,6.105257,14.536326,3.141593
0.020000,41.786339,24.000000,0.220661,1.471076,6.395983,14.536326,3.141593
0.020000,41.755580,24.000000,0.251420,1.604810,6.686710,14.536326,3.141593
0.020000,41.722088,24.000000,0.284912,1.744359,6.977437,14.536326,3.141593
0.020000,41.685747,24.000000,0.321253,1.889722,7.268163,14.536326,3.141593
0.020000,41.646441,24.000000,0.360559,2.040900,7.558890,14.536326,3.141593
0.020000,41.604053,24.000000,0.402947,2.197893,7.849616,14.536326,3.141593
0.020000,41.558525,24.000000,0.448475,2.354885,7.849616,0.000000,3.141593
0.020000,41.509858,24.000000,0.497142,2.511877,7.849616,0.000000,3.141593
0.020000,41.458050,24.000000,0.548950,2.668869,7.849616,0.000000,3.141593
0.020000,41.403103,24.000000,0.603897,2.825862,7.849616,0.000000,3.141593
0.020000,41.345016,24.000000,0.661984,2.982854,7.849616,0.000000,3.141593
0.020000,41.283789,24.000000,0.723211,3.139846,7.849616,0.000000,3.141593
0.020000,41.219422,24.000000,0.787578,3.296839,7.849616,0.000000,3.141593
0.020000,41.151915,24.000000,0.855085,3.453831,7.849616,0.000000,3.141593
0.020000,41.081269,24.000000,0.925731,3.610823,7.849616,-0.000000,3.141593
0.020000,41.007540,24.000000,0.999460,3.762001,7.558890,-14.536326,3.141593
0.020000,40.930847,24.000000,1.076153,3.907364,7.268163,-14.536326,3.141593
0.020000,40.851304,24.000000,1.155696,4.046913,6.977437,-14.536326,3.141593
0.020000,40.769028,24.000000,1.237972,4.180647,6.686710,-14.536326,3.141593
0.020000,40.684136,24.000000,1.322864,4.308567,6.395983,-14.536326,3.141593
0.020000,40.596744,24.000000,1.410256,4.430672,6.105257,-14.536326,3.141593
0.020000,40.506967,24.000000,1.500033,4.546963,5.814530,-14.536326,3.141593
0.020000,40.414923,24.000000,1.592077,4.657439,5.523804,-14.536326,3.141593
0.020000,40.320728,24.000000,1.686272,4.762100,5.233077,-14.536326,3.141593
0.020000,40.224498,24.000000,1.782502,4.860947,4.942351,-14.536326,3.141593
0.020000,40.126348,24.000000,1.880652,4.953980,4.651624,-14.536326,3.141593
0.020000,40.026396,24.000000,1.980604,5.041198,4.360898,-14.536326,3.141593
0.020000,39.924759,24.000000,2.082241,5.122601,4.070171,-14.536326,3.141593
0.020000,39.821551,24.000000,2.185449,5.198190,3.779445,-14.536326,3.141593
0.020000,39.716889,24.000000,2.290111,5.267965,3.488718,-14.536326,3.141593
0.020000,39.610890,24.000000,2.396110,5.331924,3.197992,-14.536326,3.141593
0.020000,39.503670,24.000000,2.503330,5.390070,2.907265,-14.536326,3.141593
0.020000,39.395346,24.000000,2.611654,5.442400,2.616539,-14.536326,3.141593
0.020000,39.286032,24.000000,2.720968,5.488917,2.325812,-14.536326,3.141593
0.020000,39.175847,24.000000,2.831153,5.529618,2.035086,-14.536326,3.141593
0.020000,39.064906,24.000000,2.942094,5.564506,1.744359,-14.536326,3.141593
0.020000,38.953325,24.000000,3.053675,5.593578,1.453633,-14.536326,3.141593
0.020000,38.841221,24.000000,3.165779,5.616836,1.162906,-14.536326,3.141593
0.020000,38.728710,24.000000,3.278290,5.634280,0.872180,-14.536326,3.141593
0.020000,38.615908,24.000000,3.391092,5.645909,0.581453,-14.536326,3.141593
0.020000,38.502932,24.000000,3.504068,5.651665,0.287802,-14.682576,3.141593
0.020000,38.389957,24.000000,3.617043,5.645792,-0.293652,-29.072652,3.141593
0.020000,38.277158,24.000000,3.729842,5.634104,-0.584378,-14.536326,3.141593
0.020000,38.164651,24.000000,3.842349,5.616602,-0.875105,-14.536326,3.141593
0.020000,38.052552,24.000000,3.954448,5.593286,-1.165831,-14.536326,3.141593
0.020000,37.940978,24.000000,4.066022,5.564155,-1.456558,-14.536326,3.141593
0.020000,37.830044,24.000000,4.176956,5.529209,-1.747284,-14.536326,3.141593
0.020000,37.719868,24.000000,4.287132,5.488449,-2.038011,-14.536326,3.141593
0.020000,37.610565,24.000000,4.396435,5.441874,-2.328737,-14.536326,3.141593
0.020000,37.502251,24.000000,4.504749,5.389485,-2.619464,-14.536326,3.141593
0.020000,37.395043,24.000000,4.611957,5.331281,-2.910190,-14.536326,3.141593
0.020000,37.289058,24.000000,4.717942,5.267263,-3.200917,-14.536326,3.141593
0.020000,37.184411,24.000000,4.822589,5.197430,-3.491643,-14.536326,3.141593
