dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,7.000000,0.000040,0.003986,0.199284,9.964185,0.000000
0.020000,11.000000,7.000000,0.000199,0.011957,0.398567,9.964185,0.000000
0.020000,11.000000,7.000000,0.000558,0.023914,0.597851,9.964185,0.000000
0.020000,11.000000,7.000000,0.001196,0.039857,0.797135,9.964185,0.000000
0.020000,11.000000,7.000000,0.002192,0.059785,0.996418,9.964185,0.000000
0.020000,11.000000,7.000000,0.003627,0.083699,1.195702,9.964185,0.000000
0.020000,11.000000,7.000000,0.005580,0.111599,1.394986,9.964185,0.000000
0.020000,11.001131,7.000000,0.008131,0.143484,1.594270,9.964185,0.000000
0.020000,11.004359,7.000000,0.011359,0.179355,1.793553,9.964185,0.000000
0.020000,11.008345,7.000000,0.015345,0.219212,1.992837,9.964185,0.000000
0.020000,11.013168,7.000000,0.020168,0.263054,2.192121,9.964185,0.000000
0.020000,11.018907,7.000000,0.025907,0.310883,2.391404,9.964185,0.000000
0.020000,11.025643,7.000000,0.032643,0.362696,2.590688,9.964185,0.000000
0.020000,11.033455,7.000000,0.040455,0.418496,2.789972,9.964185,0.000000
0.020000,11.042422,7.000000,0.049422,0.478281,2.989255,9.964185,0.000000
0.020000,11.052626,7.000000,0.059626,0.542052,3.188539,9.964185,0.000000
0.020000,11.064144,7.000000,0.071144,0.609808,3.387823,9.964185,0.000000
0.020000,11.077058,7.000000,0.084058,0.681550,3.587106,9.964185,0.000000
0.020000,11.091446,7.000000,0.098446,0.757278,3.786390,9.964185,0.000000
0.020000,11.107389,7.000000,0.114389,0.836992,3.985674,9.964185,0.000000
0.020000,11.124966,7.000000,0.131966,0.920691,4.184958,9.964185,0.000000
0.020000,11.144256,7.000000,0.151256,1.008375,4.384241,9.964185,0.000000
0.020000,11.165341,7.000000,0.172341,1.100046,4.583525,9.964185,0.000000
0.020000,11.188298,7.000000,0.195298,1.195702,4.782809,9.964185,0.000000
0.020000,11.213208,7.000000,0.220208,1.295344,4.982092,9.964185,0.000000
0.020000,11.240152,7.000000,0.247152,1.398972,5.181376,9.964185,0.000000
0.020000,11.269207,7.000000,0.276207,1.506585,5.380660,9.964185,0.000000
0.020000,11.300455,7.000000,0.307455,1.618184,5.579943,9.964185,0.000000
0.020000,11.333974,7.000000,0.340974,1.733768,5.779227,9.964185,0.000000
0.020000,11.369845,7.000000,0.376845,1.853338,5.978511,9.964185,0.000000
0.020000,11.408148,7.000000,0.415148,1.976894,6.177794,9.964185,0.000000
0.020000,11.448921,7.000000,0.455921,2.100450,6.177794,0.000000,0.000000
0.020000,11.492166,7.000000,0.499166,2.224006,6.177794,0.000000,0.000000
0.020000,11.537881,7.000000,0.544881,2.347562,6.177794,0.000000,0.000000
0.020000,11.586068,7.000000,0.593068,2.471118,6.177794,0.000000,0.000000
0.020000,11.636726,7.000000,0.643726,2.594674,6.177794,0.000000,0.000000
0.020000,11.689855,7.000000,0.696855,2.718230,6.177794,0.000000,0.000000
0.020000,11.745455,7.000000,0.752455,2.841785,6.177794,0.000000,0.000000
0.020000,11.803527,7.000000,0.810527,2.965341,6.177794,0.000000,0.000000
0.020000,11.864069,7.000000,0.871069,3.088897,6.177794,0.000000,0.000000
