dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.000000,6.000000,0.000040,0.003986,0.199284,9.964185,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,-0.199284,-19.928369,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,0.000000,9.964185,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,11.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,11.001131,6.000000,0.001171,0.056539,2.826937,141.346830,0.000000
0.020000,11.004359,6.000000,0.004399,0.161420,5.244053,120.855817,0.000000
0.020000,11.008345,6.000000,0.008385,0.199284,1.893195,-167.542893,0.000000
0.020000,11.013168,6.000000,0.013207,0.241133,2.092479,9.964185,0.000000
0.020000,11.018907,6.000000,0.018947,0.286969,2.291762,9.964185,0.000000
0.020000,11.025643,6.000000,0.025683,0.336789,2.491046,9.964185,0.000000
0.020000,11.033455,6.000000,0.033494,0.390596,2.690330,9.964185,0.000000
0.020000,11.042422,6.000000,0.042462,0.448388,2.889614,9.964185,0.000000
0.020000,11.052626,6.000000,0.052666,0.510166,3.088897,9.964185,0.000000
0.020000,11.064144,6.000000,0.064184,0.575930,3.288181,9.964185,0.000000
0.020000,11.077058,6.000000,0.077098,0.645679,3.487465,9.964185,0.000000
0.020000,11.091446,6.000000,0.091486,0.719414,3.686748,9.964185,0.000000
0.020000,11.107389,6.000000,0.107429,0.797135,3.886032,9.964185,0.000000
0.020000,11.124966,6.000000,0.125006,0.878841,4.085316,9.964185,0.000000
0.020000,11.144256,6.000000,0.144296,0.964533,4.284599,9.964185,0.000000
0.020000,11.165341,6.000000,0.165380,1.054211,4.483883,9.964185,0.000000
0.020000,11.188298,6.000000,0.188338,1.147874,4.683167,9.964185,0.000000
0.020000,11.213208,6.000000,0.213248,1.245523,4.882450,9.964185,0.000000
0.020000,11.240152,6.000000,0.240191,1.347158,5.081734,9.964185,0.000000
0.020000,11.269207,6.000000,0.269247,1.452778,5.281018,9.964185,0.000000
0.020000,11.300455,6.000000,0.300495,1.562384,5.480302,9.964185,0.000000
0.020000,11.333974,6.000000,0.334014,1.675976,5.679585,9.964185,0.000000
0.020000,11.369845,6.000000,0.369885,1.793553,5.878869,9.964185,0.000000
0.020000,11.408148,6.000000,0.408188,1.915116,6.078153,9.964185,0.000000
0.020000,11.448921,6.000000,0.448961,2.038672,6.177794,4.982092,0.000000
0.020000,11.492166,6.000000,0.492206,2.162228,6.177794,0.000000,0.000000
0.020000,11.537881,6.000000,0.537921,2.285784,6.177794,0.000000,0.000000
0.020000,11.586068,6.000000,0.586108,2.409340,6.177794,-0.000000,0.000000
0.020000,11.636726,6.000000,0.636766,2.532896,6.177794,0.000000,0.000000
0.020000,11.689855,6.000000,0.689895,2.656452,6.177794,0.000000,0.000000
0.020000,11.745455,6.000000,0.745495,2.780008,6.177794,-0.000000,0.000000
0.020000,11.803527,6.000000,0.803566,2.903563,6.177794,0.000000,0.000000
0.020000,11.864069,6.000000,0.864109,3.027119,6.177794,0.000000,0.000000
0.020000,11.927043,6.000000,0.927083,3.148682,6.078153,-4.982092,0.000000
0.020000,11.992368,6.000000,0.992408,3.266260,5.878869,-9.964185,0.000000
0.020000,12.059965,6.000000,1.060005,3.379851,5.679585,-9.964185,0.000000
0.020000,12.129754,6.000000,1.129794,3.489457,5.480302,-9.964185,0.000000
0.020000,12.201656,6.000000,1.201695,3.595078,5.281018,-9.964185,0.000000
0.020000,12.275590,6.000000,1.275630,3.696712,5.081734,-9.964185,0.000000
0.020000,12.351477,6.000000,1.351517,3.794361,4.882450,-9.964185,0.000000
0.020000,12.429238,6.000000,1.429277,3.888025,4.683167,-9.964185,0.000000
0.020000,12.508792,6.000000,1.508831,3.977702,4.483883,-9.964185,0.000000
0.020000,12.590060,6.000000,1.590099,4.063394,4.284599,-9.964185,0.000000
0.020000,12.672962,6.000000,1.673001,4.145101,4.085316,-9.964185,0.000000
0.020000,12.757418,6.000000,1.757458,4.222821,3.886032,-9.964185,0.000000
0.020000,12.843349,6.000000,1.843389,4.296556,3.686748,-9.964185,0.000000
0.020000,12.930675,6.000000,1.930715,4.366306,3.487465,-9.964185,0.000000
0.020000,13.019317,6.000000,2.019356,4.432069,3.288181,-9.964185,0.000000
0.020000,13.109194,6.000000,2.109233,4.493847,3.088897,-9.964185,0.000000
0.020000,13.200226,6.000000,2.200266,4.551640,2.889614,-9.964185,0.000000
0.020000,13.292335,6.000000,2.292375,4.605446,2.690330,-9.964185,0.000000
0.020000,13.385441,6.000000,2.385480,4.655267,2.491046,-9.964185,0.000000
0.020000,13.479463,6.000000,2.479502,4.701102,2.291762,-9.964185,0.000000
0.020000,13.574322,6.000000,2.574362,4.742952,2.092479,-9.964185,0.000000
0.020000,13.669938,6.000000,2.669978,4.780816,1.893195,-9.964185,0.000000
0.020000,13.766232,6.000000,2.766272,4.814694,1.693911,-9.964185,0.000000
0.020000,13.863124,6.000000,2.863163,4.844587,1.494628,-9.964185,0.000000
0.020000,13.960533,6.000000,2.960573,4.870493,1.295344,-9.964185,0.000000
0.020000,14.058382,6.000000,3.058422,4.892415,1.096060,-9.964185,0.000000
0.020000,14.156589,6.000000,3.156629,4.910350,0.896777,-9.964185,0.000000
0.020000,14.255075,6.000000,3.255115,4.924300,0.697493,-9.964185,0.000000
0.020000,14.353760,6.000000,3.353800,4.934264,0.498209,-9.964185,0.000000
0.020000,14.452565,6.000000,3.452605,4.940243,0.298926,-9.964185,0.000000
0.020000,14.551405,6.000000,3.551445,4.942014,0.088579,-10.517335,0.000000
0.020000,14.650197,6.000000,3.650237,4.939579,-0.121768,-10.517335,0.000000
0.020000,14.748860,6.000000,3.748900,4.933158,-0.321052,-9.964185,0.000000
0.020000,14.847315,6.000000,3.847355,4.922751,-0.520335,-9.964185,0.000000
0.020000,14.945482,6.000000,3.945522,4.908359,-0.719619,-9.964185,0.000000
