dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000996,1.000000,0.000058,0.005844,0.292193,14.609663,6.282189
0.020000,0.000984,1.000000,0.000070,0.000583,-0.263032,-27.761252,6.282201
0.020000,0.000958,1.000000,0.000096,0.001312,0.036454,14.974305,6.282227
0.020000,0.000912,1.000000,0.000143,0.002333,0.051043,0.729435,6.282274
0.020000,0.000839,1.000000,0.000216,0.003646,0.065642,0.729970,6.282347
0.020000,0.000734,1.000000,0.000321,0.005251,0.080259,0.730846,6.282452
0.020000,0.000591,1.000000,0.000464,0.007149,0.094902,0.732148,6.282595
0.020000,0.000404,1.000000,0.000651,0.009341,0.109582,0.733964,6.282782
0.020000,0.000167,1.000000,0.000887,0.011827,0.124309,0.736379,6.283018
0.020000,0.002375,1.000000,0.003095,0.110387,4.927972,240.183142,0.000125
0.020000,0.009093,1.000002,0.009814,0.335927,11.277006,317.451713,0.000479
0.020000,0.017086,1.000008,0.017806,0.399601,3.183726,-404.664014,0.000901
0.020000,0.026468,1.000018,0.027188,0.469102,3.475019,14.564655,0.001396
0.020000,0.037344,1.000037,0.038064,0.543821,3.735953,13.046703,0.001972
0.020000,0.049833,1.000066,0.050553,0.624432,4.030554,14.730020,0.002634
0.020000,0.064038,1.000108,0.064758,0.710276,4.292212,13.082942,0.003388
0.020000,0.080072,1.000169,0.080792,0.801703,4.571379,13.958339,0.004243
0.020000,0.098045,1.000254,0.098766,0.898685,4.849056,13.883866,0.005203
0.020000,0.118069,1.000369,0.118790,1.001183,5.124909,13.792608,0.006276
0.020000,0.140251,1.000522,0.140973,1.109154,5.398579,13.683523,0.007469
0.020000,0.164701,1.000720,0.165424,1.222548,5.669691,13.555577,0.008789
0.020000,0.191529,1.000976,0.192252,1.341436,5.944414,13.736191,0.010244
0.020000,0.220845,1.001299,0.221570,1.465884,6.222394,13.898965,0.011841
0.020000,0.252756,1.001705,0.253483,1.595666,6.489104,13.335526,0.013588
0.020000,0.287369,1.002209,0.288101,1.730862,6.759798,13.534700,0.015495
0.020000,0.324795,1.002827,0.325531,1.871529,7.033322,13.676165,0.017569
0.020000,0.365139,1.003581,0.365883,2.017580,7.302563,13.462066,0.019819
0.020000,0.408453,1.004493,0.409206,2.166154,7.428695,6.306612,0.022253
0.020000,0.454733,1.005583,0.455499,2.314643,7.424443,-0.212616,0.024874
0.020000,0.503972,1.006878,0.504755,2.462810,7.408348,-0.804723,0.027685
0.020000,0.556169,1.008401,0.556974,2.610961,7.407556,-0.039636,0.030691
0.020000,0.611314,1.010183,0.612148,2.758700,7.386967,-1.029409,0.033897
0.020000,0.669401,1.012251,0.670272,2.906183,7.374131,-0.641842,0.037308
0.020000,0.730427,1.014640,0.731344,3.053617,7.371712,-0.120915,0.040929
0.020000,0.794377,1.017381,0.795353,3.200456,7.341946,-1.488325,0.044766
0.020000,0.861249,1.020513,0.862298,3.347243,7.339353,-0.129639,0.048826
