dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000031,0.003125,0.156250,7.812500,6.282188
0.020000,0.000000,0.000000,0.000156,0.009375,0.312500,7.812500,6.282194
0.020000,0.000000,0.000000,0.000437,0.018750,0.468750,7.812500,6.282208
0.020000,0.000000,0.000000,0.000937,0.031250,0.625000,7.812500,6.282233
0.020000,0.000000,0.000000,0.001719,0.046875,0.781250,7.812500,6.282272
0.020000,0.000000,0.000000,0.002844,0.065625,0.937500,7.812500,6.282328
0.020000,0.000000,0.000000,0.004375,0.087500,1.093750,7.812500,6.282405
0.020000,0.000000,0.000000,0.006375,0.112500,1.250000,7.812500,6.282505
0.020000,0.000000,0.000000,0.008906,0.140625,1.406250,7.812500,6.282631
0.020000,0.000000,0.000000,0.012031,0.171875,1.562500,7.812500,6.282787
0.020000,0.000000,0.000000,0.015813,0.206250,1.718750,7.812500,6.282976
0.020000,0.000313,0.000000,0.020313,0.243750,1.875000,7.812500,0.000016
0.020000,0.005596,0.000001,0.025594,0.284375,2.031250,7.812500,0.000280
0.020000,0.011721,0.000003,0.031719,0.328125,2.187500,7.812500,0.000587
0.020000,0.018751,0.000009,0.038750,0.375000,2.343750,7.812500,0.000939
0.020000,0.026752,0.000018,0.046750,0.425000,2.500000,7.812500,0.001340
0.020000,0.035783,0.000032,0.055781,0.478125,2.656250,7.812500,0.001794
0.020000,0.045908,0.000053,0.065906,0.534375,2.812500,7.812500,0.002303
0.020000,0.057189,0.000082,0.077188,0.593750,2.968750,7.812500,0.002872
0.020000,0.069690,0.000122,0.089688,0.656250,3.125000,7.812500,0.003503
0.020000,0.083470,0.000175,0.103469,0.721875,3.281250,7.812500,0.004200
0.020000,0.098594,0.000244,0.118594,0.790625,3.437500,7.812500,0.004966
0.020000,0.115126,0.000333,0.135125,0.862500,3.593750,7.812500,0.005806
0.020000,0.133126,0.000446,0.153125,0.937500,3.750000,7.812500,0.006723
0.020000,0.152657,0.000587,0.172656,1.015625,3.906250,7.812500,0.007721
0.020000,0.173781,0.000762,0.193781,1.096875,4.062500,7.812500,0.008804
0.020000,0.196560,0.000976,0.216563,1.181250,4.218750,7.812500,0.009975
0.020000,0.221059,0.001235,0.241063,1.268750,4.375000,7.812500,0.011239
0.020000,0.247340,0.001549,0.267344,1.359375,4.531250,7.812500,0.012601
0.020000,0.275461,0.001924,0.295469,1.453125,4.687500,7.812500,0.014063
0.020000,0.305490,0.002369,0.325500,1.550000,4.843750,7.812500,0.015632
0.020000,0.337484,0.002896,0.357500,1.650000,5.000000,7.812500,0.017312
0.020000,0.371480,0.003516,0.391500,1.750000,5.000000,0.000000,0.019106
0.020000,0.407473,0.004238,0.427500,1.850000,5.000000,0.000000,0.021015
0.020000,0.445464,0.005075,0.465500,1.950000,5.000000,-0.000000,0.023042
0.020000,0.485452,0.006039,0.505500,2.050000,5.000000,0.000000,0.025188
0.020000,0.527437,0.007144,0.547500,2.150000,5.000000,0.000000,0.027456
0.020000,0.571417,0.008405,0.591500,2.250000,5.000000,0.000000,0.029848
0.020000,0.617397,0.009836,0.637500,2.350000,5.000000,0.000000,0.032366
0.020000,0.665369,0.011452,0.685500,2.450000,5.000000,0.000000,0.035012
0.020000,0.715305,0.013271,0.735469,2.546875,4.843750,-7.812500,0.037788
0.020000,0.767139,0.015305,0.787344,2.640625,4.687500,-7.812500,0.040693
0.020000,0.820810,0.017572,0.841063,2.731250,4.531250,-7.812500,0.043725
0.020000,0.876253,0.020086,0.896563,2.818750,4.375000,-7.812500,0.046885
0.020000,0.933405,0.022861,0.953781,2.903125,4.218750,-7.812500,0.050172
0.020000,0.992200,0.025914,1.012656,2.984375,4.062500,-7.812500,0.053585
0.020000,1.052576,0.029259,1.073125,3.062500,3.906250,-7.812500,0.057123
0.020000,1.114470,0.032912,1.135125,3.137500,3.750000,-7.812500,0.060786
0.020000,1.177813,0.036887,1.198594,3.209375,3.593750,-7.812500,0.064572
0.020000,1.242544,0.041200,1.263469,3.278125,3.437500,-7.812500,0.068483
0.020000,1.308599,0.045864,1.329688,3.343750,3.281250,-7.812500,0.072515
0.020000,1.375912,0.050894,1.397188,3.406250,3.125000,-7.812500,0.076670
0.020000,1.444415,0.056304,1.465906,3.465625,2.968750,-7.812500,0.080946
0.020000,1.514050,0.062107,1.535781,3.521875,2.812500,-7.812500,0.085342
0.020000,1.584747,0.068315,1.606750,3.575000,2.656250,-7.812500,0.089858
0.020000,1.656442,0.074942,1.678750,3.625000,2.500000,-7.812500,0.094491
0.020000,1.729068,0.081999,1.751719,3.671875,2.343750,-7.812500,0.099243
0.020000,1.802562,0.089497,1.825594,3.715625,2.187500,-7.812500,0.104110
0.020000,1.876856,0.097447,1.900313,3.756250,2.031250,-7.812500,0.109092
0.020000,1.951885,0.105858,1.975812,3.793750,1.875000,-7.812500,0.114188
0.020000,2.027584,0.114739,2.052031,3.828125,1.718750,-7.812500,0.119396
0.020000,2.103889,0.124098,2.128906,3.859375,1.562500,-7.812500,0.124714
0.020000,2.180729,0.133943,2.206375,3.887500,1.406250,-7.812500,0.130141
0.020000,2.258040,0.144278,2.284375,3.912500,1.250000,-7.812500,0.135675
