dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000996,-1.000000,0.000058,0.005844,0.292193,14.609663,6.282189
0.020000,-0.000984,-1.000000,0.000070,0.000583,-0.263032,-27.761252,6.282201
0.020000,-0.000958,-1.000000,0.000096,0.001312,0.036454,14.974305,6.282227
0.020000,-0.000912,-1.000000,0.000143,0.002333,0.051043,0.729435,6.282274
0.020000,-0.000839,-1.000000,0.000216,0.003646,0.065642,0.729970,6.282347
0.020000,-0.000734,-1.000000,0.000321,0.005251,0.080259,0.730846,6.282452
0.020000,-0.000591,-1.000000,0.000464,0.007149,0.094902,0.732148,6.282595
0.020000,-0.000404,-1.000000,0.000651,0.009341,0.109582,0.733964,6.282782
0.020000,-0.000167,-1.000000,0.000887,0.011827,0.124309,0.736379,6.283018
0.020000,0.002625,-1.000000,0.003680,0.139611,6.389189,313.243987,0.000125
0.020000,0.010051,-0.999998,0.011106,0.371321,11.585511,259.816084,0.000479
0.020000,0.018887,-0.999991,0.019941,0.441756,3.521752,-403.187953,0.000901
0.020000,0.029260,-0.999980,0.030314,0.518660,3.845187,16.171781,0.001396
0.020000,0.041287,-0.999959,0.042342,0.601370,4.135488,14.515030,0.001972
0.020000,0.055100,-0.999928,0.056154,0.690640,4.463519,16.401577,0.002634
0.020000,0.070815,-0.999880,0.071870,0.785754,4.755706,14.609351,0.003388
0.020000,0.088557,-0.999813,0.089612,0.887113,5.067928,15.611069,0.004243
0.020000,0.108451,-0.999719,0.109506,0.994698,5.379273,15.567261,0.005203
0.020000,0.130620,-0.999591,0.131675,1.108488,5.689474,15.510031,0.006276
0.020000,0.155189,-0.999423,0.156245,1.228452,5.998245,15.438597,0.007469
0.020000,0.182279,-0.999202,0.183336,1.354558,6.305289,15.352202,0.008789
0.020000,0.212016,-0.998919,0.213074,1.486910,6.617575,15.614255,0.010244
0.020000,0.244526,-0.998560,0.245586,1.625607,6.934858,15.864182,0.011841
0.020000,0.279932,-0.998110,0.280995,1.770431,7.241188,15.316514,0.013588
0.020000,0.318358,-0.997551,0.319425,1.921503,7.553640,15.622553,0.015495
0.020000,0.359930,-0.996864,0.361003,2.078926,7.871125,15.874281,0.017569
0.020000,0.404776,-0.996026,0.405856,2.242645,8.185950,15.741236,0.019819
0.020000,0.452955,-0.995012,0.454047,2.409522,8.343835,7.894244,0.022253
0.020000,0.504475,-0.993798,0.505580,2.576693,8.358546,0.735547,0.024874
0.020000,0.559334,-0.992356,0.560459,2.743927,8.361741,0.159747,0.027685
0.020000,0.617542,-0.990657,0.618691,2.911602,8.383719,1.098893,0.030691
0.020000,0.679096,-0.988668,0.680277,3.079311,8.385444,0.086266,0.033897
0.020000,0.744000,-0.986357,0.745223,3.247264,8.397689,0.612283,0.037308
0.020000,0.812262,-0.983685,0.813537,3.415736,8.423576,1.294341,0.040929
0.020000,0.883880,-0.980615,0.885220,3.584155,8.420955,-0.131071,0.044766
