dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.000000,0.000058,0.005816,0.290789,14.539472,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,-0.290789,-29.078945,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,0.000000,14.539472,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,1.000000,0.000058,0.000000,0.000000,0.000000,0.000000
0.020000,0.001864,1.000000,0.001922,0.093210,4.660524,233.026180,0.000000
0.020000,0.006575,1.000000,0.006633,0.235539,7.116449,122.796271,0.000000
0.020000,0.012391,1.000000,0.012449,0.290789,2.762500,-217.697463,0.000000
0.020000,0.019428,1.000000,0.019486,0.351855,3.053289,14.539472,0.000000
0.020000,0.027803,1.000000,0.027861,0.418737,3.344079,14.539472,0.000000
0.020000,0.037631,1.000000,0.037689,0.491434,3.634868,14.539472,0.000000
0.020000,0.049030,1.000000,0.049088,0.569947,3.925658,14.539472,0.000000
0.020000,0.062116,1.000000,0.062174,0.654276,4.216447,14.539472,0.000000
0.020000,0.077004,1.000000,0.077062,0.744421,4.507236,14.539472,0.000000
0.020000,0.093812,1.000000,0.093870,0.840382,4.798026,14.539472,0.000000
0.020000,0.112655,1.000000,0.112713,0.942158,5.088815,14.539472,0.000000
0.020000,0.133650,1.000000,0.133708,1.049750,5.379605,14.539472,0.000000
0.020000,0.156913,1.000000,0.156971,1.163158,5.670394,14.539472,0.000000
0.020000,0.182561,1.000000,0.182619,1.282381,5.961184,14.539472,0.000000
0.020000,0.210709,1.000000,0.210767,1.407421,6.251973,14.539472,0.000000
0.020000,0.241475,1.000000,0.241533,1.538276,6.542763,14.539472,0.000000
0.020000,0.274974,1.000000,0.275032,1.674947,6.833552,14.539472,0.000000
0.020000,0.311322,1.000000,0.311380,1.817434,7.124341,14.539472,0.000000
0.020000,0.350637,1.000000,0.350695,1.965737,7.415131,14.539472,0.000000
0.020000,0.393034,1.000000,0.393092,2.119855,7.705920,14.539472,0.000000
0.020000,0.438572,1.000000,0.438630,2.276881,7.851315,7.269736,0.000000
0.020000,0.487250,1.000000,0.487308,2.433908,7.851315,0.000000,0.000000
0.020000,0.539069,1.000000,0.539127,2.590934,7.851315,-0.000000,0.000000
0.020000,0.594028,1.000000,0.594086,2.747960,7.851315,0.000000,0.000000
0.020000,0.652128,1.000000,0.652186,2.904987,7.851315,0.000000,0.000000
0.020000,0.713368,1.000000,0.713426,3.062013,7.851315,-0.000000,0.000000
0.020000,0.777749,1.000000,0.777807,3.219039,7.851315,0.000000,0.000000
0.020000,0.845270,1.000000,0.845328,3.376065,7.851315,-0.000000,0.000000
0.020000,0.915932,1.000000,0.915990,3.533092,7.851315,-0.000000,0.000000
0.020000,0.989734,1.000000,0.989792,3.690118,7.851315,0.000000,0.000000
0.020000,1.066677,1.000000,1.066735,3.847144,7.851315,-0.000000,0.000000
0.020000,1.146760,1.000000,1.146819,4.004171,7.851315,0.000000,0.000000
0.020000,1.229984,1.000000,1.230043,4.161197,7.851315,-0.000000,0.000000
0.020000,1.316349,1.000000,1.316407,4.318223,7.851315,0.000000,0.000000
0.020000,1.405854,1.000000,1.405912,4.475250,7.851315,-0.000000,0.000000
0.020000,1.498499,1.000000,1.498557,4.632276,7.851315,0.000000,0.000000
0.020000,1.594285,1.000000,1.594344,4.789302,7.851315,-0.000000,0.000000
0.020000,1.693212,1.000000,1.693270,4.946328,7.851315,-0.000000,0.000000
0.020000,1.795221,1.000000,1.795279,5.100447,7.705920,-7.269736,0.000000
0.020000,1.900196,1.000000,1.900254,5.248750,7.415131,-14.539472,0.000000
0.020000,2.008021,1.000000,2.008079,5.391236,7.124341,-14.539472,0.000000
0.020000,2.118579,1.000000,2.118637,5.527907,6.833552,-14.539472,0.000000
0.020000,2.231754,1.000000,2.231812,5.658763,6.542763,-14.539472,0.000000
0.020000,2.347430,1.000000,2.347488,5.783802,6.251973,-14.539472,0.000000
0.020000,2.465491,1.000000,2.465549,5.903026,5.961184,-14.539472,0.000000
0.020000,2.585819,1.000000,2.585877,6.016434,5.670394,-14.539472,0.000000
0.020000,2.708300,1.000000,2.708358,6.124026,5.379605,-14.539472,0.000000
0.020000,2.832816,1.000000,2.832874,6.225802,5.088815,-14.539472,0.000000
0.020000,2.959251,1.000000,2.959309,6.321763,4.798026,-14.539472,0.000000
0.020000,3.087489,1.000000,3.087547,6.411907,4.507236,-14.539472,0.000000
0.020000,3.217414,1.000000,3.217472,6.496236,4.216447,-14.539472,0.000000
0.020000,3.348909,1.000000,3.348967,6.574749,3.925658,-14.539472,0.000000
0.020000,3.481858,1.000000,3.481916,6.647447,3.634868,-14.539472,0.000000
0.020000,3.616144,1.000000,3.616203,6.714328,3.344079,-14.539472,0.000000
0.020000,3.751652,1.000000,3.751710,6.775394,3.053289,-14.539472,0.000000
0.020000,3.888265,1.000000,3.888323,6.830644,2.762500,-14.539472,0.000000
0.020000,4.025867,1.000000,4.025925,6.880078,2.471710,-14.539472,0.000000
0.020000,4.164341,1.000000,4.164399,6.923697,2.180921,-14.539472,0.000000
0.020000,4.303571,1.000000,4.303629,6.961499,1.890131,-14.539472,0.000000
0.020000,4.443440,1.000000,4.443499,6.993486,1.599342,-14.539472,0.000000
0.020000,4.583834,1.000000,4.583892,7.019657,1.308553,-14.539472,0.000000
0.020000,4.724634,1.000000,4.724692,7.040013,1.017763,-14.539472,0.000000
0.020000,4.865725,1.000000,4.865783,7.054552,0.726974,-14.539472,0.000000
0.020000,5.006980,1.000000,5.007039,7.062782,0.411513,-15.773045,0.000000
0.020000,5.148216,1.000000,5.148275,7.061795,-0.049343,-23.042781,0.000000
0.020000,5.289258,1.000000,5.289316,7.052085,-0.485527,-21.809209,0.000000
0.020000,5.429989,1.000000,5.430047,7.036559,-0.776317,-14.539472,0.000000
0.020000,5.570294,1.000000,5.570352,7.015216,-1.067106,-14.539472,0.000000
0.020000,5.710055,1.000000,5.710113,6.988058,-1.357895,-14.539472,0.000000
0.020000,5.849156,1.000000,5.849215,6.955085,-1.648685,-14.539472,0.000000
0.020000,5.987482,1.000000,5.987540,6.916295,-1.939474,-14.539472,0.000000
0.020000,6.124916,1.000000,6.124974,6.871690,-2.230264,-14.539472,0.000000
0.020000,6.261342,1.000000,6.261400,6.821269,-2.521053,-14.539472,0.000000
0.020000,6.396642,1.000000,6.396700,6.765032,-2.811843,-14.539472,0.000000
0.020000,6.530702,1.000000,6.530760,6.702979,-3.102632,-14.539472,0.000000
0.020000,6.663404,1.000000,6.663462,6.635111,-3.393422,-14.539472,0.000000
0.020000,6.794633,1.000000,6.794691,6.561427,-3.684211,-14.539472,0.000000
0.020000,6.924271,1.000000,6.924329,6.481927,-3.975000,-14.539472,0.000000
0.020000,7.052203,1.000000,7.052261,6.396611,-4.265790,-14.539472,0.000000
0.020000,7.178313,1.000000,7.178371,6.305479,-4.556579,-14.539472,0.000000
0.020000,7.302483,1.000000,7.302542,6.208532,-4.847369,-14.539472,0.000000
0.020000,7.424599,1.000000,7.424657,6.105769,-5.138158,-14.539472,0.000000
0.020000,7.544543,1.000000,7.544601,5.997190,-5.428948,-14.539472,0.000000
0.020000,7.662199,1.000000,7.662257,5.882795,-5.719737,-14.539472,0.000000
0.020000,7.777450,1.000000,7.777508,5.762585,-6.010527,-14.539472,0.000000
0.020000,7.890181,1.000000,7.890240,5.636558,-6.301316,-14.539472,0.000000
0.020000,8.000276,1.000000,8.000334,5.504716,-6.592105,-14.539472,0.000000
0.020000,8.107617,1.000000,8.107675,5.367058,-6.882895,-14.539472,0.000000
0.020000,8.212089,1.000000,8.212147,5.223585,-7.173684,-14.539472,0.000000
0.020000,8.313575,1.000000,8.313633,5.074295,-7.464474,-14.539472,0.000000
0.020000,8.411968,1.000000,8.412026,4.919683,-7.730592,-13.305899,0.000000
0.020000,8.507221,1.000000,8.507279,4.762657,-7.851315,-6.036163,0.000000
0.020000,8.599334,1.000000,8.599392,4.605631,-7.851315,-0.000000,0.000000
0.020000,8.688306,1.000000,8.688364,4.448604,-7.851315,0.000000,0.000000
0.020000,8.774138,1.000000,8.774196,4.291578,-7.851315,0.000000,0.000000
0.020000,8.856829,1.000000,8.856887,4.134552,-7.851315,-0.000000,0.000000
0.020000,8.936379,1.000000,8.936437,3.977526,-7.851315,0.000000,0.000000
0.020000,9.012789,1.000000,9.012847,3.820499,-7.851315,-0.000000,0.000000
0.020000,9.086059,1.000000,9.086117,3.663473,-7.851315,0.000000,0.000000
0.020000,9.156188,1.000000,9.156246,3.506447,-7.851315,0.000000,0.000000
0.020000,9.223176,1.000000,9.223234,3.349420,-7.851315,-0.000000,0.000000
