dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,-1.000000,0.000031,0.003125,0.156250,7.812500,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,-0.156250,-15.625000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,7.812500,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,-1.000000,0.000031,0.000000,0.000000,0.000000,0.000000
0.020000,0.002031,-1.000000,0.002063,0.101563,5.078125,253.906250,0.000000
0.020000,0.005812,-1.000000,0.005844,0.189062,4.375000,-35.156250,0.000000
0.020000,0.010313,-1.000000,0.010344,0.225000,1.796875,-128.906250,0.000000
0.020000,0.015594,-1.000000,0.015625,0.264062,1.953125,7.812500,0.000000
0.020000,0.021719,-1.000000,0.021750,0.306250,2.109375,7.812500,0.000000
0.020000,0.028750,-1.000000,0.028781,0.351562,2.265625,7.812500,0.000000
0.020000,0.036750,-1.000000,0.036781,0.400000,2.421875,7.812500,0.000000
0.020000,0.045781,-1.000000,0.045812,0.451562,2.578125,7.812500,0.000000
0.020000,0.055906,-1.000000,0.055938,0.506250,2.734375,7.812500,0.000000
0.020000,0.067188,-1.000000,0.067219,0.564063,2.890625,7.812500,0.000000
0.020000,0.079687,-1.000000,0.079719,0.625000,3.046875,7.812500,0.000000
0.020000,0.093469,-1.000000,0.093500,0.689062,3.203125,7.812500,0.000000
0.020000,0.108594,-1.000000,0.108625,0.756250,3.359375,7.812500,0.000000
0.020000,0.125125,-1.000000,0.125156,0.826562,3.515625,7.812500,0.000000
0.020000,0.143125,-1.000000,0.143156,0.900000,3.671875,7.812500,0.000000
0.020000,0.162656,-1.000000,0.162687,0.976562,3.828125,7.812500,0.000000
0.020000,0.183781,-1.000000,0.183812,1.056250,3.984375,7.812500,0.000000
0.020000,0.206562,-1.000000,0.206594,1.139062,4.140625,7.812500,0.000000
0.020000,0.231062,-1.000000,0.231094,1.225000,4.296875,7.812500,0.000000
0.020000,0.257344,-1.000000,0.257375,1.314062,4.453125,7.812500,0.000000
0.020000,0.285469,-1.000000,0.285500,1.406250,4.609375,7.812500,0.000000
0.020000,0.315500,-1.000000,0.315531,1.501562,4.765625,7.812500,0.000000
0.020000,0.347500,-1.000000,0.347531,1.600000,4.921875,7.812500,0.000000
0.020000,0.381500,-1.000000,0.381531,1.700000,5.000000,3.906250,0.000000
0.020000,0.417500,-1.000000,0.417531,1.800000,5.000000,0.000000,0.000000
0.020000,0.455500,-1.000000,0.455531,1.900000,5.000000,-0.000000,0.000000
0.020000,0.495500,-1.000000,0.495531,2.000000,5.000000,0.000000,0.000000
0.020000,0.537500,-1.000000,0.537531,2.100000,5.000000,-0.000000,0.000000
0.020000,0.581500,-1.000000,0.581531,2.200000,5.000000,0.000000,0.000000
0.020000,0.627500,-1.000000,0.627531,2.300000,5.000000,-0.000000,0.000000
0.020000,0.675500,-1.000000,0.675531,2.400000,5.000000,0.000000,0.000000
0.020000,0.725469,-1.000000,0.725500,2.498437,4.921875,-3.906250,0.000000
0.020000,0.777344,-1.000000,0.777375,2.593750,4.765625,-7.812500,0.000000
0.020000,0.831062,-1.000000,0.831094,2.685937,4.609375,-7.812500,0.000000
0.020000,0.886562,-1.000000,0.886594,2.775000,4.453125,-7.812500,0.000000
0.020000,0.943781,-1.000000,0.943812,2.860938,4.296875,-7.812500,0.000000
0.020000,1.002656,-1.000000,1.002687,2.943750,4.140625,-7.812500,0.000000
0.020000,1.063125,-1.000000,1.063156,3.023437,3.984375,-7.812500,0.000000
0.020000,1.125125,-1.000000,1.125156,3.100000,3.828125,-7.812500,0.000000
0.020000,1.188594,-1.000000,1.188625,3.173437,3.671875,-7.812500,0.000000
0.020000,1.253469,-1.000000,1.253500,3.243750,3.515625,-7.812500,0.000000
