dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000997,1.000000,0.000039,0.003929,0.196433,9.821658,6.282188
0.020000,0.000989,1.000000,0.000047,0.000392,-0.176829,-18.663101,6.282196
0.020000,0.000972,1.000000,0.000065,0.000882,0.024507,10.066768,6.282214
0.020000,0.000940,1.000000,0.000096,0.001568,0.034312,0.490288,6.282245
0.020000,0.000891,1.000000,0.000145,0.002451,0.044123,0.490529,6.282294
0.020000,0.000821,1.000000,0.000216,0.003530,0.053941,0.490925,6.282365
0.020000,0.000724,1.000000,0.000312,0.004805,0.063772,0.491514,6.282461
0.020000,0.000599,1.000000,0.000437,0.006278,0.073618,0.492334,6.282586
0.020000,0.000440,1.000000,0.000596,0.007947,0.083487,0.493424,6.282745
0.020000,0.000244,1.000000,0.000793,0.009815,0.093383,0.494825,6.282942
0.020000,0.000006,1.000000,0.001030,0.011881,0.103315,0.496574,6.283179
0.020000,0.005261,1.000001,0.006286,0.262762,12.544020,622.035285,0.000277
0.020000,0.011569,1.000004,0.012593,0.315369,2.630382,-495.681917,0.000609
0.020000,0.018881,1.000009,0.019905,0.365602,2.511627,-5.937767,0.000995
0.020000,0.027279,1.000020,0.028303,0.419909,2.715362,10.186780,0.001439
0.020000,0.036829,1.000036,0.037853,0.477508,2.879924,8.228063,0.001944
0.020000,0.047613,1.000060,0.048637,0.539209,3.085070,10.257297,0.002516
0.020000,0.059699,1.000094,0.060723,0.604291,3.254115,8.452296,0.003158
0.020000,0.073165,1.000141,0.074189,0.673290,3.449957,9.792055,0.003874
0.020000,0.088084,1.000205,0.089109,0.745992,3.635076,9.255956,0.004670
0.020000,0.104530,1.000289,0.105555,0.822301,3.815460,9.019228,0.005550
0.020000,0.122577,1.000398,0.123602,0.902336,4.001760,9.315001,0.006518
0.020000,0.142298,1.000537,0.143323,0.986072,4.186796,9.251763,0.007579
0.020000,0.163766,1.000712,0.164793,1.073480,4.370367,9.178567,0.008738
0.020000,0.187056,1.000930,0.188083,1.164525,4.552266,9.094939,0.010001
0.020000,0.212242,1.001200,0.213271,1.259399,4.743700,9.571693,0.011371
0.020000,0.239396,1.001529,0.240427,1.357793,4.919729,8.801470,0.012856
0.020000,0.268591,1.001927,0.269624,1.459847,5.102678,9.147475,0.014459
0.020000,0.299897,1.002407,0.300934,1.565518,5.283575,9.044818,0.016188
0.020000,0.333392,1.002980,0.334434,1.674988,5.473490,9.495763,0.018047
0.020000,0.369144,1.003661,0.370192,1.787907,5.645940,8.622521,0.020044
0.020000,0.407224,1.004465,0.408281,1.904457,5.827499,9.077940,0.022184
