dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000039,0.003929,0.196433,9.821658,6.282188
0.020000,0.000000,0.000000,0.000196,0.011786,0.392866,9.821658,6.282196
0.020000,0.000000,0.000000,0.000550,0.023572,0.589299,9.821658,6.282214
0.020000,0.000000,0.000000,0.001179,0.039287,0.785733,9.821658,6.282245
0.020000,0.000000,0.000000,0.002161,0.058930,0.982166,9.821658,6.282294
0.020000,0.000000,0.000000,0.003575,0.082502,1.178599,9.821658,6.282365
0.020000,0.000000,0.000000,0.005500,0.110003,1.375032,9.821658,6.282461
0.020000,0.000000,0.000000,0.008014,0.141432,1.571465,9.821658,6.282586
0.020000,0.000000,0.000000,0.011197,0.176790,1.767898,9.821658,6.282745
0.020000,0.000000,0.000000,0.015125,0.216076,1.964332,9.821658,6.282942
0.020000,0.000000,0.000000,0.019879,0.259292,2.160765,9.821658,6.283179
0.020000,0.005538,0.000001,0.025536,0.306436,2.357198,9.821658,0.000277
0.020000,0.012178,0.000004,0.032176,0.357508,2.553631,9.821658,0.000609
0.020000,0.019876,0.000010,0.039876,0.412510,2.750064,9.821658,0.000995
0.020000,0.028718,0.000021,0.048715,0.471440,2.946497,9.821658,0.001439
0.020000,0.038773,0.000038,0.058773,0.534298,3.142931,9.821658,0.001944
0.020000,0.050129,0.000063,0.070127,0.601085,3.339364,9.821658,0.002516
0.020000,0.062857,0.000099,0.082856,0.671801,3.535797,9.821658,0.003158
0.020000,0.077039,0.000149,0.097038,0.746446,3.732230,9.821658,0.003874
0.020000,0.092755,0.000216,0.112753,0.825019,3.928663,9.821658,0.004670
0.020000,0.110080,0.000305,0.130078,0.907521,4.125096,9.821658,0.005550
0.020000,0.129094,0.000419,0.149093,0.993952,4.321529,9.821658,0.006518
0.020000,0.149876,0.000566,0.169875,1.084311,4.517963,9.821658,0.007579
0.020000,0.172505,0.000750,0.192504,1.178599,4.714396,9.821658,0.008738
0.020000,0.197056,0.000980,0.217059,1.276816,4.910829,9.821658,0.010001
0.020000,0.223613,0.001264,0.243616,1.378961,5.107262,9.821658,0.011371
0.020000,0.252252,0.001611,0.272256,1.485035,5.303695,9.821658,0.012856
0.020000,0.283049,0.002032,0.303057,1.595037,5.500128,9.821658,0.014459
0.020000,0.316084,0.002538,0.336097,1.708968,5.696562,9.821658,0.016188
0.020000,0.351438,0.003143,0.371455,1.826828,5.892995,9.821658,0.018047
