dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.811397,0.032196,0.000059,0.005912,0.295602,14.780098,6.282239
0.020000,0.811410,0.032196,0.000072,0.000625,-0.264356,-27.997901,6.282252
0.020000,0.811438,0.032196,0.000100,0.001406,0.039060,15.170823,6.282280
0.020000,0.811488,0.032196,0.000150,0.002500,0.054693,0.781632,6.282330
0.020000,0.811566,0.032196,0.000228,0.003907,0.070339,0.782282,6.282408
0.020000,0.811679,0.032196,0.000340,0.005627,0.086006,0.783346,6.282521
0.020000,0.811832,0.032196,0.000494,0.007661,0.101704,0.784930,6.282674
0.020000,0.812032,0.032196,0.000694,0.010010,0.117447,0.787137,6.282874
0.020000,0.812285,0.032196,0.000947,0.012675,0.133248,0.790073,6.283128
0.020000,0.817421,0.032197,0.006083,0.256769,12.204711,603.573154,0.000255
0.020000,0.824954,0.032200,0.013616,0.376657,5.994393,-310.515901,0.000635
0.020000,0.833918,0.032208,0.022580,0.448225,3.578407,-120.799348,0.001087
0.020000,0.844442,0.032222,0.033104,0.526172,3.897334,15.946380,0.001618
0.020000,0.856647,0.032245,0.045309,0.610252,4.204019,15.334249,0.002235
0.020000,0.870658,0.032282,0.059320,0.700546,4.514670,15.532535,0.002946
0.020000,0.886602,0.032335,0.075264,0.797221,4.833785,15.955773,0.003755
0.020000,0.904605,0.032411,0.093267,0.900137,5.145771,15.599305,0.004672
0.020000,0.924790,0.032516,0.113452,1.009258,5.456071,15.514982,0.005703
0.020000,0.947285,0.032657,0.135948,1.124781,5.776127,16.002793,0.006855
0.020000,0.972215,0.032844,0.160878,1.246531,6.087511,15.569209,0.008136
0.020000,0.999703,0.033087,0.188367,1.374446,6.395751,15.412014,0.009555
0.020000,1.029881,0.033399,0.218547,1.509003,6.727870,16.605947,0.011119
0.020000,1.062871,0.033794,0.251540,1.649621,7.030886,15.150803,0.012837
0.020000,1.098801,0.034289,0.287474,1.796691,7.353490,16.130172,0.014718
0.020000,1.137800,0.034903,0.326477,1.950169,7.673922,16.021596,0.016771
0.020000,1.179993,0.035658,0.368677,2.110005,7.991774,15.892626,0.019005
0.020000,1.225508,0.036578,0.414201,2.276190,8.309239,15.873261,0.021432
0.020000,1.274414,0.037691,0.463119,2.445925,8.486768,8.876407,0.024058
0.020000,1.326710,0.039023,0.515433,2.615687,8.488119,0.067588,0.026887
0.020000,1.382402,0.040605,0.571147,2.785723,8.501795,0.683779,0.029926
0.020000,1.441493,0.042470,0.630268,2.956012,8.514430,0.631732,0.033178
0.020000,1.503987,0.044653,0.692800,3.126607,8.529780,0.767508,0.036649
0.020000,1.569890,0.047191,0.758751,3.297560,8.547610,0.891526,0.040346
0.020000,1.639203,0.050125,0.828127,3.468787,8.561367,0.687837,0.044275
0.020000,1.711932,0.053499,0.900934,3.640342,8.577772,0.820232,0.048443
0.020000,1.788080,0.057359,0.977179,3.812279,8.596818,0.952336,0.052858
0.020000,1.867651,0.061755,1.056872,3.984633,8.617730,1.045608,0.057528
0.020000,1.950651,0.066740,1.140022,4.157497,8.643201,1.273512,0.062461
0.020000,2.037083,0.072371,1.226637,4.330754,8.662831,0.981525,0.067667
0.020000,2.126950,0.078708,1.316727,4.504492,8.686910,1.203960,0.073156
0.020000,2.220254,0.085817,1.410302,4.678747,8.712762,1.292581,0.078938
0.020000,2.317002,0.093765,1.507375,4.853677,8.746473,1.685546,0.085025
0.020000,2.417192,0.102627,1.607956,5.029050,8.768647,1.108724,0.091428
0.020000,2.520830,0.112480,1.712062,5.205269,8.810951,2.115182,0.098162
0.020000,2.627914,0.123407,1.819702,5.381998,8.836449,1.274889,0.105239
0.020000,2.738448,0.135497,1.930895,5.559672,8.883693,2.362208,0.112675
0.020000,2.852426,0.148844,2.045651,5.737823,8.907570,1.193861,0.120484
0.020000,2.969851,0.163548,2.163994,5.917104,8.964029,2.822919,0.128685
0.020000,3.090716,0.179715,2.285935,6.097071,8.998345,1.715833,0.137293
0.020000,3.215017,0.197460,2.411497,6.278089,9.050948,2.630146,0.146329
0.020000,3.342747,0.216902,2.540698,6.460044,9.097725,2.338836,0.155811
0.020000,3.473896,0.238170,2.673560,6.643095,9.152569,2.742195,0.165762
0.020000,3.608449,0.261401,2.810104,6.827207,9.205575,2.650327,0.176203
0.020000,3.746391,0.286739,2.950354,7.012495,9.264412,2.941846,0.187158
0.020000,3.887705,0.314339,3.094337,7.199179,9.334211,3.489922,0.198653
0.020000,4.032362,0.344365,3.242078,7.387024,9.392234,2.901183,0.210713
0.020000,4.180270,0.376977,3.393538,7.573028,9.300202,-4.601617,0.223360
0.020000,4.331268,0.412326,3.548619,7.754046,9.050914,-12.464412,0.236612
0.020000,4.485187,0.450567,3.707218,7.929933,8.794313,-12.830038,0.250487
0.020000,4.641854,0.491861,3.869235,8.100870,8.546884,-12.371426,0.265000
0.020000,4.801086,0.536368,4.034570,8.266721,8.292533,-12.717552,0.280170
0.020000,4.962688,0.584251,4.203117,8.427379,8.032897,-12.981803,0.296011
0.020000,5.126464,0.635674,4.374776,8.582928,7.777441,-12.772843,0.312539
0.020000,5.292199,0.690803,4.549440,8.733216,7.514428,-13.150623,0.329768
0.020000,5.459675,0.749801,4.727004,8.878177,7.248031,-13.319864,0.347710
0.020000,5.628659,0.812830,4.907359,9.017792,6.980772,-13.362944,0.366373
0.020000,5.798905,0.880046,5.090394,9.151728,6.696773,-14.199934,0.385766
0.020000,5.970157,0.951603,5.275995,9.280028,6.415035,-14.086922,0.405892
0.020000,6.142146,1.027642,5.464043,9.402410,6.119089,-14.797310,0.426751
0.020000,6.314586,1.108299,5.654414,9.518587,5.808822,-15.513346,0.448338
0.020000,6.487184,1.193695,5.846983,9.628401,5.490712,-15.905473,0.470643
0.020000,6.659631,1.283935,6.041613,9.731526,5.156272,-16.722006,0.493652
0.020000,6.831606,1.379109,6.238168,9.827724,4.809870,-17.320101,0.517343
0.020000,7.002781,1.479283,6.436500,9.916620,4.444793,-18.253835,0.541689
0.020000,7.172815,1.584503,6.636457,9.997845,4.061287,-19.175296,0.566654
0.020000,7.341363,1.694784,6.837878,10.071042,3.659808,-20.073983,0.592198
0.020000,7.508077,1.810118,7.040597,10.135989,3.247394,-20.620698,0.618272
0.020000,7.672605,1.930461,7.244440,10.192133,2.807176,-22.010875,0.644819
0.020000,7.834600,2.055739,7.449226,10.239275,2.357112,-22.503222,0.671776
0.020000,7.993722,2.185845,7.654768,10.277107,1.891596,-23.275786,0.699077
0.020000,8.149642,2.320636,7.860874,10.305305,1.409900,-24.084794,0.726646
0.020000,8.302045,2.459938,8.067348,10.323691,0.919300,-24.529996,0.754406
0.020000,8.450612,2.603519,8.273958,10.330518,0.341331,-28.898486,0.782270
0.020000,8.595052,2.751117,8.480472,10.325691,-0.241320,-29.132523,0.810152
0.020000,8.735123,2.902461,8.686687,10.310780,-0.745558,-25.211909,0.837968
0.020000,8.870612,3.057258,8.892404,10.285838,-1.247107,-25.077473,0.865636
0.020000,9.001340,3.215192,9.097424,10.250972,-1.743303,-24.809787,0.893075
0.020000,9.127160,3.375932,9.301551,10.206350,-2.231106,-24.390157,0.920209
0.020000,9.247959,3.539134,9.504596,10.152277,-2.703627,-23.626026,0.946965
0.020000,9.363659,3.704446,9.706374,10.088914,-3.168170,-23.227151,0.973279
0.020000,9.474214,3.871513,9.906709,10.016717,-3.609856,-22.084294,0.999089
0.020000,9.579610,4.039978,10.105427,9.935918,-4.039944,-21.504395,1.024343
0.020000,9.679864,4.209488,10.302365,9.846876,-4.452073,-20.606480,1.048995
0.020000,9.775018,4.379696,10.497364,9.749978,-4.844944,-19.643521,1.073005
0.020000,9.865141,4.550263,10.690277,9.645627,-5.217518,-18.628725,1.096341
0.020000,9.950323,4.720860,10.880958,9.534058,-5.578453,-18.046750,1.118980
0.020000,10.030672,4.891171,11.069271,9.415674,-5.919222,-17.038441,1.140901
0.020000,10.106315,5.060891,11.255085,9.290678,-6.249787,-16.528232,1.162092
0.020000,10.177388,5.229730,11.438273,9.159418,-6.562987,-15.659997,1.182544
0.020000,10.244043,5.397410,11.618716,9.022124,-6.864693,-15.085305,1.202257
0.020000,10.306437,5.563667,11.796295,8.878979,-7.157294,-14.630076,1.221229
0.020000,10.364732,5.728250,11.970897,8.730071,-7.445368,-14.403683,1.239467
