dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001248,1.249999,0.000012,0.001186,0.059297,2.964826,6.282187
0.020000,0.001245,1.249999,0.000015,0.000148,-0.051899,-5.559788,6.282189
0.020000,0.001238,1.249999,0.000021,0.000333,0.009247,3.057299,6.282195
0.020000,0.001227,1.249999,0.000033,0.000592,0.012946,0.184953,6.282204
0.020000,0.001208,1.249999,0.000052,0.000925,0.016645,0.184980,6.282219
0.020000,0.001181,1.249999,0.000078,0.001332,0.020346,0.185025,6.282240
0.020000,0.001145,1.249999,0.000115,0.001813,0.024048,0.185092,6.282269
0.020000,0.001098,1.250000,0.000162,0.002368,0.027751,0.185186,6.282307
0.020000,0.001038,1.250000,0.000222,0.002997,0.031458,0.185310,6.282355
0.020000,0.000964,1.250000,0.000296,0.003700,0.035167,0.185469,6.282414
0.020000,0.000874,1.250000,0.000386,0.004478,0.038880,0.185668,6.282486
0.020000,0.000768,1.250000,0.000492,0.005330,0.042599,0.185910,6.282571
0.020000,0.000643,1.250000,0.000617,0.006256,0.046323,0.186202,6.282671
0.020000,0.000497,1.250000,0.000762,0.007257,0.050054,0.186546,6.282787
0.020000,0.000331,1.250000,0.000929,0.008333,0.053792,0.186947,6.282921
0.020000,0.000141,1.250000,0.001119,0.009484,0.057541,0.187411,6.283072
0.020000,0.001096,1.250000,0.002074,0.047759,1.913748,92.810359,0.000058
0.020000,0.004700,1.250001,0.005677,0.180170,6.620550,235.340131,0.000251
0.020000,0.008714,1.250002,0.009691,0.200696,1.026300,-279.712520,0.000465
0.020000,0.013160,1.250005,0.014138,0.222317,1.081079,2.738936,0.000703
0.020000,0.018061,1.250009,0.019038,0.245032,1.135707,2.731418,0.000965
0.020000,0.023442,1.250015,0.024420,0.269070,1.201920,3.310636,0.001253
0.020000,0.029322,1.250023,0.030300,0.294018,1.247385,2.273253,0.001568
0.020000,0.035723,1.250034,0.036700,0.320014,1.299821,2.621810,0.001911
0.020000,0.042670,1.250049,0.043647,0.347349,1.366763,3.347093,0.002284
0.020000,0.050182,1.250067,0.051159,0.375612,1.413145,2.319093,0.002688
