dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000012,0.001186,0.059297,2.964826,6.282187
0.020000,0.000000,0.000000,0.000059,0.003558,0.118593,2.964826,6.282189
0.020000,0.000000,0.000000,0.000166,0.007116,0.177890,2.964826,6.282195
0.020000,0.000000,0.000000,0.000356,0.011859,0.237186,2.964826,6.282204
0.020000,0.000000,0.000000,0.000652,0.017789,0.296483,2.964826,6.282219
0.020000,0.000000,0.000000,0.001079,0.024905,0.355779,2.964826,6.282240
0.020000,0.000000,0.000000,0.001660,0.033206,0.415076,2.964826,6.282269
0.020000,0.000000,0.000000,0.002419,0.042693,0.474372,2.964826,6.282307
0.020000,0.000000,0.000000,0.003380,0.053367,0.533669,2.964826,6.282355
0.020000,0.000000,0.000000,0.004566,0.065226,0.592965,2.964826,6.282414
0.020000,0.000000,0.000000,0.006001,0.078271,0.652262,2.964826,6.282486
0.020000,0.000000,0.000000,0.007709,0.092503,0.711558,2.964826,6.282571
0.020000,0.000000,0.000000,0.009713,0.107920,0.770855,2.964826,6.282671
0.020000,0.000000,0.000000,0.012037,0.124523,0.830151,2.964826,6.282787
0.020000,0.000000,0.000000,0.014706,0.142312,0.889448,2.964826,6.282921
0.020000,0.000000,0.000000,0.017742,0.161287,0.948744,2.964826,6.283072
0.020000,0.001169,0.000000,0.021169,0.181447,1.008041,2.964826,0.000058
0.020000,0.005013,0.000001,0.025011,0.202794,1.067337,2.964826,0.000251
0.020000,0.009295,0.000002,0.029292,0.225327,1.126634,2.964826,0.000465
0.020000,0.014038,0.000005,0.034036,0.249045,1.185931,2.964826,0.000703
0.020000,0.019267,0.000009,0.039266,0.273950,1.245227,2.964826,0.000965
0.020000,0.025008,0.000016,0.045006,0.300040,1.304524,2.964826,0.001253
0.020000,0.031282,0.000025,0.051280,0.327317,1.363820,2.964826,0.001568
0.020000,0.038111,0.000036,0.058111,0.355779,1.423117,2.964826,0.001911
0.020000,0.045525,0.000052,0.065523,0.385427,1.482413,2.964826,0.002284
0.020000,0.053542,0.000072,0.073540,0.416262,1.541710,2.964826,0.002688
0.020000,0.062174,0.000097,0.082173,0.447096,1.541710,0.000000,0.003123
0.020000,0.071426,0.000128,0.091423,0.477930,1.541710,0.000000,0.003591
0.020000,0.081291,0.000166,0.101290,0.508764,1.541710,-0.000000,0.004089
0.020000,0.091776,0.000212,0.111774,0.539598,1.541710,0.000000,0.004621
0.020000,0.102875,0.000266,0.122874,0.570433,1.541710,-0.000000,0.005184
0.020000,0.114592,0.000330,0.134591,0.601267,1.541710,0.000000,0.005779
0.020000,0.126926,0.000405,0.146925,0.632101,1.541710,0.000000,0.006407
0.020000,0.139874,0.000493,0.159875,0.662935,1.541710,0.000000,0.007068
0.020000,0.153443,0.000593,0.173442,0.693769,1.541710,-0.000000,0.007761
0.020000,0.167626,0.000708,0.187626,0.724604,1.541710,0.000000,0.008488
0.020000,0.182425,0.000840,0.202426,0.755438,1.541710,-0.000000,0.009248
0.020000,0.197841,0.000988,0.217844,0.786272,1.541710,0.000000,0.010041
0.020000,0.213875,0.001156,0.233877,0.817106,1.541710,-0.000000,0.010868
0.020000,0.230525,0.001344,0.250528,0.847940,1.541710,0.000000,0.011729
0.020000,0.247791,0.001554,0.267795,0.878775,1.541710,0.000000,0.012624
0.020000,0.265673,0.001788,0.285679,0.909609,1.541710,-0.000000,0.013554
0.020000,0.284172,0.002048,0.304179,0.940443,1.541710,0.000000,0.014518
0.020000,0.303286,0.002335,0.323297,0.971277,1.541710,-0.000000,0.015517
0.020000,0.323018,0.002652,0.343030,1.002111,1.541710,0.000000,0.016551
0.020000,0.343366,0.002999,0.363381,1.032945,1.541710,0.000000,0.017622
0.020000,0.364330,0.003380,0.384348,1.063780,1.541710,0.000000,0.018728
0.020000,0.385910,0.003797,0.405932,1.094614,1.541710,-0.000000,0.019870
0.020000,0.408105,0.004251,0.428133,1.125448,1.541710,0.000000,0.021049
0.020000,0.430917,0.004745,0.450950,1.156282,1.541710,0.000000,0.022264
0.020000,0.454343,0.005281,0.474384,1.187116,1.541710,0.000000,0.023517
0.020000,0.478388,0.005862,0.498435,1.217951,1.541710,0.000000,0.024808
0.020000,0.503048,0.006491,0.523102,1.248785,1.541710,0.000000,0.026137
0.020000,0.528322,0.007169,0.548386,1.279619,1.541710,-0.000000,0.027504
0.020000,0.554212,0.007899,0.574287,1.310453,1.541710,0.000000,0.028910
0.020000,0.580719,0.008685,0.600804,1.341287,1.541710,0.000000,0.030356
0.020000,0.607839,0.009529,0.627938,1.372122,1.541710,0.000000,0.031841
0.020000,0.635576,0.010433,0.655689,1.402956,1.541710,-0.000000,0.033366
0.020000,0.663927,0.011402,0.684057,1.433790,1.541710,0.000000,0.034932
0.020000,0.692892,0.012437,0.713041,1.464624,1.541710,0.000000,0.036539
0.020000,0.722472,0.013543,0.742642,1.495458,1.541710,0.000000,0.038188
0.020000,0.752667,0.014722,0.772859,1.526293,1.541710,0.000000,0.039879
0.020000,0.783474,0.015978,0.803693,1.557127,1.541710,-0.000000,0.041613
0.020000,0.814898,0.017314,0.835144,1.587961,1.541710,0.000000,0.043390
0.020000,0.846934,0.018735,0.867212,1.618795,1.541710,0.000000,0.045211
0.020000,0.879582,0.020242,0.899896,1.649629,1.541710,0.000000,0.047076
0.020000,0.912846,0.021841,0.933197,1.680464,1.541710,-0.000000,0.048986
0.020000,0.946722,0.023535,0.967114,1.711298,1.541710,0.000000,0.050942
0.020000,0.981209,0.025328,1.001649,1.742132,1.541710,0.000000,0.052944
0.020000,1.016308,0.027224,1.036800,1.772966,1.541710,0.000000,0.054993
0.020000,1.052019,0.029227,1.072567,1.803800,1.541710,-0.000000,0.057090
0.020000,1.088342,0.031342,1.108952,1.834635,1.541710,0.000000,0.059235
0.020000,1.125276,0.033573,1.145953,1.865469,1.541710,-0.000000,0.061429
0.020000,1.162820,0.035925,1.183571,1.896303,1.541710,0.000000,0.063673
0.020000,1.200974,0.038401,1.221805,1.927137,1.541710,0.000000,0.065967
0.020000,1.239737,0.041008,1.260656,1.957971,1.541710,-0.000000,0.068312
0.020000,1.279110,0.043749,1.300124,1.988805,1.541710,0.000000,0.070710
0.020000,1.319092,0.046630,1.340208,2.019640,1.541710,0.000000,0.073160
0.020000,1.359681,0.049656,1.380909,2.050474,1.541710,-0.000000,0.075664
0.020000,1.400876,0.052832,1.422227,2.081308,1.541710,0.000000,0.078223
0.020000,1.442677,0.056163,1.464162,2.112142,1.541710,0.000000,0.080837
0.020000,1.485085,0.059656,1.506713,2.142976,1.541710,0.000000,0.083507
0.020000,1.528098,0.063315,1.549881,2.173811,1.541710,0.000000,0.086235
0.020000,1.571713,0.067147,1.593665,2.204645,1.541710,0.000000,0.089021
0.020000,1.615935,0.071157,1.638067,2.235479,1.541710,0.000000,0.091866
0.020000,1.660756,0.075352,1.683084,2.266313,1.541710,0.000000,0.094772
0.020000,1.706180,0.079738,1.728719,2.297147,1.541710,0.000000,0.097739
0.020000,1.752203,0.084320,1.774970,2.327982,1.541710,0.000000,0.100768
0.020000,1.798826,0.089107,1.821838,2.358816,1.541710,0.000000,0.103861
0.020000,1.846045,0.094105,1.869323,2.389650,1.541710,-0.000000,0.107018
0.020000,1.893865,0.099320,1.917424,2.420484,1.541710,0.000000,0.110242
0.020000,1.942278,0.104759,1.966142,2.451318,1.541710,0.000000,0.113532
0.020000,1.991285,0.110430,2.015477,2.482153,1.541710,0.000000,0.116890
0.020000,2.040886,0.116341,2.065428,2.512987,1.541710,0.000000,0.120318
0.020000,2.091078,0.122498,2.115997,2.543821,1.541710,0.000000,0.123817
0.020000,2.141860,0.128910,2.167181,2.574655,1.541710,-0.000000,0.127387
0.020000,2.193230,0.135584,2.218983,2.605489,1.541710,0.000000,0.131031
0.020000,2.245185,0.142530,2.271401,2.636324,1.541710,0.000000,0.134749
0.020000,2.297726,0.149754,2.324436,2.667158,1.541710,0.000000,0.138544
0.020000,2.350849,0.157266,2.378087,2.697992,1.541710,0.000000,0.142417
0.020000,2.404552,0.165075,2.432355,2.728826,1.541710,-0.000000,0.146368
0.020000,2.458834,0.173189,2.487240,2.759660,1.541710,0.000000,0.150400
0.020000,2.513691,0.181617,2.542742,2.790495,1.541710,-0.000000,0.154514
0.020000,2.569121,0.190370,2.598860,2.821329,1.541710,0.000000,0.158712
0.020000,2.625125,0.199457,2.655595,2.852163,1.541710,0.000000,0.162996
0.020000,2.681697,0.208887,2.712947,2.882997,1.541710,0.000000,0.167366
0.020000,2.738832,0.218671,2.770915,2.913831,1.541710,0.000000,0.171826
0.020000,2.796532,0.228819,2.829500,2.944665,1.541710,0.000000,0.176376
0.020000,2.854791,0.239341,2.888701,2.975500,1.541710,-0.000000,0.181018
0.020000,2.913606,0.250250,2.948520,3.006334,1.541710,0.000000,0.185754
0.020000,2.972974,0.261554,3.008955,3.037168,1.541710,-0.000000,0.190586
0.020000,3.032892,0.273267,3.070006,3.068002,1.541710,0.000000,0.195517
0.020000,3.093354,0.285399,3.131675,3.098836,1.541710,0.000000,0.200547
0.020000,3.154360,0.297963,3.193960,3.129671,1.541710,-0.000000,0.205679
0.020000,3.215902,0.310971,3.256862,3.160505,1.541710,0.000000,0.210914
0.020000,3.277976,0.324434,3.320380,3.191339,1.541710,-0.000000,0.216256
0.020000,3.340579,0.338366,3.384515,3.222173,1.541710,0.000000,0.221706
0.020000,3.403707,0.352780,3.449267,3.253007,1.541710,-0.000000,0.227265
0.020000,3.467353,0.367689,3.514636,3.283842,1.541710,0.000000,0.232938
0.020000,3.531512,0.383106,3.580621,3.314676,1.541710,0.000000,0.238724
0.020000,3.596178,0.399045,3.647223,3.345510,1.541710,0.000000,0.244627
0.020000,3.661345,0.415521,3.714441,3.376344,1.541710,-0.000000,0.250650
0.020000,3.727008,0.432548,3.782276,3.407178,1.541710,0.000000,0.256793
0.020000,3.793161,0.450140,3.850728,3.438013,1.541710,-0.000000,0.263061
0.020000,3.859797,0.468313,3.919797,3.468847,1.541710,0.000000,0.269454
0.020000,3.926907,0.487082,3.989482,3.499681,1.541710,-0.000000,0.275975
0.020000,3.994483,0.506463,4.059784,3.530515,1.541710,-0.000000,0.282628
0.020000,4.062522,0.526471,4.130703,3.561349,1.541710,0.000000,0.289413
0.020000,4.131010,0.547123,4.202238,3.592184,1.541710,-0.000000,0.296334
0.020000,4.199943,0.568436,4.274390,3.623018,1.541710,0.000000,0.303393
0.020000,4.269308,0.590425,4.347159,3.653852,1.541710,-0.000000,0.310592
0.020000,4.339101,0.613110,4.420544,3.684686,1.541710,0.000000,0.317935
0.020000,4.409307,0.636506,4.494546,3.715520,1.541710,0.000000,0.325422
0.020000,4.479917,0.660631,4.569165,3.746354,1.541710,0.000000,0.333057
0.020000,4.550922,0.685504,4.644400,3.777189,1.541710,-0.000000,0.340843
0.020000,4.622310,0.711143,4.720252,3.808023,1.541710,0.000000,0.348781
0.020000,4.694068,0.737566,4.796721,3.838857,1.541710,-0.000000,0.356874
0.020000,4.766185,0.764793,4.873807,3.869691,1.541710,0.000000,0.365123
0.020000,4.838648,0.792842,4.951509,3.900525,1.541710,-0.000000,0.373533
0.020000,4.911443,0.821733,5.029828,3.931360,1.541710,-0.000000,0.382103
0.020000,4.984556,0.851484,5.108763,3.962194,1.541710,0.000000,0.390838
0.020000,5.057973,0.882117,5.188316,3.993028,1.541710,-0.000000,0.399738
0.020000,5.131680,0.913651,5.268484,4.023862,1.541710,0.000000,0.408806
0.020000,5.205660,0.946105,5.349270,4.054696,1.541710,0.000000,0.418043
0.020000,5.279895,0.979501,5.430672,4.085531,1.541710,-0.000000,0.427452
0.020000,5.354371,1.013859,5.512691,4.116365,1.541710,0.000000,0.437033
0.020000,5.429068,1.049198,5.595327,4.147199,1.541710,-0.000000,0.446788
0.020000,5.503969,1.085541,5.678579,4.178033,1.541710,0.000000,0.456720
0.020000,5.579054,1.122907,5.762448,4.208867,1.541710,0.000000,0.466827
0.020000,5.654303,1.161317,5.846934,4.239702,1.541710,-0.000000,0.477113
0.020000,5.729686,1.200786,5.932024,4.269350,1.482413,-2.964826,0.487575
0.020000,5.805160,1.241323,6.017696,4.297812,1.423117,-2.964826,0.498211
0.020000,5.880683,1.282936,6.103925,4.325089,1.363820,-2.964826,0.509019
0.020000,5.956212,1.325631,6.190688,4.351179,1.304524,-2.964826,0.519995
0.020000,6.031706,1.369415,6.277960,4.376084,1.245227,-2.964826,0.531135
0.020000,6.107123,1.414292,6.365719,4.399802,1.185931,-2.964826,0.542436
0.020000,6.182418,1.460265,6.453941,4.422335,1.126634,-2.964826,0.553893
0.020000,6.257550,1.507337,6.542601,4.443682,1.067337,-2.964826,0.565501
0.020000,6.332476,1.555507,6.631676,4.463842,1.008041,-2.964826,0.577255
0.020000,6.407154,1.604775,6.721143,4.482817,0.948744,-2.964826,0.589150
0.020000,6.481542,1.655140,6.810977,4.500606,0.889448,-2.964826,0.601179
0.020000,6.555597,1.706596,6.901155,4.517209,0.830151,-2.964826,0.613336
0.020000,6.629280,1.759139,6.991653,4.532626,0.770855,-2.964826,0.625614
0.020000,6.702547,1.812762,7.082448,4.546858,0.711558,-2.964826,0.638006
0.020000,6.775360,1.867457,7.173516,4.559903,0.652262,-2.964826,0.650504
0.020000,6.847678,1.923213,7.264832,4.571762,0.592965,-2.964826,0.663101
0.020000,6.919461,1.980019,7.356374,4.582436,0.533669,-2.964826,0.675787
0.020000,6.990673,2.037861,7.448118,4.591923,0.474372,-2.964826,0.688555
0.020000,7.061275,2.096723,7.540039,4.600224,0.415076,-2.964826,0.701396
0.020000,7.131230,2.156590,7.632115,4.607340,0.355779,-2.964826,0.714300
0.020000,7.200503,2.217443,7.724321,4.613270,0.296483,-2.964826,0.727258
0.020000,7.269060,2.279261,7.816634,4.618013,0.237186,-2.964826,0.740261
0.020000,7.336867,2.342023,7.909030,4.621571,0.177890,-2.964826,0.753298
0.020000,7.403893,2.405705,8.001485,4.623943,0.118593,-2.964826,0.766360
0.020000,7.470105,2.470283,8.093976,4.625129,0.059297,-2.964826,0.779437
0.020000,7.535474,2.535727,8.186475,4.624767,-0.018076,-3.868620,0.792518
0.020000,7.599967,2.602007,8.278955,4.623220,-0.077372,-2.964826,0.805593
0.020000,7.663559,2.669092,8.371392,4.620487,-0.136669,-2.964826,0.818651
0.020000,7.726226,2.736953,8.463762,4.616567,-0.195965,-2.964826,0.831683
0.020000,7.787944,2.805556,8.556043,4.611462,-0.255262,-2.964826,0.844679
0.020000,7.848692,2.874869,8.648209,4.605171,-0.314559,-2.964826,0.857628
0.020000,7.908449,2.944856,8.740237,4.597694,-0.373855,-2.964826,0.870522
0.020000,7.967199,3.015482,8.832105,4.589031,-0.433152,-2.964826,0.883352
0.020000,8.024923,3.086709,8.923787,4.579182,-0.492448,-2.964826,0.896107
0.020000,8.081608,3.158501,9.015260,4.568147,-0.551745,-2.964826,0.908779
0.020000,8.137239,3.230819,9.106501,4.555926,-0.611041,-2.964826,0.921360
0.020000,8.191807,3.303623,9.197485,4.542519,-0.670338,-2.964826,0.933841
0.020000,8.245301,3.376873,9.288190,4.527927,-0.729634,-2.964826,0.946215
0.020000,8.297712,3.450529,9.378591,4.512148,-0.788931,-2.964826,0.958473
0.020000,8.349034,3.524550,9.468664,4.495184,-0.848227,-2.964826,0.970609
0.020000,8.399263,3.598895,9.558386,4.477033,-0.907524,-2.964826,0.982617
0.020000,8.448394,3.673520,9.647733,4.457697,-0.966820,-2.964826,0.994488
0.020000,8.496426,3.748385,9.736682,4.437174,-1.026117,-2.964826,1.006219
0.020000,8.543358,3.823446,9.825208,4.415466,-1.085413,-2.964826,1.017802
0.020000,8.589191,3.898661,9.913289,4.392572,-1.144710,-2.964826,1.029233
0.020000,8.633927,3.973989,10.000899,4.368492,-1.204006,-2.964826,1.040508
0.020000,8.677571,4.049385,10.088017,4.343226,-1.263303,-2.964826,1.051621
0.020000,8.720125,4.124808,10.174617,4.316774,-1.322599,-2.964826,1.062569
0.020000,8.761598,4.200214,10.260676,4.289136,-1.381896,-2.964826,1.073348
0.020000,8.801995,4.275562,10.346170,4.260312,-1.441193,-2.964826,1.083955
0.020000,8.841324,4.350809,10.431076,4.230302,-1.500489,-2.964826,1.094387
0.020000,8.879596,4.425918,10.515374,4.199468,-1.541710,-2.061032,1.104643
0.020000,8.916829,4.500859,10.599055,4.168634,-1.541710,-0.000000,1.114721
0.020000,8.953042,4.575613,10.682119,4.137800,-1.541710,0.000000,1.124624
0.020000,8.988257,4.650162,10.764567,4.106965,-1.541710,-0.000000,1.134351
0.020000,9.022493,4.724486,10.846398,4.076131,-1.541710,0.000000,1.143904
0.020000,9.055772,4.798569,10.927612,4.045297,-1.541710,0.000000,1.153285
0.020000,9.088113,4.872394,11.008210,4.014463,-1.541710,-0.000000,1.162495
0.020000,9.119536,4.945942,11.088191,3.983629,-1.541710,0.000000,1.171536
0.020000,9.150062,5.019200,11.167555,3.952794,-1.541710,-0.000000,1.180410
0.020000,9.179711,5.092153,11.246303,3.921960,-1.541710,0.000000,1.189119
0.020000,9.208503,5.164785,11.324433,3.891126,-1.541710,0.000000,1.197665
0.020000,9.236456,5.237083,11.401948,3.860292,-1.541710,-0.000000,1.206049
0.020000,9.263590,5.309034,11.478845,3.829458,-1.541710,0.000000,1.214275
0.020000,9.289924,5.380625,11.555126,3.798623,-1.541710,0.000000,1.222344
0.020000,9.315476,5.451843,11.630790,3.767789,-1.541710,0.000000,1.230259
0.020000,9.340267,5.522679,11.705837,3.736955,-1.541710,0.000000,1.238021
0.020000,9.364312,5.593118,11.780268,3.706121,-1.541710,-0.000000,1.245634
0.020000,9.387631,5.663151,11.854082,3.675287,-1.541710,0.000000,1.253100
0.020000,9.410241,5.732769,11.927280,3.644452,-1.541710,0.000000,1.260421
0.020000,9.432160,5.801961,11.999860,3.613618,-1.541710,-0.000000,1.267600
0.020000,9.453404,5.870718,12.071824,3.582784,-1.541710,-0.000000,1.274638
0.020000,9.473990,5.939030,12.143172,3.551950,-1.541710,0.000000,1.281539
0.020000,9.493936,6.006891,12.213902,3.521116,-1.541710,-0.000000,1.288305
0.020000,9.513256,6.074289,12.284016,3.490281,-1.541710,0.000000,1.294938
0.020000,9.531967,6.141220,12.353514,3.459447,-1.541710,-0.000000,1.301441
0.020000,9.550085,6.207676,12.422394,3.428613,-1.541710,0.000000,1.307816
0.020000,9.567625,6.273648,12.490658,3.397779,-1.541710,0.000000,1.314065
0.020000,9.584601,6.339130,12.558305,3.366945,-1.541710,0.000000,1.320191
0.020000,9.601028,6.404116,12.625336,3.336111,-1.541710,0.000000,1.326196
0.020000,9.616921,6.468600,12.691750,3.305276,-1.541710,0.000000,1.332082
0.020000,9.632295,6.532576,12.757547,3.274442,-1.541710,-0.000000,1.337852
0.020000,9.647161,6.596039,12.822728,3.243608,-1.541710,0.000000,1.343508
0.020000,9.661535,6.658983,12.887291,3.212774,-1.541710,-0.000000,1.349052
0.020000,9.675429,6.721401,12.951239,3.181940,-1.541710,0.000000,1.354486
0.020000,9.688856,6.783291,13.014569,3.151105,-1.541710,0.000000,1.359813
0.020000,9.701830,6.844648,13.077283,3.120271,-1.541710,-0.000000,1.365034
0.020000,9.714361,6.905469,13.139380,3.089437,-1.541710,0.000000,1.370151
0.020000,9.726463,6.965745,13.200860,3.058603,-1.541710,-0.000000,1.375167
0.020000,9.738147,7.025478,13.261724,3.027769,-1.541710,0.000000,1.380083
0.020000,9.749424,7.084659,13.321971,2.996934,-1.541710,0.000000,1.384902
0.020000,9.760307,7.143288,13.381601,2.966100,-1.541710,0.000000,1.389625
0.020000,9.770805,7.201360,13.440615,2.935266,-1.541710,0.000000,1.394254
0.020000,9.780931,7.258874,13.499012,2.904432,-1.541710,0.000000,1.398791
0.020000,9.790694,7.315822,13.556792,2.873598,-1.541710,-0.000000,1.403237
0.020000,9.800104,7.372205,13.613956,2.842763,-1.541710,0.000000,1.407595
0.020000,9.809173,7.428021,13.670503,2.811929,-1.541710,-0.000000,1.411866
0.020000,9.817908,7.483266,13.726433,2.781095,-1.541710,0.000000,1.416053
0.020000,9.826321,7.537935,13.781747,2.750261,-1.541710,-0.000000,1.420155
0.020000,9.834421,7.592028,13.836443,2.719427,-1.541710,-0.000000,1.424175
0.020000,9.842216,7.645543,13.890524,2.688592,-1.541710,0.000000,1.428115
0.020000,9.849716,7.698478,13.943987,2.657758,-1.541710,-0.000000,1.431977
0.020000,9.856930,7.750830,13.996834,2.626924,-1.541710,0.000000,1.435760
0.020000,9.863865,7.802598,14.049064,2.596090,-1.541710,0.000000,1.439468
0.020000,9.870531,7.853780,14.100678,2.565256,-1.541710,0.000000,1.443101
0.020000,9.876935,7.904373,14.151674,2.534421,-1.541710,0.000000,1.446661
0.020000,9.883086,7.954376,14.202054,2.503587,-1.541710,0.000000,1.450149
0.020000,9.888990,8.003787,14.251818,2.472753,-1.541710,-0.000000,1.453567
0.020000,9.894657,8.052606,14.300965,2.441919,-1.541710,0.000000,1.456915
0.020000,9.900092,8.100832,14.349495,2.411085,-1.541710,-0.000000,1.460195
0.020000,9.905304,8.148460,14.397408,2.380251,-1.541710,0.000000,1.463409
0.020000,9.910299,8.195492,14.444705,2.349416,-1.541710,-0.000000,1.466557
0.020000,9.915085,8.241927,14.491385,2.318582,-1.541710,0.000000,1.469640
0.020000,9.919667,8.287760,14.537448,2.287748,-1.541710,0.000000,1.472660
0.020000,9.924053,8.332996,14.582894,2.256914,-1.541710,0.000000,1.475617
0.020000,9.928249,8.377628,14.627724,2.226080,-1.541710,0.000000,1.478514
0.020000,9.932260,8.421659,14.671938,2.195245,-1.541710,0.000000,1.481350
0.020000,9.936095,8.465088,14.715534,2.164411,-1.541710,0.000000,1.484127
0.020000,9.939757,8.507910,14.758514,2.133577,-1.541710,0.000000,1.486846
0.020000,9.943253,8.550129,14.800877,2.102743,-1.541710,0.000000,1.489508
