dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001248,-1.249999,0.000012,0.001186,0.059297,2.964826,6.282187
0.020000,-0.001245,-1.249999,0.000015,0.000148,-0.051899,-5.559788,6.282189
0.020000,-0.001238,-1.249999,0.000021,0.000333,0.009247,3.057299,6.282195
0.020000,-0.001227,-1.249999,0.000033,0.000592,0.012946,0.184953,6.282204
0.020000,-0.001208,-1.249999,0.000052,0.000925,0.016645,0.184980,6.282219
0.020000,-0.001181,-1.249999,0.000078,0.001332,0.020346,0.185025,6.282240
0.020000,-0.001145,-1.249999,0.000115,0.001813,0.024048,0.185092,6.282269
0.020000,-0.001098,-1.250000,0.000162,0.002368,0.027751,0.185186,6.282307
0.020000,-0.001038,-1.250000,0.000222,0.002997,0.031458,0.185310,6.282355
0.020000,-0.000964,-1.250000,0.000296,0.003700,0.035167,0.185469,6.282414
0.020000,-0.000874,-1.250000,0.000386,0.004478,0.038880,0.185668,6.282486
0.020000,-0.000768,-1.250000,0.000492,0.005330,0.042599,0.185910,6.282571
0.020000,-0.000643,-1.250000,0.000617,0.006256,0.046323,0.186202,6.282671
0.020000,-0.000497,-1.250000,0.000762,0.007257,0.050054,0.186546,6.282787
0.020000,-0.000331,-1.250000,0.000929,0.008333,0.053792,0.186947,6.282921
0.020000,-0.000141,-1.250000,0.001119,0.009484,0.057541,0.187411,6.283072
0.020000,0.001243,-1.250000,0.002502,0.069182,2.984916,146.368749,0.000058
0.020000,0.005327,-1.249999,0.006586,0.204204,6.751109,188.309675,0.000251
0.020000,0.009876,-1.249998,0.011136,0.227486,1.164078,-279.351533,0.000465
0.020000,0.014917,-1.249995,0.016176,0.252015,1.226460,3.119079,0.000703
0.020000,0.020472,-1.249990,0.021732,0.277790,1.288725,3.113245,0.000965
0.020000,0.026574,-1.249983,0.027834,0.305073,1.364185,3.772978,0.001253
0.020000,0.033242,-1.249974,0.034502,0.333397,1.416188,2.600176,0.001568
0.020000,0.040500,-1.249961,0.041760,0.362920,1.476165,2.998869,0.001911
0.020000,0.048380,-1.249945,0.049640,0.393974,1.552674,3.825448,0.002284
