dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.000000,0.000012,0.001174,0.058707,2.935366,0.000000
0.020000,0.000000,8.000000,0.000059,0.003522,0.117415,2.935366,0.000000
0.020000,0.000000,8.000000,0.000164,0.007045,0.176122,2.935366,0.000000
0.020000,0.000000,8.000000,0.000352,0.011741,0.234829,2.935366,0.000000
0.020000,0.000000,8.000000,0.000646,0.017612,0.293537,2.935366,0.000000
0.020000,0.000000,8.000000,0.001068,0.024657,0.352244,2.935366,0.000000
0.020000,0.000000,8.000000,0.001644,0.032876,0.410951,2.935366,0.000000
0.020000,0.000000,8.000000,0.002395,0.042269,0.469659,2.935366,0.000000
0.020000,0.000000,8.000000,0.003346,0.052837,0.528366,2.935366,0.000000
0.020000,0.000000,8.000000,0.004520,0.064578,0.587073,2.935366,0.000000
0.020000,0.000000,8.000000,0.005941,0.077494,0.645781,2.935366,0.000000
0.020000,0.000000,8.000000,0.007632,0.091583,0.704488,2.935366,0.000000
0.020000,0.000000,8.000000,0.009616,0.106847,0.763195,2.935366,0.000000
0.020000,0.001918,8.000000,0.011918,0.123285,0.821903,2.935366,0.000000
0.020000,0.004559,8.000000,0.014559,0.140898,0.880610,2.935366,0.000000
0.020000,0.007565,8.000000,0.017565,0.159684,0.939317,2.935366,0.000000
0.020000,0.010959,8.000000,0.020959,0.179644,0.998024,2.935366,0.000000
0.020000,0.014763,8.000000,0.024763,0.200779,1.056732,2.935366,0.000000
0.020000,0.019001,8.000000,0.029001,0.223088,1.115439,2.935366,0.000000
0.020000,0.023698,8.000000,0.033698,0.246571,1.174146,2.935366,0.000000
0.020000,0.028876,8.000000,0.038876,0.271228,1.232854,2.935366,0.000000
0.020000,0.034559,8.000000,0.044559,0.297059,1.291561,2.935366,0.000000
0.020000,0.040770,8.000000,0.050770,0.324064,1.350268,2.935366,0.000000
0.020000,0.047533,8.000000,0.057533,0.352244,1.408976,2.935366,0.000000
0.020000,0.054872,8.000000,0.064872,0.381598,1.467683,2.935366,0.000000
0.020000,0.062809,8.000000,0.072809,0.412125,1.526390,2.935366,0.000000
0.020000,0.071368,8.000000,0.081368,0.443827,1.585098,2.935366,0.000000
0.020000,0.080574,8.000000,0.090574,0.476703,1.643805,2.935366,0.000000
0.020000,0.090448,8.000000,0.100448,0.510754,1.702512,2.935366,0.000000
0.020000,0.101016,8.000000,0.111016,0.545978,1.761220,2.935366,0.000000
0.020000,0.112299,8.000000,0.122299,0.582377,1.819927,2.935366,0.000000
0.020000,0.124322,8.000000,0.134322,0.619949,1.878634,2.935366,0.000000
0.020000,0.137109,8.000000,0.147109,0.658696,1.937342,2.935366,0.000000
0.020000,0.150682,8.000000,0.160682,0.698617,1.996049,2.935366,0.000000
0.020000,0.165065,8.000000,0.175065,0.739712,2.054756,2.935366,0.000000
0.020000,0.180282,8.000000,0.190282,0.781982,2.113464,2.935366,0.000000
0.020000,0.196356,8.000000,0.206356,0.825425,2.172171,2.935366,0.000000
0.020000,0.213311,8.000000,0.223311,0.870043,2.230878,2.935366,0.000000
0.020000,0.231170,8.000000,0.241170,0.915834,2.289586,2.935366,0.000000
0.020000,0.249956,8.000000,0.259956,0.962800,2.348293,2.935366,0.000000
0.020000,0.269693,8.000000,0.279693,1.010940,2.407000,2.935366,0.000000
0.020000,0.290394,8.000000,0.300394,1.059080,2.407000,0.000000,0.000000
0.020000,0.312057,8.000000,0.322057,1.107220,2.407000,0.000000,0.000000
0.020000,0.334682,8.000000,0.344682,1.155360,2.407000,-0.000000,0.000000
0.020000,0.358271,8.000000,0.368271,1.203500,2.407000,0.000000,0.000000
0.020000,0.382822,8.000000,0.392822,1.251640,2.407000,0.000000,0.000000
0.020000,0.408337,8.000000,0.418337,1.299780,2.407000,0.000000,0.000000
0.020000,0.434814,8.000000,0.444814,1.347920,2.407000,-0.000000,0.000000
0.020000,0.462253,8.000000,0.472253,1.396060,2.407000,0.000000,0.000000
0.020000,0.490656,8.000000,0.500656,1.444200,2.407000,0.000000,0.000000
0.020000,0.520021,8.000000,0.530021,1.492340,2.407000,0.000000,0.000000
0.020000,0.550350,8.000000,0.560350,1.540480,2.407000,-0.000000,0.000000
0.020000,0.581641,8.000000,0.591641,1.588620,2.407000,0.000000,0.000000
0.020000,0.613894,8.000000,0.623894,1.636760,2.407000,0.000000,0.000000
0.020000,0.647111,8.000000,0.657111,1.684900,2.407000,0.000000,0.000000
0.020000,0.681290,8.000000,0.691290,1.733040,2.407000,-0.000000,0.000000
0.020000,0.716433,8.000000,0.726433,1.781180,2.407000,0.000000,0.000000
0.020000,0.752538,8.000000,0.762538,1.829320,2.407000,0.000000,0.000000
0.020000,0.789605,8.000000,0.799605,1.877460,2.407000,-0.000000,0.000000
0.020000,0.827636,8.000000,0.837636,1.925600,2.407000,0.000000,0.000000
0.020000,0.866629,8.000000,0.876629,1.973740,2.407000,0.000000,0.000000
0.020000,0.906586,8.000000,0.916586,2.021880,2.407000,0.000000,0.000000
0.020000,0.947505,8.000000,0.957505,2.070020,2.407000,-0.000000,0.000000
0.020000,0.989386,8.000000,0.999386,2.118160,2.407000,0.000000,0.000000
0.020000,1.032231,8.000000,1.042231,2.166300,2.407000,-0.000000,0.000000
0.020000,1.076038,8.000000,1.086038,2.214440,2.407000,0.000000,0.000000
0.020000,1.120809,8.000000,1.130809,2.262580,2.407000,-0.000000,0.000000
0.020000,1.166542,8.000000,1.176542,2.310720,2.407000,0.000000,0.000000
0.020000,1.213237,8.000000,1.223237,2.358860,2.407000,0.000000,0.000000
0.020000,1.260896,8.000000,1.270896,2.407000,2.407000,-0.000000,0.000000
0.020000,1.309518,8.000000,1.319518,2.455140,2.407000,0.000000,0.000000
0.020000,1.359102,8.000000,1.369102,2.503280,2.407000,0.000000,0.000000
0.020000,1.409649,8.000000,1.419649,2.551420,2.407000,0.000000,0.000000
0.020000,1.461159,8.000000,1.471159,2.599560,2.407000,0.000000,0.000000
0.020000,1.513631,8.000000,1.523631,2.647700,2.407000,0.000000,0.000000
0.020000,1.567067,8.000000,1.577067,2.695840,2.407000,-0.000000,0.000000
0.020000,1.621465,8.000000,1.631465,2.743980,2.407000,0.000000,0.000000
0.020000,1.676826,8.000000,1.686826,2.792120,2.407000,0.000000,0.000000
0.020000,1.733150,8.000000,1.743150,2.840260,2.407000,-0.000000,0.000000
0.020000,1.790436,8.000000,1.800436,2.888400,2.407000,0.000000,0.000000
0.020000,1.848686,8.000000,1.858686,2.936540,2.407000,-0.000000,0.000000
0.020000,1.907898,8.000000,1.917898,2.984680,2.407000,0.000000,0.000000
0.020000,1.968073,8.000000,1.978073,3.032820,2.407000,-0.000000,0.000000
0.020000,2.029211,8.000000,2.039211,3.080960,2.407000,0.000000,0.000000
0.020000,2.091299,8.000000,2.101299,3.127926,2.348293,-2.935366,0.000000
