dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,6.750000,0.000012,0.001174,0.058707,2.935366,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,-0.058707,-5.870732,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,2.935366,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.001918,6.750000,0.001929,0.095879,4.793966,239.698284,0.000000
0.020000,0.004559,6.750000,0.004571,0.132091,1.810608,-149.167885,0.000000
0.020000,0.007565,6.750000,0.007577,0.150291,0.909963,-45.032225,0.000000
0.020000,0.010959,6.750000,0.010970,0.169664,0.968671,2.935366,0.000000
0.020000,0.014763,6.750000,0.014774,0.190212,1.027378,2.935366,0.000000
0.020000,0.019001,6.750000,0.019013,0.211933,1.086085,2.935366,0.000000
0.020000,0.023698,6.750000,0.023710,0.234829,1.144793,2.935366,0.000000
0.020000,0.028876,6.750000,0.028888,0.258899,1.203500,2.935366,0.000000
0.020000,0.034559,6.750000,0.034571,0.284143,1.262207,2.935366,0.000000
0.020000,0.040770,6.750000,0.040782,0.310562,1.320915,2.935366,0.000000
0.020000,0.047533,6.750000,0.047545,0.338154,1.379622,2.935366,0.000000
0.020000,0.054872,6.750000,0.054883,0.366921,1.438329,2.935366,0.000000
0.020000,0.062809,6.750000,0.062821,0.396861,1.497037,2.935366,0.000000
0.020000,0.071368,6.750000,0.071380,0.427976,1.555744,2.935366,0.000000
0.020000,0.080574,6.750000,0.080585,0.460265,1.614451,2.935366,0.000000
0.020000,0.090448,6.750000,0.090460,0.493729,1.673159,2.935366,0.000000
0.020000,0.101016,6.750000,0.101027,0.528366,1.731866,2.935366,0.000000
0.020000,0.112299,6.750000,0.112311,0.564177,1.790573,2.935366,0.000000
0.020000,0.124322,6.750000,0.124334,0.601163,1.849281,2.935366,0.000000
0.020000,0.137109,6.750000,0.137121,0.639323,1.907988,2.935366,0.000000
0.020000,0.150682,6.750000,0.150694,0.678657,1.966695,2.935366,0.000000
0.020000,0.165065,6.750000,0.165077,0.719165,2.025403,2.935366,0.000000
0.020000,0.180282,6.750000,0.180294,0.760847,2.084110,2.935366,0.000000
0.020000,0.196356,6.750000,0.196368,0.803703,2.142817,2.935366,0.000000
0.020000,0.213311,6.750000,0.213323,0.847734,2.201525,2.935366,0.000000
0.020000,0.231170,6.750000,0.231181,0.892938,2.260232,2.935366,0.000000
0.020000,0.249956,6.750000,0.249968,0.939317,2.318939,2.935366,0.000000
0.020000,0.269693,6.750000,0.269705,0.986870,2.377647,2.935366,0.000000
0.020000,0.290394,6.750000,0.290405,1.035010,2.407000,1.467683,0.000000
0.020000,0.312057,6.750000,0.312068,1.083150,2.407000,0.000000,0.000000
0.020000,0.334682,6.750000,0.334694,1.131290,2.407000,-0.000000,0.000000
0.020000,0.358271,6.750000,0.358283,1.179430,2.407000,-0.000000,0.000000
0.020000,0.382822,6.750000,0.382834,1.227570,2.407000,0.000000,0.000000
0.020000,0.408337,6.750000,0.408348,1.275710,2.407000,-0.000000,0.000000
0.020000,0.434814,6.750000,0.434825,1.323850,2.407000,-0.000000,0.000000
0.020000,0.462253,6.750000,0.462265,1.371990,2.407000,0.000000,0.000000
0.020000,0.490656,6.750000,0.490668,1.420130,2.407000,0.000000,0.000000
0.020000,0.520021,6.750000,0.520033,1.468270,2.407000,-0.000000,0.000000
0.020000,0.550350,6.750000,0.550361,1.516410,2.407000,0.000000,0.000000
0.020000,0.581641,6.750000,0.581652,1.564550,2.407000,-0.000000,0.000000
