dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.000000,6.000000,0.000040,0.003968,0.198399,9.919926,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,-0.198399,-19.839852,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,9.919926,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,8.000000,6.000000,0.000040,0.000000,0.000000,0.000000,0.000000
0.020000,8.002309,6.000000,0.002348,0.115436,5.771789,288.589433,0.000000
0.020000,8.006277,6.000000,0.006316,0.198399,4.148137,-81.182574,0.000000
0.020000,8.011078,6.000000,0.011118,0.240062,2.083184,-103.247638,0.000000
0.020000,8.016792,6.000000,0.016831,0.285694,2.281583,9.919926,0.000000
0.020000,8.023498,6.000000,0.023537,0.335293,2.479981,9.919926,0.000000
0.020000,8.031275,6.000000,0.031315,0.388861,2.678380,9.919926,0.000000
0.020000,8.040203,6.000000,0.040243,0.446397,2.876778,9.919926,0.000000
0.020000,8.050361,6.000000,0.050401,0.507900,3.075177,9.919926,0.000000
0.020000,8.061828,6.000000,0.061868,0.573372,3.273576,9.919926,0.000000
0.020000,8.074684,6.000000,0.074724,0.642811,3.471974,9.919926,0.000000
0.020000,8.089009,6.000000,0.089049,0.716219,3.670373,9.919926,0.000000
0.020000,8.104881,6.000000,0.104920,0.793594,3.868771,9.919926,0.000000
0.020000,8.122379,6.000000,0.122419,0.874937,4.067170,9.919926,0.000000
0.020000,8.141584,6.000000,0.141624,0.960249,4.265568,9.919926,0.000000
0.020000,8.162575,6.000000,0.162615,1.049528,4.463967,9.919926,0.000000
0.020000,8.185431,6.000000,0.185470,1.142775,4.662365,9.919926,0.000000
0.020000,8.210230,6.000000,0.210270,1.239991,4.860764,9.919926,0.000000
0.020000,8.237054,6.000000,0.237094,1.341174,5.059162,9.919926,0.000000
0.020000,8.265980,6.000000,0.266020,1.446325,5.257561,9.919926,0.000000
0.020000,8.297089,6.000000,0.297129,1.555444,5.455959,9.919926,0.000000
0.020000,8.330460,6.000000,0.330500,1.668532,5.654358,9.919926,0.000000
0.020000,8.366172,6.000000,0.366211,1.785587,5.852756,9.919926,0.000000
0.020000,8.404304,6.000000,0.404343,1.906610,6.051155,9.919926,0.000000
0.020000,8.444936,6.000000,0.444975,2.031601,6.249553,9.919926,0.000000
0.020000,8.488147,6.000000,0.488187,2.160560,6.447952,9.919926,0.000000
0.020000,8.534017,6.000000,0.534056,2.293487,6.646350,9.919926,0.000000
0.020000,8.582624,6.000000,0.582664,2.430382,6.844749,9.919926,0.000000
0.020000,8.634049,6.000000,0.634089,2.571245,7.043147,9.919926,0.000000
0.020000,8.688371,6.000000,0.688410,2.716076,7.241546,9.919926,0.000000
0.020000,8.745629,6.000000,0.745668,2.862891,7.340745,4.959963,0.000000
0.020000,8.805823,6.000000,0.805862,3.009706,7.340745,0.000000,0.000000
0.020000,8.868953,6.000000,0.868993,3.156520,7.340745,0.000000,0.000000
0.020000,8.934980,6.000000,0.935020,3.301351,7.241546,-4.959963,0.000000
0.020000,9.003824,6.000000,1.003864,3.442214,7.043147,-9.919926,0.000000
0.020000,9.075407,6.000000,1.075446,3.579109,6.844749,-9.919926,0.000000
0.020000,9.149647,6.000000,1.149687,3.712036,6.646350,-9.919926,0.000000
