dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.000000,5.000000,0.000040,0.003968,0.198399,9.919926,0.000000
0.020000,8.000000,5.000000,0.000198,0.011904,0.396797,9.919926,0.000000
0.020000,8.000000,5.000000,0.000556,0.023808,0.595196,9.919926,0.000000
0.020000,8.000000,5.000000,0.001190,0.039680,0.793594,9.919926,0.000000
0.020000,8.000000,5.000000,0.002182,0.059520,0.991993,9.919926,0.000000
0.020000,8.000000,5.000000,0.003611,0.083327,1.190391,9.919926,0.000000
0.020000,8.000000,5.000000,0.005555,0.111103,1.388790,9.919926,0.000000
0.020000,8.000000,5.000000,0.008095,0.142847,1.587188,9.919926,0.000000
0.020000,8.002309,5.000000,0.011309,0.178559,1.785587,9.919926,0.000000
0.020000,8.006277,5.000000,0.015277,0.218238,1.983985,9.919926,0.000000
0.020000,8.011078,5.000000,0.020078,0.261886,2.182384,9.919926,0.000000
0.020000,8.016792,5.000000,0.025792,0.309502,2.380782,9.919926,0.000000
0.020000,8.023498,5.000000,0.032498,0.361085,2.579181,9.919926,0.000000
0.020000,8.031275,5.000000,0.040275,0.416637,2.777579,9.919926,0.000000
0.020000,8.040203,5.000000,0.049203,0.476156,2.975978,9.919926,0.000000
0.020000,8.050361,5.000000,0.059361,0.539644,3.174376,9.919926,0.000000
0.020000,8.061828,5.000000,0.070828,0.607099,3.372775,9.919926,0.000000
0.020000,8.074684,5.000000,0.083684,0.678523,3.571173,9.919926,0.000000
0.020000,8.089009,5.000000,0.098009,0.753914,3.769572,9.919926,0.000000
0.020000,8.104881,5.000000,0.113881,0.833274,3.967970,9.919926,0.000000
0.020000,8.122379,5.000000,0.131379,0.916601,4.166369,9.919926,0.000000
0.020000,8.141584,5.000000,0.150584,1.003896,4.364767,9.919926,0.000000
0.020000,8.162575,5.000000,0.171575,1.095160,4.563166,9.919926,0.000000
0.020000,8.185431,5.000000,0.194431,1.190391,4.761564,9.919926,0.000000
0.020000,8.210230,5.000000,0.219230,1.289590,4.959963,9.919926,0.000000
0.020000,8.237054,5.000000,0.246054,1.392758,5.158361,9.919926,0.000000
0.020000,8.265980,5.000000,0.274980,1.499893,5.356760,9.919926,0.000000
0.020000,8.297089,5.000000,0.306089,1.610996,5.555158,9.919926,0.000000
0.020000,8.330460,5.000000,0.339460,1.726067,5.753557,9.919926,0.000000
0.020000,8.366172,5.000000,0.375172,1.845106,5.951956,9.919926,0.000000
0.020000,8.404304,5.000000,0.413304,1.968113,6.150354,9.919926,0.000000
0.020000,8.444936,5.000000,0.453936,2.095088,6.348753,9.919926,0.000000
0.020000,8.488147,5.000000,0.497147,2.226031,6.547151,9.919926,0.000000
0.020000,8.534017,5.000000,0.543017,2.360942,6.745550,9.919926,0.000000
0.020000,8.582624,5.000000,0.591624,2.499821,6.943948,9.919926,0.000000
0.020000,8.634049,5.000000,0.643049,2.642668,7.142347,9.919926,0.000000
0.020000,8.688371,5.000000,0.697371,2.789483,7.340745,9.919926,0.000000
0.020000,8.745629,5.000000,0.754629,2.936298,7.340745,0.000000,0.000000
0.020000,8.805823,5.000000,0.814823,3.083113,7.340745,0.000000,0.000000
0.020000,8.868953,5.000000,0.877953,3.229928,7.340745,-0.000000,0.000000
0.020000,8.934980,5.000000,0.943980,3.372775,7.142347,-9.919926,0.000000
0.020000,9.003824,5.000000,1.012824,3.511654,6.943948,-9.919926,0.000000
0.020000,9.075407,5.000000,1.084407,3.646565,6.745550,-9.919926,0.000000
0.020000,9.149647,5.000000,1.158647,3.777508,6.547151,-9.919926,0.000000
0.020000,9.226467,5.000000,1.235467,3.904483,6.348753,-9.919926,0.000000
0.020000,9.305787,5.000000,1.314787,4.027490,6.150354,-9.919926,0.000000
0.020000,9.387527,5.000000,1.396527,4.146529,5.951956,-9.919926,0.000000
0.020000,9.471608,5.000000,1.480608,4.261600,5.753557,-9.919926,0.000000
0.020000,9.557951,5.000000,1.566951,4.372703,5.555158,-9.919926,0.000000
0.020000,9.646477,5.000000,1.655477,4.479839,5.356760,-9.919926,0.000000
0.020000,9.737105,5.000000,1.746105,4.583006,5.158361,-9.919926,0.000000
0.020000,9.829757,5.000000,1.838757,4.682205,4.959963,-9.919926,0.000000
0.020000,9.924354,5.000000,1.933354,4.777436,4.761564,-9.919926,0.000000
0.020000,10.020815,5.000000,2.029815,4.868700,4.563166,-9.919926,0.000000
0.020000,10.119062,5.000000,2.128062,4.955995,4.364767,-9.919926,0.000000
0.020000,10.219015,5.000000,2.228015,5.039322,4.166369,-9.919926,0.000000
0.020000,10.320595,5.000000,2.329595,5.118682,3.967970,-9.919926,0.000000
0.020000,10.423723,5.000000,2.432723,5.194073,3.769572,-9.919926,0.000000
