dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001576,7.999999,0.000039,0.003949,0.197438,9.871898,0.001576
0.020000,-0.001554,7.999999,0.000062,0.001109,-0.141964,-16.970078,0.001554
0.020000,-0.001504,7.999999,0.000112,0.002496,0.069341,10.565251,0.001504
0.020000,-0.001415,7.999999,0.000200,0.004438,0.097074,1.386615,0.001415
0.020000,-0.001276,7.999999,0.000339,0.006934,0.124799,1.386287,0.001276
0.020000,-0.001077,7.999999,0.000539,0.009984,0.152514,1.385749,0.001077
0.020000,-0.000805,8.000000,0.000810,0.013588,0.180213,1.384946,0.000805
0.020000,-0.000450,8.000000,0.001165,0.017746,0.207890,1.383821,0.000450
0.020000,-0.000001,8.000000,0.001615,0.022457,0.235536,1.382313,0.000001
0.020000,0.004498,7.999999,0.006114,0.224953,10.124785,494.462458,6.282631
0.020000,0.009947,7.999994,0.011562,0.272435,2.374104,-387.534078,6.281961
0.020000,0.016432,7.999983,0.018047,0.324238,2.590156,10.802612,6.281162
0.020000,0.024042,7.999964,0.025657,0.380507,2.813447,11.164544,6.280225
0.020000,0.032869,7.999933,0.034484,0.441345,3.041892,11.422277,6.279138
0.020000,0.043001,7.999886,0.044616,0.506613,3.263448,11.077787,6.277891
0.020000,0.054529,7.999817,0.056145,0.576411,3.489863,11.320762,6.276471
0.020000,0.067543,7.999719,0.069159,0.650724,3.715644,11.289040,6.274869
0.020000,0.082133,7.999585,0.083750,0.729537,3.940644,11.249995,6.273072
0.020000,0.098389,7.999404,0.100006,0.812831,4.164711,11.203336,6.271070
0.020000,0.116399,7.999166,0.118019,0.900617,4.389326,11.230756,6.268852
0.020000,0.136257,7.998857,0.137878,0.992974,4.617815,11.424454,6.266407
0.020000,0.158048,7.998462,0.159673,1.089747,4.838674,11.042980,6.263724
0.020000,0.181863,7.997964,0.183494,1.191030,5.064152,11.273859,6.260793
0.020000,0.207792,7.997341,0.209430,1.296824,5.289710,11.277943,6.257601
0.020000,0.235924,7.996573,0.237572,1.407095,5.513516,11.190285,6.254139
0.020000,0.266345,7.995632,0.268008,1.521802,5.735374,11.092895,6.250396
0.020000,0.299146,7.994490,0.300829,1.641058,5.962801,11.371367,6.246362
0.020000,0.334414,7.993114,0.336123,1.764693,6.181734,10.946619,6.242026
0.020000,0.372234,7.991468,0.373980,1.892817,6.406217,11.224185,6.237379
0.020000,0.412694,7.989513,0.414487,2.025374,6.627846,11.081413,6.232410
0.020000,0.455879,7.987204,0.457733,2.162302,6.846415,10.928480,6.227111
0.020000,0.501873,7.984492,0.503807,2.303704,7.070061,11.182301,6.221473
0.020000,0.550758,7.981324,0.552795,2.449406,7.285120,10.752929,6.215486
