dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,7.000000,0.000039,0.003949,0.197438,9.871898,0.001576
0.020000,0.000000,7.000000,0.000197,0.011846,0.394876,9.871898,0.001554
0.020000,0.000000,7.000000,0.000553,0.023693,0.592314,9.871898,0.001504
0.020000,0.000000,7.000000,0.001185,0.039488,0.789752,9.871898,0.001415
0.020000,0.000000,7.000000,0.002172,0.059231,0.987190,9.871898,0.001276
0.020000,0.000000,7.000000,0.003593,0.082924,1.184628,9.871898,0.001077
0.020000,0.000000,7.000000,0.005528,0.110565,1.382066,9.871898,0.000805
0.020000,0.000000,7.000000,0.008055,0.142155,1.579504,9.871898,0.000450
0.020000,0.000000,7.000000,0.011254,0.177694,1.776942,9.871898,0.000001
0.020000,0.003944,6.999999,0.015203,0.217182,1.974380,9.871898,6.282631
0.020000,0.008722,6.999995,0.019981,0.260618,2.171817,9.871898,6.281961
0.020000,0.014409,6.999985,0.025667,0.308003,2.369255,9.871898,6.281162
0.020000,0.021082,6.999969,0.032340,0.359337,2.566693,9.871898,6.280225
0.020000,0.028822,6.999942,0.040080,0.414620,2.764131,9.871898,6.279138
0.020000,0.037706,6.999900,0.048965,0.473851,2.961569,9.871898,6.277891
0.020000,0.047815,6.999839,0.059073,0.537031,3.159007,9.871898,6.276471
0.020000,0.059226,6.999754,0.070485,0.604160,3.356445,9.871898,6.274869
0.020000,0.072020,6.999636,0.083279,0.675238,3.553883,9.871898,6.273072
0.020000,0.086274,6.999477,0.097534,0.750264,3.751321,9.871898,6.271070
0.020000,0.102067,6.999269,0.113329,0.829239,3.948759,9.871898,6.268852
0.020000,0.119479,6.998998,0.130743,0.912163,4.146197,9.871898,6.266407
0.020000,0.138588,6.998651,0.149855,0.999036,4.343635,9.871898,6.263724
0.020000,0.159473,6.998214,0.170744,1.089857,4.541073,9.871898,6.260793
0.020000,0.182211,6.997669,0.193489,1.184628,4.738511,9.871898,6.257601
0.020000,0.206882,6.996995,0.218169,1.283347,4.935949,9.871898,6.254139
0.020000,0.233562,6.996169,0.244863,1.386014,5.133387,9.871898,6.250396
0.020000,0.262331,6.995168,0.273649,1.492631,5.330825,9.871898,6.246362
0.020000,0.293266,6.993961,0.304607,1.603196,5.528263,9.871898,6.242026
0.020000,0.326443,6.992517,0.337816,1.717710,5.725701,9.871898,6.237379
0.020000,0.361941,6.990802,0.373355,1.836173,5.923139,9.871898,6.232410
0.020000,0.399834,6.988775,0.411303,1.958584,6.120577,9.871898,6.227111
0.020000,0.440199,6.986395,0.451738,2.084945,6.318014,9.871898,6.221473
0.020000,0.483111,6.983615,0.494740,2.215254,6.515452,9.871898,6.215486
0.020000,0.528644,6.980382,0.540388,2.349512,6.712890,9.871898,6.209145
0.020000,0.576871,6.976642,0.588760,2.487718,6.910328,9.871898,6.202440
0.020000,0.627866,6.972334,0.639936,2.629874,7.107766,9.871898,6.195366
0.020000,0.681698,6.967392,0.693994,2.775978,7.305204,9.871898,6.187917
0.020000,0.738437,6.961746,0.751014,2.926030,7.502642,9.871898,6.180089
0.020000,0.798153,6.955320,0.811075,3.080032,7.700080,9.871898,6.171878
0.020000,0.860911,6.948032,0.874255,3.237982,7.897518,9.871898,6.163283
0.020000,0.926737,6.939801,0.940594,3.395933,7.897518,0.000000,6.154308
0.020000,0.995616,6.930547,1.010093,3.553883,7.897518,-0.000000,6.144964
0.020000,1.067531,6.920187,1.082750,3.711833,7.897518,0.000000,6.135265
0.020000,1.142462,6.908636,1.158566,3.869784,7.897518,-0.000000,6.125225
0.020000,1.220387,6.895808,1.237541,4.027734,7.897518,-0.000000,6.114861
0.020000,1.301286,6.881616,1.319675,4.185685,7.897518,0.000000,6.104189
0.020000,1.385131,6.865969,1.404968,4.343635,7.897518,0.000000,6.093231
0.020000,1.471897,6.848780,1.493421,4.501585,7.897518,0.000000,6.082008
0.020000,1.561553,6.829959,1.585032,4.659536,7.897518,-0.000000,6.070542
0.020000,1.654069,6.809416,1.679802,4.817486,7.897518,0.000000,6.058859
0.020000,1.749413,6.787064,1.777731,4.975436,7.897518,0.000000,6.046987
0.020000,1.847549,6.762816,1.878820,5.133387,7.897518,0.000000,6.034953
0.020000,1.948442,6.736587,1.983067,5.291337,7.897518,-0.000000,6.022788
0.020000,2.052055,6.708296,2.090473,5.449287,7.897518,0.000000,6.010525
0.020000,2.158348,6.677863,2.201038,5.607238,7.897518,-0.000000,5.998196
0.020000,2.267284,6.645213,2.314763,5.765188,7.897518,0.000000,5.985838
0.020000,2.378823,6.610275,2.431646,5.923139,7.897518,0.000000,5.973486
0.020000,2.492925,6.572983,2.551688,6.081089,7.897518,0.000000,5.961177
0.020000,2.609514,6.533289,2.674850,6.235091,7.700080,-9.871898,5.948955
0.020000,2.728478,6.491165,2.801052,6.385143,7.502642,-9.871898,5.936864
0.020000,2.849707,6.446595,2.930216,6.531247,7.305204,-9.871898,5.924952
0.020000,2.973096,6.399569,3.062263,6.673403,7.107766,-9.871898,5.913262
0.020000,3.098541,6.350093,3.197113,6.811609,6.910328,-9.871898,5.901837
0.020000,3.225943,6.298177,3.334688,6.945867,6.712890,-9.871898,5.890722
0.020000,3.355209,6.243845,3.474908,7.076176,6.515452,-9.871898,5.879956
0.020000,3.486248,6.187130,3.617695,7.202536,6.318014,-9.871898,5.869579
0.020000,3.618977,6.128074,3.762970,7.324948,6.120577,-9.871898,5.859629
0.020000,3.753317,6.066731,3.910654,7.443411,5.923139,-9.871898,5.850142
0.020000,3.889195,6.003161,4.060667,7.557925,5.725701,-9.871898,5.841151
0.020000,4.026543,5.937437,4.212931,7.668490,5.528263,-9.871898,5.832690
0.020000,4.165301,5.869637,4.367367,7.775107,5.330825,-9.871898,5.824788
0.020000,4.305411,5.799850,4.523896,7.877774,5.133387,-9.871898,5.817475
0.020000,4.446826,5.728173,4.682438,7.976493,4.935949,-9.871898,5.810778
0.020000,4.589501,5.654710,4.842916,8.071263,4.738511,-9.871898,5.804722
0.020000,4.733398,5.579572,5.005250,8.162085,4.541073,-9.871898,5.799333
0.020000,4.878485,5.502879,5.169360,8.248958,4.343635,-9.871898,5.794634
0.020000,5.024736,5.424757,5.335168,8.331882,4.146197,-9.871898,5.790645
0.020000,5.172128,5.345336,5.502596,8.410857,3.948759,-9.871898,5.787389
0.020000,5.320644,5.264758,5.671563,8.485883,3.751321,-9.871898,5.784886
0.020000,5.470272,5.183165,5.841992,8.556961,3.553883,-9.871898,5.783155
0.020000,5.621003,5.100709,6.013802,8.624090,3.356445,-9.871898,5.782215
0.020000,5.772833,5.017546,6.186916,8.687270,3.159007,-9.871898,5.782085
0.020000,5.925760,4.933839,6.361253,8.746501,2.961569,-9.871898,5.782781
0.020000,6.079785,4.849753,6.536736,8.801784,2.764131,-9.871898,5.784322
0.020000,6.234913,4.765463,6.713285,8.853118,2.566693,-9.871898,5.786725
0.020000,6.391148,4.681144,6.890821,8.900503,2.369255,-9.871898,5.790006
0.020000,6.548498,4.596981,7.069266,8.943939,2.171817,-9.871898,5.794182
0.020000,6.706968,4.513158,7.248540,8.983427,1.974380,-9.871898,5.799267
0.020000,6.866566,4.429869,7.428563,9.018966,1.776942,-9.871898,5.805278
0.020000,7.027297,4.347309,7.609259,9.050556,1.579504,-9.871898,5.812227
0.020000,7.189165,4.265678,7.790546,9.078197,1.382066,-9.871898,5.820127
0.020000,7.352172,4.185179,7.972347,9.101890,1.184628,-9.871898,5.828990
0.020000,7.516316,4.106019,8.154582,9.121633,0.987190,-9.871898,5.838825
0.020000,7.681589,4.028407,8.337173,9.137428,0.789752,-9.871898,5.849640
0.020000,7.847981,3.952553,8.520040,9.149275,0.592314,-9.871898,5.861438
0.020000,8.015473,3.878671,8.703104,9.157172,0.394876,-9.871898,5.874221
0.020000,8.184039,3.806972,8.886287,9.161121,0.197438,-9.871898,5.887985
0.020000,8.353620,3.737678,9.069480,9.158187,-0.146695,-17.206658,5.902722
0.020000,8.524143,3.671009,9.252575,9.151304,-0.344133,-9.871898,5.918416
