dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001576,6.000001,0.000039,0.003949,0.197438,9.871898,0.001576
0.020000,0.001554,6.000001,0.000062,0.001109,-0.141964,-16.970078,0.001554
0.020000,0.001504,6.000001,0.000112,0.002496,0.069341,10.565251,0.001504
0.020000,0.001415,6.000001,0.000200,0.004438,0.097074,1.386615,0.001415
0.020000,0.001276,6.000001,0.000339,0.006934,0.124799,1.386287,0.001276
0.020000,0.001077,6.000001,0.000539,0.009984,0.152514,1.385749,0.001077
0.020000,0.000805,6.000000,0.000810,0.013588,0.180213,1.384946,0.000805
0.020000,0.000450,6.000000,0.001165,0.017746,0.207890,1.383821,0.000450
0.020000,0.000001,6.000000,0.001615,0.022457,0.235536,1.382313,0.000001
0.020000,0.003391,5.999999,0.005004,0.169497,7.351987,355.822556,6.282631
0.020000,0.007498,5.999995,0.009111,0.205347,1.792527,-277.972988,6.281961
0.020000,0.012385,5.999987,0.013999,0.244392,1.952253,7.986292,6.281162
0.020000,0.018121,5.999973,0.019735,0.286803,2.120532,8.413950,6.280225
0.020000,0.024775,5.999950,0.026388,0.332657,2.292700,8.608412,6.279138
0.020000,0.032411,5.999914,0.034025,0.381851,2.459687,8.349317,6.277891
0.020000,0.041100,5.999862,0.042715,0.434458,2.630358,8.533542,6.276471
0.020000,0.050910,5.999788,0.052524,0.490469,2.800587,8.511453,6.274869
0.020000,0.061907,5.999687,0.063522,0.549875,2.970283,8.484836,6.273072
0.020000,0.074159,5.999551,0.075775,0.612662,3.139359,8.453783,6.271070
0.020000,0.087735,5.999371,0.089352,0.678842,3.308964,8.480246,6.268852
0.020000,0.102702,5.999138,0.104321,0.748475,3.481648,8.634177,6.266407
0.020000,0.119129,5.998841,0.120750,0.821450,3.648792,8.357225,6.263724
0.020000,0.137082,5.998465,0.138707,0.897844,3.819694,8.545117,6.260793
0.020000,0.156629,5.997996,0.158260,0.977665,3.991016,8.566069,6.257601
0.020000,0.177839,5.997416,0.179478,1.060894,4.161469,8.522686,6.254139
0.020000,0.200779,5.996707,0.202428,1.147514,4.331024,8.477709,6.250396
0.020000,0.225516,5.995846,0.227181,1.237624,4.505484,8.723008,6.246362
0.020000,0.252118,5.994808,0.253803,1.331112,4.674405,8.446068,6.242026
0.020000,0.280653,5.993566,0.282365,1.428084,4.848568,8.708167,6.237379
0.020000,0.311188,5.992091,0.312935,1.528521,5.021852,8.664186,6.232410
0.020000,0.343789,5.990347,0.345583,1.632408,5.194352,8.625002,6.227111
0.020000,0.378526,5.988299,0.380381,1.739858,5.372498,8.907295,6.221473
0.020000,0.415464,5.985905,0.417396,1.850784,5.546301,8.690123,6.215486
0.020000,0.454671,5.983122,0.456702,1.965282,5.724905,8.930202,6.209145
0.020000,0.496213,5.979901,0.498369,2.083350,5.903401,8.924795,6.202440
0.020000,0.540159,5.976188,0.542471,2.205109,6.087966,9.228290,6.195366
0.020000,0.586574,5.971927,0.589081,2.330481,6.268603,9.031834,6.187917
