dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.996821,9.249996,0.000012,0.001170,0.058501,2.925055,0.002544
0.020000,9.996833,9.249996,0.000024,0.000632,-0.026898,-4.269935,0.002533
0.020000,9.996862,9.249996,0.000053,0.001422,0.039505,3.320118,0.002511
0.020000,9.996912,9.249996,0.000103,0.002528,0.055308,0.790150,0.002470
0.020000,9.996991,9.249996,0.000182,0.003951,0.071112,0.790233,0.002407
0.020000,9.997105,9.249997,0.000296,0.005689,0.086920,0.790370,0.002316
0.020000,9.997260,9.249997,0.000451,0.007744,0.102731,0.790573,0.002192
0.020000,9.997462,9.249997,0.000653,0.010115,0.118548,0.790854,0.002030
0.020000,9.997718,9.249998,0.000909,0.012802,0.134373,0.791228,0.001825
0.020000,9.998034,9.249998,0.001225,0.015806,0.150207,0.791705,0.001573
0.020000,9.998417,9.249999,0.001608,0.019127,0.166053,0.792298,0.001267
0.020000,9.998872,9.249999,0.002063,0.022765,0.181913,0.793017,0.000902
0.020000,9.999407,9.250000,0.002598,0.026721,0.197791,0.793874,0.000475
0.020000,10.000125,9.250000,0.003316,0.035897,0.458768,13.048883,6.283164
0.020000,10.003471,9.249999,0.006662,0.167310,6.570683,305.595739,6.282594
0.020000,10.007277,9.249995,0.010468,0.190319,1.150451,-271.011610,6.281946
0.020000,10.011573,9.249989,0.014764,0.214798,1.223944,3.674658,6.281214
0.020000,10.016390,9.249977,0.019581,0.240844,1.302298,3.917694,6.280392
0.020000,10.021760,9.249960,0.024952,0.268528,1.384184,4.094284,6.279476
0.020000,10.027709,9.249935,0.030900,0.297433,1.445237,3.052687,6.278460
0.020000,10.034271,9.249900,0.037462,0.328098,1.533250,4.400631,6.277339
0.020000,10.041473,9.249853,0.044664,0.360102,1.600243,3.349665,6.276108
0.020000,10.049347,9.249792,0.052539,0.393713,1.680537,4.014670,6.274760
0.020000,10.057921,9.249714,0.061113,0.428728,1.750737,3.510009,6.273291
0.020000,10.067230,9.249614,0.070422,0.465460,1.836600,4.293143,6.271695
0.020000,10.077298,9.249490,0.080492,0.503458,1.899903,3.165162,6.269966
0.020000,10.088160,9.249336,0.091354,0.543128,1.983499,4.179784,6.268099
0.020000,10.099846,9.249148,0.103042,0.584404,2.063819,4.016023,6.266088
0.020000,10.112385,9.248920,0.115584,0.627068,2.133180,3.468056,6.263927
0.020000,10.125809,9.248646,0.129009,0.671298,2.211488,3.915367,6.261610
0.020000,10.140147,9.248319,0.143351,0.717088,2.289518,3.901520,6.259132
