dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.003179,6.750004,0.000012,0.001170,0.058501,2.925055,0.002544
0.020000,10.003167,6.750004,0.000024,0.000632,-0.026898,-4.269935,0.002533
0.020000,10.003138,6.750004,0.000053,0.001422,0.039505,3.320118,0.002511
0.020000,10.003088,6.750004,0.000103,0.002528,0.055308,0.790150,0.002470
0.020000,10.003009,6.750004,0.000182,0.003951,0.071112,0.790233,0.002407
0.020000,10.002895,6.750003,0.000296,0.005689,0.086920,0.790370,0.002316
0.020000,10.002740,6.750003,0.000451,0.007744,0.102731,0.790573,0.002192
0.020000,10.002538,6.750003,0.000653,0.010115,0.118548,0.790854,0.002030
0.020000,10.002282,6.750002,0.000909,0.012802,0.134373,0.791228,0.001825
0.020000,10.001966,6.750002,0.001225,0.015806,0.150207,0.791705,0.001573
0.020000,10.001583,6.750001,0.001608,0.019127,0.166053,0.792298,0.001267
0.020000,10.001128,6.750001,0.002063,0.022765,0.181913,0.793017,0.000902
0.020000,10.000593,6.750000,0.002598,0.026721,0.197791,0.793874,0.000475
0.020000,10.000072,6.750000,0.003120,0.026095,-0.031298,-11.454459,6.283164
0.020000,10.001993,6.749999,0.005041,0.096086,3.499514,176.540644,6.282594
0.020000,10.004179,6.749997,0.007227,0.109265,0.658992,-142.026126,6.281946
0.020000,10.006644,6.749993,0.009692,0.123276,0.700509,2.075851,6.281214
0.020000,10.009407,6.749987,0.012456,0.138169,0.744668,2.207958,6.280392
0.020000,10.012487,6.749977,0.015535,0.153983,0.790684,2.300810,6.279476
0.020000,10.015897,6.749962,0.018945,0.170474,0.824573,1.694440,6.278460
0.020000,10.019655,6.749943,0.022704,0.187948,0.873717,2.457189,6.277339
0.020000,10.023779,6.749916,0.026827,0.206160,0.910594,1.843865,6.276108
0.020000,10.028284,6.749881,0.031332,0.225257,0.954851,2.212859,6.274760
0.020000,10.033186,6.749836,0.036234,0.245119,0.993074,1.911150,6.273291
0.020000,10.038504,6.749779,0.041553,0.265918,1.039974,2.344977,6.271695
0.020000,10.044251,6.749708,0.047301,0.287392,1.073686,1.685592,6.269966
0.020000,10.050446,6.749621,0.053496,0.309766,1.118675,2.249486,6.268099
0.020000,10.057105,6.749513,0.060156,0.332995,1.161451,2.138796,6.266088
0.020000,10.064243,6.749384,0.067295,0.356947,1.197632,1.809031,6.263927
0.020000,10.071875,6.749228,0.074929,0.381718,1.238547,2.045762,6.261610
0.020000,10.080019,6.749042,0.083075,0.407297,1.278921,2.018674,6.259132
0.020000,10.088690,6.748822,0.091748,0.433671,1.318715,1.989718,6.256486
0.020000,10.097903,6.748563,0.100965,0.460829,1.357895,1.959009,6.253666
0.020000,10.107673,6.748260,0.110740,0.488757,1.396429,1.926694,6.250666
0.020000,10.118016,6.747907,0.121089,0.517443,1.434288,1.892947,6.247480
0.020000,10.128949,6.747498,0.132029,0.547012,1.478452,2.208186,6.244100
0.020000,10.140484,6.747026,0.143574,0.577238,1.511288,1.641790,6.240522
0.020000,10.152636,6.746484,0.155738,0.608210,1.548594,1.865338,6.236738
0.020000,10.165422,6.745864,0.168539,0.640045,1.591770,2.158805,6.232741
0.020000,10.178854,6.745158,0.181990,0.672532,1.624355,1.629227,6.228526
0.020000,10.192946,6.744355,0.196105,0.705756,1.661181,1.841302,6.224084
0.020000,10.207715,6.743447,0.210902,0.739847,1.704573,2.169624,6.219410
0.020000,10.223173,6.742422,0.226394,0.774582,1.736724,1.607528,6.214496
0.020000,10.239325,6.741269,0.242586,0.809640,1.752898,0.808680,6.209338
0.020000,10.256167,6.739977,0.259478,0.844602,1.748086,-0.240606,6.203935
0.020000,10.273697,6.738535,0.277068,0.879458,1.742840,-0.262290,6.198286
0.020000,10.291913,6.736931,0.295354,0.914327,1.743427,0.029343,6.192387
0.020000,10.310810,6.735152,0.314334,0.948999,1.733620,-0.490324,6.186239
0.020000,10.330383,6.733185,0.334006,0.983596,1.729820,-0.189995,6.179840
0.020000,10.350632,6.731017,0.354370,1.018222,1.731319,0.074960,6.173190
0.020000,10.371551,6.728633,0.375425,1.052711,1.724448,-0.343561,6.166286
0.020000,10.393136,6.726020,0.397168,1.087158,1.722355,-0.104652,6.159130
0.020000,10.415386,6.723162,0.419600,1.121628,1.723499,0.057195,6.151719
0.020000,10.438296,6.720043,0.442722,1.156086,1.722909,-0.029512,6.144055
0.020000,10.461863,6.716648,0.466533,1.190522,1.721800,-0.055459,6.136137
0.020000,10.486085,6.712959,0.491033,1.225035,1.725637,0.191846,6.127966
0.020000,10.510957,6.708960,0.516225,1.259581,1.727302,0.083256,6.119542
0.020000,10.536476,6.704632,0.542108,1.294172,1.729565,0.113142,6.110867
0.020000,10.562640,6.699958,0.568687,1.328916,1.737157,0.379615,6.101944
0.020000,10.589446,6.694919,0.595962,1.363790,1.743701,0.327215,6.092773
0.020000,10.616893,6.689495,0.623939,1.398855,1.753271,0.478473,6.083358
0.020000,10.644976,6.683666,0.652621,1.434091,1.761806,0.426763,6.073702
0.020000,10.673695,6.677411,0.682013,1.469597,1.775316,0.675529,6.063810
0.020000,10.703048,6.670710,0.712121,1.505402,1.790214,0.744876,6.053685
0.020000,10.733033,6.663541,0.742952,1.541536,1.806701,0.824372,6.043333
0.020000,10.763650,6.655882,0.774513,1.578035,1.824974,0.913640,6.032760
0.020000,10.794898,6.647709,0.806812,1.614940,1.845218,1.012167,6.021973
0.020000,10.826776,6.638999,0.839858,1.652323,1.869153,1.196763,6.010979
0.020000,10.859285,6.629728,0.873663,1.690246,1.896170,1.350862,5.999787
0.020000,10.892424,6.619872,0.908237,1.728701,1.922766,1.329802,5.988405
0.020000,10.926194,6.609404,0.943592,1.767772,1.953534,1.538400,5.976844
0.020000,10.960598,6.598300,0.979743,1.807551,1.988931,1.769835,5.965113
0.020000,10.995635,6.586532,1.016704,1.848014,2.023184,1.712647,5.953225
0.020000,11.031307,6.574075,1.054489,1.889245,2.061548,1.918239,5.941192
0.020000,11.067616,6.560899,1.093114,1.931295,2.102497,2.047434,5.929027
0.020000,11.104565,6.546978,1.132599,1.974227,2.146615,2.205881,5.916744
0.020000,11.142156,6.532284,1.172960,2.018039,2.190568,2.197677,5.904357
0.020000,11.180391,6.516786,1.214216,2.062807,2.238414,2.392298,5.891881
0.020000,11.219273,6.500457,1.256387,2.108577,2.288516,2.505090,5.879332
0.020000,11.258804,6.483267,1.299495,2.155365,2.339388,2.543594,5.866727
0.020000,11.298988,6.465187,1.343559,2.203207,2.392104,2.635803,5.854083
0.020000,11.339828,6.446187,1.388602,2.252141,2.446684,2.729010,5.841416
0.020000,11.381325,6.426237,1.434645,2.302186,2.502230,2.777312,5.828746
0.020000,11.423483,6.405308,1.481713,2.353358,2.558606,2.818752,5.816089
0.020000,11.466297,6.383375,1.529817,2.405229,2.593558,1.747603,5.803466
0.020000,11.509752,6.360418,1.578964,2.457353,2.606197,0.631989,5.790901
