dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.000000,0.000012,0.001175,0.058748,2.937403,0.000000
0.020000,0.000000,8.000000,0.000059,0.003525,0.117496,2.937403,0.000000
0.020000,0.000000,8.000000,0.000164,0.007050,0.176244,2.937403,0.000000
0.020000,0.000000,8.000000,0.000352,0.011750,0.234992,2.937403,0.000000
0.020000,0.000000,8.000000,0.000646,0.017624,0.293740,2.937403,0.000000
0.020000,0.000000,8.000000,0.001069,0.024674,0.352488,2.937403,0.000000
0.020000,0.000000,8.000000,0.001645,0.032899,0.411236,2.937403,0.000000
0.020000,0.000000,8.000000,0.002397,0.042299,0.469984,2.937403,0.000000
0.020000,0.000000,8.000000,0.003349,0.052873,0.528733,2.937403,0.000000
0.020000,0.000000,8.000000,0.004524,0.064623,0.587481,2.937403,0.000000
0.020000,0.000000,8.000000,0.005945,0.077547,0.646229,2.937403,0.000000
0.020000,0.000000,8.000000,0.007637,0.091647,0.704977,2.937403,0.000000
0.020000,0.000000,8.000000,0.009623,0.106921,0.763725,2.937403,0.000000
0.020000,0.001926,8.000000,0.011926,0.123371,0.822473,2.937403,0.000000
0.020000,0.004570,8.000000,0.014570,0.140995,0.881221,2.937403,0.000000
0.020000,0.007577,8.000000,0.017577,0.159795,0.939969,2.937403,0.000000
0.020000,0.010973,8.000000,0.020973,0.179769,0.998717,2.937403,0.000000
0.020000,0.014780,8.000000,0.024780,0.200918,1.057465,2.937403,0.000000
0.020000,0.019022,8.000000,0.029022,0.223243,1.116213,2.937403,0.000000
0.020000,0.023721,8.000000,0.033721,0.246742,1.174961,2.937403,0.000000
0.020000,0.028903,8.000000,0.038903,0.271416,1.233709,2.937403,0.000000
0.020000,0.034590,8.000000,0.044590,0.297265,1.292457,2.937403,0.000000
0.020000,0.040805,8.000000,0.050805,0.324289,1.351205,2.937403,0.000000
0.020000,0.047573,8.000000,0.057573,0.352488,1.409953,2.937403,0.000000
0.020000,0.054917,8.000000,0.064917,0.381862,1.468701,2.937403,0.000000
0.020000,0.062859,8.000000,0.072859,0.412411,1.527450,2.937403,0.000000
0.020000,0.071425,8.000000,0.081425,0.444135,1.586198,2.937403,0.000000
0.020000,0.080637,8.000000,0.090637,0.477034,1.644946,2.937403,0.000000
0.020000,0.090518,8.000000,0.100518,0.511108,1.703694,2.937403,0.000000
0.020000,0.101093,8.000000,0.111093,0.546357,1.762442,2.937403,0.000000
0.020000,0.112384,8.000000,0.122384,0.582781,1.821190,2.937403,0.000000
0.020000,0.124416,8.000000,0.134416,0.620379,1.879938,2.937403,0.000000
0.020000,0.137211,8.000000,0.147211,0.659153,1.938686,2.937403,0.000000
0.020000,0.150793,8.000000,0.160793,0.699102,1.997434,2.937403,0.000000
0.020000,0.165187,8.000000,0.175187,0.740226,2.056182,2.937403,0.000000
0.020000,0.180414,8.000000,0.190414,0.782524,2.114930,2.937403,0.000000
0.020000,0.196499,8.000000,0.206499,0.825998,2.173678,2.937403,0.000000
0.020000,0.213466,8.000000,0.223466,0.870646,2.232426,2.937403,0.000000
0.020000,0.231337,8.000000,0.241337,0.916470,2.291174,2.937403,0.000000
0.020000,0.250136,8.000000,0.260136,0.963468,2.349922,2.937403,0.000000
0.020000,0.269887,8.000000,0.279887,1.011642,2.408670,2.937403,0.000000
0.020000,0.290614,8.000000,0.300614,1.060990,2.467418,2.937403,0.000000
0.020000,0.312339,8.000000,0.322339,1.111513,2.526166,2.937403,0.000000
0.020000,0.335086,8.000000,0.345086,1.163212,2.584915,2.937403,0.000000
0.020000,0.358879,8.000000,0.368879,1.216085,2.643663,2.937403,0.000000
0.020000,0.383741,8.000000,0.393741,1.270133,2.702411,2.937403,0.000000
