dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,6.750000,0.000012,0.001175,0.058748,2.937403,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,-0.058748,-5.874806,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,2.937403,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.000000,6.750000,0.000012,0.000000,0.000000,0.000000,0.000000
0.020000,0.001926,6.750000,0.001938,0.096293,4.814639,240.731970,0.000000
0.020000,0.004570,6.750000,0.004581,0.132183,1.794517,-151.006114,0.000000
0.020000,0.007577,6.750000,0.007589,0.150395,0.910595,-44.196111,0.000000
0.020000,0.010973,6.750000,0.010985,0.169782,0.969343,2.937403,0.000000
0.020000,0.014780,6.750000,0.014792,0.190344,1.028091,2.937403,0.000000
0.020000,0.019022,6.750000,0.019033,0.212080,1.086839,2.937403,0.000000
0.020000,0.023721,6.750000,0.023733,0.234992,1.145587,2.937403,0.000000
0.020000,0.028903,6.750000,0.028915,0.259079,1.204335,2.937403,0.000000
0.020000,0.034590,6.750000,0.034602,0.284341,1.263083,2.937403,0.000000
0.020000,0.040805,6.750000,0.040817,0.310777,1.321831,2.937403,0.000000
0.020000,0.047573,6.750000,0.047585,0.338389,1.380579,2.937403,0.000000
0.020000,0.054917,6.750000,0.054928,0.367175,1.439327,2.937403,0.000000
0.020000,0.062859,6.750000,0.062871,0.397137,1.498075,2.937403,0.000000
0.020000,0.071425,6.750000,0.071437,0.428273,1.556824,2.937403,0.000000
0.020000,0.080637,6.750000,0.080648,0.460585,1.615572,2.937403,0.000000
0.020000,0.090518,6.750000,0.090530,0.494071,1.674320,2.937403,0.000000
0.020000,0.101093,6.750000,0.101104,0.528733,1.733068,2.937403,0.000000
0.020000,0.112384,6.750000,0.112396,0.564569,1.791816,2.937403,0.000000
0.020000,0.124416,6.750000,0.124427,0.601580,1.850564,2.937403,0.000000
0.020000,0.137211,6.750000,0.137223,0.639766,1.909312,2.937403,0.000000
0.020000,0.150793,6.750000,0.150805,0.679128,1.968060,2.937403,0.000000
0.020000,0.165187,6.750000,0.165198,0.719664,2.026808,2.937403,0.000000
0.020000,0.180414,6.750000,0.180426,0.761375,2.085556,2.937403,0.000000
0.020000,0.196499,6.750000,0.196511,0.804261,2.144304,2.937403,0.000000
0.020000,0.213466,6.750000,0.213478,0.848322,2.203052,2.937403,0.000000
0.020000,0.231337,6.750000,0.231349,0.893558,2.261800,2.937403,0.000000
0.020000,0.250136,6.750000,0.250148,0.939969,2.320548,2.937403,0.000000
