dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,9.057128,9.650359,0.000012,0.001190,0.059499,2.974938,4.804810
0.020000,9.057130,9.650339,0.000032,0.001014,-0.008817,-3.415786,4.804789
0.020000,9.057134,9.650294,0.000078,0.002280,0.063337,3.607720,4.804744
0.020000,9.057142,9.650213,0.000159,0.004053,0.088631,1.264679,4.804663
0.020000,9.057153,9.650087,0.000285,0.006330,0.113861,1.261503,4.804536
0.020000,9.057170,9.649906,0.000468,0.009110,0.138987,1.256302,4.804354
0.020000,9.057221,9.649357,0.001019,0.027568,0.922884,39.194847,4.804106
0.020000,9.057320,9.648276,0.002104,0.054243,1.333763,20.543936,4.803783
0.020000,9.057445,9.646909,0.003476,0.068622,0.718956,-30.740332,4.803374
0.020000,9.057598,9.645223,0.005170,0.084673,0.802558,4.180110,4.802871
0.020000,9.057783,9.643184,0.007218,0.102388,0.885733,4.158746,4.802263
0.020000,9.058000,9.640758,0.009653,0.121755,0.968337,4.130174,4.801541
0.020000,9.058253,9.637914,0.012508,0.142760,1.050277,4.097028,4.800697
0.020000,9.058543,9.634619,0.015816,0.165389,1.131442,4.058218,4.799722
0.020000,9.058872,9.630841,0.019608,0.189622,1.211668,4.011333,4.798607
0.020000,9.059240,9.626548,0.023917,0.215439,1.290819,3.957549,4.797344
0.020000,9.059649,9.621709,0.028773,0.242814,1.368782,3.898110,4.795927
0.020000,9.060098,9.616293,0.034208,0.271720,1.445293,3.825550,4.794348
0.020000,9.060588,9.610270,0.040250,0.302126,1.520273,3.749034,4.792602
0.020000,9.061116,9.603612,0.046930,0.333995,1.593463,3.659512,4.790682
0.020000,9.061683,9.596288,0.054276,0.367289,1.664713,3.562493,4.788584
0.020000,9.062286,9.588271,0.062315,0.401964,1.733744,3.451554,4.786304
0.020000,9.062922,9.579535,0.071074,0.437971,1.800354,3.330467,4.783839
0.020000,9.063588,9.570053,0.080580,0.475257,1.864306,3.197616,4.781188
0.020000,9.064280,9.559801,0.090855,0.513764,1.925346,3.051975,4.778350
0.020000,9.064993,9.548755,0.101923,0.553428,1.983183,2.891879,4.775326
0.020000,9.065721,9.536894,0.113807,0.594179,2.037572,2.719464,4.772117
0.020000,9.066459,9.524197,0.126526,0.635943,2.088188,2.530795,4.768728
0.020000,9.067199,9.510644,0.140099,0.678638,2.134757,2.328428,4.765163
0.020000,9.067934,9.496219,0.154542,0.722178,2.176964,2.110369,4.761429
0.020000,9.068655,9.480907,0.169871,0.766467,2.214475,1.875549,4.757535
0.020000,9.069355,9.464694,0.186100,0.811407,2.246992,1.625849,4.753493
0.020000,9.070023,9.447569,0.203237,0.856890,2.274164,1.358599,4.749314
0.020000,9.070651,9.429524,0.221294,0.902803,2.295661,1.074830,4.745014
0.020000,9.071228,9.410552,0.240274,0.949026,2.311155,0.774708,4.740610
0.020000,9.071744,9.390666,0.260167,0.994668,2.282065,-1.454478,4.736127
0.020000,9.072190,9.369893,0.280945,1.038865,2.209856,-3.610461,4.731593
0.020000,9.072556,9.348265,0.302575,1.081540,2.133776,-3.804007,4.727038
0.020000,9.072834,9.325815,0.325028,1.122618,2.053874,-3.995112,4.722495
0.020000,9.073016,9.302575,0.348268,1.162022,1.970214,-4.182982,4.717997
0.020000,9.073097,9.278582,0.372262,1.199679,1.882841,-4.368636,4.713578
0.020000,9.073073,9.253871,0.396972,1.235516,1.791830,-4.550560,4.709276
0.020000,9.072940,9.228482,0.422361,1.269460,1.697217,-4.730673,4.705128
0.020000,9.072699,9.202455,0.448390,1.301441,1.599041,-4.908814,4.701173
0.020000,9.072350,9.175829,0.475018,1.331388,1.497346,-5.084734,4.697452
0.020000,9.071897,9.148648,0.502203,1.359230,1.392119,-5.261344,4.694008
0.020000,9.071343,9.120956,0.529901,1.384897,1.283367,-5.437616,4.690883
0.020000,9.070698,9.092797,0.558067,1.408318,1.171039,-5.616363,4.688122
0.020000,9.069969,9.064218,0.586655,1.429420,1.055081,-5.797911,4.685773
0.020000,9.069170,9.035266,0.615618,1.448128,0.935394,-5.984366,4.683882
0.020000,9.068314,9.005992,0.644905,1.464365,0.811862,-6.176608,4.682500
0.020000,9.067417,8.976444,0.674466,1.478051,0.684329,-6.376625,4.681677
0.020000,9.066497,8.946676,0.704248,1.489104,0.552641,-6.584414,4.681465
0.020000,9.065576,8.916742,0.734197,1.497436,0.416605,-6.801803,4.681921
0.020000,9.064677,8.886696,0.764256,1.502957,0.276041,-7.028195,4.683098
0.020000,9.063822,8.856597,0.794368,1.505573,0.130783,-7.262904,4.685057
0.020000,9.063039,8.826503,0.824471,1.505187,-0.019310,-7.504651,4.687856
0.020000,9.062356,8.796477,0.854505,1.501701,-0.174290,-7.749003,4.691557
0.020000,9.061800,8.766582,0.884406,1.495018,-0.334133,-7.992138,4.696226
0.020000,9.061402,8.736883,0.914107,1.485046,-0.498630,-8.224843,4.701927
0.020000,9.061191,8.707450,0.943541,1.471698,-0.667393,-8.438138,4.708727
0.020000,9.061197,8.678352,0.972639,1.454903,-0.839735,-8.617139,4.716697
0.020000,9.061450,8.649661,1.001331,1.434611,-1.014584,-8.742411,4.725905
0.020000,9.061976,8.621450,1.029547,1.410803,-1.190428,-8.792206,4.736423
0.020000,9.062802,8.593792,1.057217,1.383500,-1.365144,-8.735805,4.748319
0.020000,9.063950,8.566761,1.084273,1.352782,-1.535919,-8.538770,4.761663
0.020000,9.065440,8.540427,1.110649,1.318799,-1.699110,-8.159542,4.776520
0.020000,9.067289,8.514858,1.136284,1.281797,-1.850110,-7.549998,4.792949
0.020000,9.069507,8.490115,1.161127,1.242131,-1.983322,-6.660585,4.811005
0.020000,9.072101,8.466249,1.185133,1.200290,-2.092035,-5.435677,4.830730
0.020000,9.075074,8.443303,1.208271,1.156918,-2.168586,-3.827545,4.852156
0.020000,9.078425,8.421300,1.230528,1.112830,-2.204425,-1.791926,4.875296
0.020000,9.082149,8.400246,1.251908,1.069020,-2.190512,0.695642,4.900146
0.020000,9.088047,8.370844,1.281896,1.499381,21.518061,1185.428660,4.915678
0.020000,9.095616,8.335152,1.318382,1.824293,16.245615,-263.622320,4.927088
0.020000,9.103711,8.299048,1.355382,1.850021,1.286395,-747.961003,4.938817
0.020000,9.112352,8.262545,1.392894,1.875599,1.278908,-0.374326,4.950867
0.020000,9.121561,8.225656,1.430915,1.901056,1.272839,-0.303487,4.963241
0.020000,9.131361,8.188395,1.469444,1.926420,1.268191,-0.232403,4.975941
0.020000,9.141775,8.150775,1.508478,1.951724,1.265210,-0.149008,4.988968
0.020000,9.152825,8.112811,1.548018,1.977006,1.264079,-0.056581,5.002322
0.020000,9.164536,8.074515,1.588064,2.002305,1.264977,0.044925,5.016003
0.020000,9.176930,8.035902,1.628618,2.027666,1.268050,0.153618,5.030010
0.020000,9.190033,7.996986,1.669680,2.053136,1.273512,0.273096,5.044340
0.020000,9.203866,7.957789,1.711247,2.078328,1.259574,-0.696863,5.058987
0.020000,9.218448,7.918340,1.753304,2.102860,1.226618,-1.647798,5.073941
0.020000,9.233796,7.878670,1.795840,2.126798,1.196867,-1.487589,5.089190
0.020000,9.249929,7.838807,1.838844,2.150205,1.170378,-1.324418,5.104721
0.020000,9.266864,7.798779,1.882307,2.173148,1.147129,-1.162458,5.120518
0.020000,9.284615,7.758613,1.926221,2.195689,1.127092,-1.001849,5.136567
0.020000,9.303200,7.718336,1.970579,2.217893,1.110175,-0.845866,5.152849
0.020000,9.322633,7.677974,2.015375,2.239818,1.096259,-0.695813,5.169348
0.020000,9.342927,7.637552,2.060606,2.261522,1.085184,-0.553707,5.186043
0.020000,9.364097,7.597095,2.106267,2.283056,1.076710,-0.423707,5.202915
0.020000,9.386155,7.556627,2.152356,2.304468,1.070614,-0.304797,5.219941
0.020000,9.409111,7.516170,2.198872,2.325799,1.066536,-0.203910,5.237100
0.020000,9.432978,7.475748,2.245814,2.347084,1.064241,-0.114751,5.254369
0.020000,9.457763,7.435383,2.293181,2.368349,1.063277,-0.048202,5.271724
0.020000,9.483474,7.395097,2.340973,2.389615,1.063282,0.000230,5.289142
0.020000,9.513038,7.350540,2.394446,2.673643,14.201377,656.904744,5.300432
0.020000,9.592974,7.217989,2.549234,7.739423,253.289020,11954.382183,5.211708
0.020000,9.650666,7.103680,2.677276,6.402097,-66.866308,-16007.766431,5.150177
0.020000,9.692643,7.009242,2.780624,5.167388,-61.735447,256.543090,5.113748
0.020000,9.723434,6.935018,2.860981,4.017840,-57.477420,212.901351,5.100683
0.020000,9.745475,6.881542,2.918821,2.892019,-56.291031,59.319412,5.110481
0.020000,9.759166,6.850113,2.953103,1.714096,-58.896151,-130.255991,5.144157
0.020000,9.762703,6.842653,2.961359,0.412771,-65.066223,-308.503580,5.204158
