dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,8.061396,9.558070,0.000012,0.001190,0.059499,2.974938,4.804810
0.020000,8.061396,9.558070,0.000059,0.003570,0.118998,2.974938,4.804789
0.020000,8.061396,9.558070,0.000167,0.007140,0.178496,2.974938,4.804744
0.020000,8.061396,9.558070,0.000357,0.011900,0.237995,2.974938,4.804663
0.020000,8.061396,9.558070,0.000654,0.017850,0.297494,2.974938,4.804536
0.020000,8.061396,9.558070,0.001083,0.024989,0.356993,2.974938,4.804354
0.020000,8.061424,9.557768,0.001666,0.033319,0.416491,2.974938,4.804106
0.020000,8.061493,9.557010,0.002428,0.042839,0.475990,2.974938,4.803783
0.020000,8.061581,9.556050,0.003391,0.053549,0.535489,2.974938,4.803374
0.020000,8.061689,9.554865,0.004581,0.065449,0.594988,2.974938,4.802871
0.020000,8.061819,9.553431,0.006021,0.078538,0.654486,2.974938,4.802263
0.020000,8.061972,9.551724,0.007735,0.092818,0.713985,2.974938,4.801541
0.020000,8.062150,9.549721,0.009746,0.108288,0.773484,2.974938,4.800697
0.020000,8.062355,9.547397,0.012078,0.124947,0.832983,2.974938,4.799722
0.020000,8.062587,9.544730,0.014756,0.142797,0.892481,2.974938,4.798607
0.020000,8.062847,9.541695,0.017802,0.161837,0.951980,2.974938,4.797344
0.020000,8.063136,9.538268,0.021241,0.182066,1.011479,2.974938,4.795927
0.020000,8.063455,9.534426,0.025097,0.203486,1.070978,2.974938,4.794348
0.020000,8.063803,9.530144,0.029392,0.226095,1.130476,2.974938,4.792602
0.020000,8.064180,9.525399,0.034152,0.249895,1.189975,2.974938,4.790682
0.020000,8.064585,9.520167,0.039400,0.274884,1.249474,2.974938,4.788584
0.020000,8.065017,9.514424,0.045160,0.301064,1.308973,2.974938,4.786304
0.020000,8.065474,9.508145,0.051455,0.328433,1.368471,2.974938,4.783839
0.020000,8.065954,9.501308,0.058309,0.356993,1.427970,2.974938,4.781188
0.020000,8.066455,9.493887,0.065746,0.386742,1.487469,2.974938,4.778350
0.020000,8.066973,9.485860,0.073790,0.417681,1.546968,2.974938,4.775326
0.020000,8.067504,9.477201,0.082465,0.449811,1.606466,2.974938,4.772117
0.020000,8.068045,9.467888,0.091795,0.483130,1.665965,2.974938,4.768728
0.020000,8.068591,9.457895,0.101802,0.517639,1.725464,2.974938,4.765163
0.020000,8.069136,9.447199,0.112512,0.553338,1.784963,2.974938,4.761429
0.020000,8.069674,9.435776,0.123948,0.590228,1.844461,2.974938,4.757535
0.020000,8.070199,9.423602,0.136133,0.628307,1.903960,2.974938,4.753493
0.020000,8.070705,9.410653,0.149092,0.667576,1.963459,2.974938,4.749314
0.020000,8.071183,9.396905,0.162848,0.708035,2.022958,2.974938,4.745014
0.020000,8.071626,9.382335,0.177425,0.749684,2.082456,2.974938,4.740610
0.020000,8.072026,9.366930,0.192835,0.791333,2.082456,0.000000,4.736127
0.020000,8.072375,9.350690,0.209079,0.832983,2.082456,0.000000,4.731593
0.020000,8.072663,9.333617,0.226155,0.874632,2.082456,0.000000,4.727038
0.020000,8.072885,9.315709,0.244064,0.916281,2.082456,0.000000,4.722495
0.020000,8.073032,9.296967,0.262806,0.957930,2.082456,0.000000,4.717997
0.020000,8.073098,9.277392,0.282381,0.999579,2.082456,-0.000000,4.713578
0.020000,8.073077,9.256984,0.302789,1.041228,2.082456,0.000000,4.709276
0.020000,8.072967,9.235744,0.324030,1.082877,2.082456,0.000000,4.705128
0.020000,8.072762,9.213670,0.346104,1.124526,2.082456,-0.000000,4.701173
0.020000,8.072462,9.190765,0.369011,1.166176,2.082456,0.000000,4.697452
0.020000,8.072066,9.167029,0.392751,1.207825,2.082456,0.000000,4.694008
0.020000,8.071575,9.142461,0.417324,1.249474,2.082456,-0.000000,4.690883
0.020000,8.070992,9.117061,0.442730,1.291123,2.082456,0.000000,4.688122
0.020000,8.070324,9.090831,0.468969,1.332772,2.082456,-0.000000,4.685773
0.020000,8.069576,9.063769,0.496041,1.374421,2.082456,0.000000,4.683882
0.020000,8.068760,9.035876,0.523946,1.416070,2.082456,-0.000000,4.682500
0.020000,8.067888,9.007152,0.552684,1.457719,2.082456,0.000000,4.681677
0.020000,8.066975,8.977595,0.582255,1.499369,2.082456,-0.000000,4.681465
0.020000,8.066041,8.947205,0.612659,1.541018,2.082456,0.000000,4.681921
0.020000,8.065105,8.915983,0.643896,1.582667,2.082456,0.000000,4.683098
0.020000,8.064196,8.883926,0.675965,1.624316,2.082456,0.000000,4.685057
0.020000,8.063340,8.851034,0.708868,1.665965,2.082456,-0.000000,4.687856
0.020000,8.062573,8.817307,0.742604,1.707614,2.082456,0.000000,4.691557
0.020000,8.061931,8.782744,0.777173,1.749263,2.082456,0.000000,4.696226
0.020000,8.061457,8.747346,0.812574,1.790912,2.082456,-0.000000,4.701927
0.020000,8.061198,8.711112,0.848809,1.832562,2.082456,0.000000,4.708727
0.020000,8.061207,8.674044,0.885877,1.874211,2.082456,-0.000000,4.716697
0.020000,8.061541,8.636145,0.923778,1.915860,2.082456,0.000000,4.725905
0.020000,8.062265,8.597418,0.962511,1.957509,2.082456,-0.000000,4.736423
0.020000,8.063447,8.557870,1.002078,1.999158,2.082456,-0.000000,4.748319
0.020000,8.065163,8.517507,1.042478,2.040807,2.082456,0.000000,4.761663
0.020000,8.067496,8.476341,1.083710,2.082456,2.082456,-0.000000,4.776520
0.020000,8.070532,8.434385,1.125776,2.124106,2.082456,0.000000,4.792949
0.020000,8.074365,8.391659,1.168675,2.165755,2.082456,0.000000,4.811005
0.020000,8.079095,8.348184,1.212406,2.207404,2.082456,-0.000000,4.830730
0.020000,8.084826,8.303991,1.256971,2.249053,2.082456,0.000000,4.852156
0.020000,8.091665,8.259112,1.302368,2.290702,2.082456,-0.000000,4.875296
0.020000,8.099724,8.213591,1.348599,2.332351,2.082456,0.000000,4.900146
0.020000,8.108639,8.168953,1.395662,2.374000,2.082456,0.000000,4.915678
0.020000,8.118576,8.122099,1.443559,2.415649,2.082456,-0.000000,4.927088
0.020000,8.129236,8.074550,1.492288,2.457299,2.082456,0.000000,4.938817
0.020000,8.140653,8.026321,1.541851,2.498948,2.082456,0.000000,4.950867
