dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,7.000000,0.000039,0.003902,0.195114,9.755684,0.000000
0.020000,10.000000,7.000000,0.000039,0.000000,-0.195114,-19.511367,0.000000
0.020000,10.000000,7.000000,0.000039,0.000000,0.000000,9.755684,0.000000
0.020000,10.000000,7.000000,0.000039,0.000000,0.000000,0.000000,0.000000
0.020000,10.000000,7.000000,0.000039,0.000000,0.000000,0.000000,0.000000
0.020000,10.000551,7.000000,0.000590,0.027553,1.377672,68.883603,0.000000
0.020000,10.002463,7.000000,0.002502,0.095606,3.402613,101.247042,0.000000
0.020000,10.004961,7.000000,0.005000,0.124873,1.463353,-96.963018,0.000000
0.020000,10.008121,7.000000,0.008161,0.158042,1.658466,9.755684,0.000000
0.020000,10.012024,7.000000,0.012063,0.195114,1.853580,9.755684,0.000000
0.020000,10.016746,7.000000,0.016785,0.236088,2.048694,9.755684,0.000000
0.020000,10.022365,7.000000,0.022404,0.280964,2.243807,9.755684,0.000000
0.020000,10.028960,7.000000,0.028999,0.329742,2.438921,9.755684,0.000000
0.020000,10.036608,7.000000,0.036647,0.382423,2.634035,9.755684,0.000000
0.020000,10.045388,7.000000,0.045427,0.439006,2.829148,9.755684,0.000000
0.020000,10.055378,7.000000,0.055417,0.499491,3.024262,9.755684,0.000000
0.020000,10.066656,7.000000,0.066695,0.563879,3.219376,9.755684,0.000000
0.020000,10.079260,7.000000,0.079299,0.630217,3.316932,4.877842,0.000000
0.020000,10.093191,7.000000,0.093230,0.696556,3.316932,-0.000000,0.000000
0.020000,10.108449,7.000000,0.108488,0.762894,3.316932,0.000000,0.000000
0.020000,10.125034,7.000000,0.125073,0.829233,3.316932,0.000000,0.000000
0.020000,10.142945,7.000000,0.142984,0.895572,3.316932,-0.000000,0.000000
0.020000,10.162183,7.000000,0.162222,0.961910,3.316932,0.000000,0.000000
0.020000,10.182748,7.000000,0.182787,1.028249,3.316932,0.000000,0.000000
0.020000,10.204640,7.000000,0.204679,1.094588,3.316932,-0.000000,0.000000
0.020000,10.227858,7.000000,0.227898,1.160926,3.316932,0.000000,0.000000
0.020000,10.252404,7.000000,0.252443,1.227265,3.316932,-0.000000,0.000000
0.020000,10.278276,7.000000,0.278315,1.293604,3.316932,0.000000,0.000000
0.020000,10.305475,7.000000,0.305514,1.359942,3.316932,-0.000000,0.000000
0.020000,10.334000,7.000000,0.334039,1.426281,3.316932,0.000000,0.000000
0.020000,10.363853,7.000000,0.363892,1.492620,3.316932,0.000000,0.000000
0.020000,10.395032,7.000000,0.395071,1.558958,3.316932,0.000000,0.000000
0.020000,10.427538,7.000000,0.427577,1.625297,3.316932,-0.000000,0.000000
0.020000,10.461371,7.000000,0.461410,1.691636,3.316932,0.000000,0.000000
0.020000,10.496530,7.000000,0.496569,1.757974,3.316932,-0.000000,0.000000
0.020000,10.533016,7.000000,0.533055,1.824313,3.316932,0.000000,0.000000
0.020000,10.570829,7.000000,0.570868,1.890651,3.316932,0.000000,0.000000
0.020000,10.609969,7.000000,0.610008,1.956990,3.316932,0.000000,0.000000
0.020000,10.650436,7.000000,0.650475,2.023329,3.316932,-0.000000,0.000000
0.020000,10.692229,7.000000,0.692268,2.089667,3.316932,0.000000,0.000000
0.020000,10.735310,7.000000,0.735349,2.154055,3.219376,-4.877842,0.000000
0.020000,10.779601,7.000000,0.779640,2.214540,3.024262,-9.755684,0.000000
0.020000,10.825023,7.000000,0.825062,2.271123,2.829148,-9.755684,0.000000
0.020000,10.871499,7.000000,0.871538,2.323804,2.634035,-9.755684,0.000000
0.020000,10.918951,7.000000,0.918990,2.372582,2.438921,-9.755684,0.000000
0.020000,10.967300,7.000000,0.967339,2.417458,2.243807,-9.755684,0.000000
0.020000,11.016469,7.000000,1.016508,2.458432,2.048694,-9.755684,0.000000
0.020000,11.066379,7.000000,1.066418,2.495504,1.853580,-9.755684,0.000000
0.020000,11.116952,7.000000,1.116991,2.528673,1.658466,-9.755684,0.000000
0.020000,11.168111,7.000000,1.168150,2.557940,1.463353,-9.755684,0.000000
0.020000,11.219777,7.000000,1.219816,2.583305,1.268239,-9.755684,0.000000
0.020000,11.271873,7.000000,1.271912,2.604768,1.073125,-9.755684,0.000000
0.020000,11.324319,7.000000,1.324358,2.622328,0.878012,-9.755684,0.000000
0.020000,11.377039,7.000000,1.377078,2.635986,0.682898,-9.755684,0.000000
0.020000,11.429954,7.000000,1.429993,2.645741,0.487784,-9.755684,0.000000
0.020000,11.482986,7.000000,1.483025,2.651595,0.292671,-9.755684,0.000000
0.020000,11.536040,7.000000,1.536079,2.652736,0.057038,-11.781636,0.000000
0.020000,11.589024,7.000000,1.589063,2.649164,-0.178595,-11.781636,0.000000
0.020000,11.641857,7.000000,1.641897,2.641689,-0.373709,-9.755684,0.000000
0.020000,11.694464,7.000000,1.694503,2.630313,-0.568822,-9.755684,0.000000
0.020000,11.746764,7.000000,1.746803,2.615034,-0.763936,-9.755684,0.000000
0.020000,11.798682,7.000000,1.798721,2.595853,-0.959050,-9.755684,0.000000
0.020000,11.850137,7.000000,1.850176,2.572770,-1.154163,-9.755684,0.000000
0.020000,11.901053,7.000000,1.901092,2.545785,-1.349277,-9.755684,0.000000
0.020000,11.951351,7.000000,1.951390,2.514897,-1.544391,-9.755684,0.000000
0.020000,12.000953,7.000000,2.000992,2.480107,-1.739504,-9.755684,0.000000
0.020000,12.049781,7.000000,2.049820,2.441414,-1.934618,-9.755684,0.000000
0.020000,12.097757,7.000000,2.097796,2.398820,-2.129732,-9.755684,0.000000
0.020000,12.144804,7.000000,2.144843,2.352323,-2.324845,-9.755684,0.000000
0.020000,12.190842,7.000000,2.190881,2.301924,-2.519959,-9.755684,0.000000
0.020000,12.235795,7.000000,2.235834,2.247622,-2.715073,-9.755684,0.000000
0.020000,12.279583,7.000000,2.279622,2.189418,-2.910186,-9.755684,0.000000
0.020000,12.322129,7.000000,2.322168,2.127312,-3.105300,-9.755684,0.000000
0.020000,12.363372,7.000000,2.363411,2.062114,-3.259895,-7.729731,0.000000
0.020000,12.403287,7.000000,2.403326,1.995776,-3.316932,-2.851889,0.000000
0.020000,12.441876,7.000000,2.441915,1.929437,-3.316932,0.000000,0.000000
0.020000,12.479138,7.000000,2.479177,1.863099,-3.316932,0.000000,0.000000
0.020000,12.515073,7.000000,2.515112,1.796760,-3.316932,0.000000,0.000000
