dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001758,9.249999,0.000012,0.001180,0.059025,2.951235,6.281779
0.020000,0.001752,9.249999,0.000017,0.000280,-0.045015,-5.201995,6.281784
0.020000,0.001739,9.249999,0.000030,0.000630,0.017512,3.126378,6.281794
0.020000,0.001717,9.249999,0.000052,0.001121,0.024519,0.350315,6.281812
0.020000,0.001682,9.249999,0.000087,0.001751,0.031527,0.350419,6.281840
0.020000,0.001631,9.249999,0.000138,0.002522,0.038539,0.350589,6.281880
0.020000,0.001563,9.249999,0.000207,0.003433,0.045556,0.350841,6.281935
0.020000,0.001473,9.249999,0.000296,0.004485,0.052580,0.351194,6.282007
0.020000,0.001360,9.249999,0.000410,0.005677,0.059613,0.351662,6.282098
0.020000,0.001219,9.249999,0.000550,0.007010,0.066658,0.352262,6.282210
0.020000,0.001050,9.250000,0.000720,0.008485,0.073718,0.353013,6.282346
0.020000,0.000848,9.250000,0.000922,0.010101,0.080797,0.353929,6.282507
0.020000,0.000610,9.250000,0.001159,0.011858,0.087897,0.355029,6.282697
0.020000,0.000335,9.250000,0.001434,0.013759,0.095024,0.356329,6.282917
0.020000,0.000019,9.250000,0.001750,0.015803,0.102181,0.357846,6.283170
0.020000,0.002522,9.250000,0.004252,0.125116,5.465689,268.175388,0.000273
0.020000,0.005528,9.250002,0.007259,0.150303,1.259353,-210.316760,0.000598
0.020000,0.008896,9.250004,0.010626,0.168397,0.904699,-17.732744,0.000963
0.020000,0.012645,9.250009,0.014376,0.187492,0.954753,2.502740,0.001371
0.020000,0.016805,9.250015,0.018535,0.207954,1.023069,3.415793,0.001823
0.020000,0.021387,9.250025,0.023118,0.229106,1.057616,1.727318,0.002322
0.020000,0.026411,9.250038,0.028142,0.251239,1.106646,2.451521,0.002871
0.020000,0.031907,9.250055,0.033638,0.274802,1.178127,3.574068,0.003473
0.020000,0.037885,9.250078,0.039616,0.298866,1.203228,1.255025,0.004128
0.020000,0.044373,9.250107,0.046104,0.324410,1.277204,3.698809,0.004842
0.020000,0.051383,9.250144,0.053114,0.350511,1.305044,1.391978,0.005616
0.020000,0.058945,9.250189,0.060677,0.378122,1.380563,3.775976,0.006453
0.020000,0.067071,9.250245,0.068802,0.406273,1.407540,1.348821,0.007355
0.020000,0.075784,9.250314,0.077515,0.435668,1.469745,3.110244,0.008327
0.020000,0.085105,9.250396,0.086837,0.466100,1.521606,2.593093,0.009370
0.020000,0.095052,9.250495,0.096784,0.497344,1.562187,2.029050,0.010488
0.020000,0.105643,9.250612,0.107376,0.529613,1.613464,2.563826,0.011684
0.020000,0.116900,9.250751,0.118634,0.562893,1.663985,2.526043,0.012961
0.020000,0.128842,9.250914,0.130578,0.597166,1.713665,2.484008,0.014323
0.020000,0.141489,9.251104,0.143226,0.632415,1.762416,2.437557,0.015773
0.020000,0.154860,9.251326,0.156598,0.668617,1.810147,2.386529,0.017315
0.020000,0.168973,9.251582,0.170713,0.705753,1.856762,2.330764,0.018953
0.020000,0.183846,9.251876,0.185589,0.743796,1.902164,2.270105,0.020690
0.020000,0.199496,9.252215,0.201244,0.782721,1.946252,2.204397,0.022531
0.020000,0.215942,9.252601,0.217694,0.822499,1.988922,2.133491,0.024479
0.020000,0.233206,9.253042,0.234964,0.863501,2.050094,3.058634,0.026540
0.020000,0.251290,9.253541,0.253055,0.904539,2.051875,0.089022,0.028717
0.020000,0.270194,9.254106,0.271967,0.945627,2.054407,0.126599,0.031012
0.020000,0.289912,9.254742,0.291695,0.986377,2.037504,-0.845136,0.033426
0.020000,0.310445,9.255454,0.312240,1.027277,2.044974,0.373490,0.035965
0.020000,0.331784,9.256250,0.333594,1.067702,2.021261,-1.185651,0.038629
0.020000,0.353926,9.257137,0.355754,1.108010,2.015424,-0.291868,0.041421
0.020000,0.376869,9.258122,0.378718,1.148171,2.008019,-0.370226,0.044346
0.020000,0.400607,9.259211,0.402481,1.188151,1.999011,-0.450424,0.047406
0.020000,0.425136,9.260414,0.427039,1.227918,1.988362,-0.532416,0.050604
0.020000,0.450450,9.261739,0.452388,1.267439,1.976039,-0.616145,0.053946
0.020000,0.476543,9.263193,0.478522,1.306679,1.962008,-0.701550,0.057433
0.020000,0.503408,9.264787,0.505434,1.345604,1.946237,-0.788558,0.061071
0.020000,0.531040,9.266529,0.533121,1.384368,1.938201,-0.401791,0.064863
0.020000,0.559434,9.268429,0.561579,1.422884,1.925792,-0.620484,0.068815
0.020000,0.588579,9.270498,0.590797,1.460929,1.902261,-1.176530,0.072930
0.020000,0.618471,9.272746,0.620774,1.498815,1.894322,-0.396940,0.077215
0.020000,0.649102,9.275185,0.651501,1.536360,1.877217,-0.855249,0.081674
0.020000,0.680460,9.277825,0.682970,1.573440,1.854036,-1.159070,0.086313
0.020000,0.712537,9.280678,0.715174,1.610210,1.838465,-0.778525,0.091139
0.020000,0.745325,9.283757,0.748106,1.646622,1.820609,-0.892838,0.096156
0.020000,0.778814,9.287075,0.781759,1.682630,1.800412,-1.009853,0.101372
0.020000,0.812992,9.290645,0.816122,1.718187,1.777825,-1.129353,0.106793
0.020000,0.847846,9.294481,0.851187,1.753243,1.752803,-1.251081,0.112428
0.020000,0.883365,9.298596,0.886944,1.787827,1.729208,-1.179768,0.118282
0.020000,0.919540,9.303006,0.923386,1.822115,1.714393,-0.740715,0.124365
0.020000,0.956349,9.307725,0.960497,1.855549,1.671739,-2.132728,0.130684
0.020000,0.993786,9.312770,0.998272,1.888740,1.659514,-0.611247,0.137250
0.020000,1.031830,9.318157,1.036696,1.921202,1.623105,-1.820454,0.144070
0.020000,1.070466,9.323901,1.075757,1.953042,1.592027,-1.553870,0.151154
0.020000,1.109678,9.330021,1.115443,1.984291,1.562422,-1.480248,0.158512
0.020000,1.149445,9.336533,1.155740,2.014884,1.529640,-1.639137,0.166156
0.020000,1.189750,9.343456,1.196635,2.044757,1.493661,-1.798929,0.174096
0.020000,1.230570,9.350809,1.238112,2.073847,1.454488,-1.958635,0.182343
0.020000,1.271889,9.358610,1.280161,2.102427,1.429004,-1.274194,0.190911
0.020000,1.313677,9.366878,1.322759,2.129885,1.372894,-2.805499,0.199810
0.020000,1.355915,9.375635,1.365895,2.156836,1.347551,-1.267155,0.209056
0.020000,1.398575,9.384899,1.409549,2.182707,1.293548,-2.700178,0.218661
0.020000,1.441631,9.394691,1.453705,2.207760,1.252669,-2.043960,0.228639
0.020000,1.485055,9.405032,1.498343,2.231923,1.208153,-2.225788,0.239005
0.020000,1.528817,9.415944,1.543446,2.255126,1.160149,-2.400200,0.249775
0.020000,1.572887,9.427448,1.588992,2.277303,1.108862,-2.564365,0.260962
0.020000,1.617233,9.439566,1.634964,2.298617,1.065701,-2.158010,0.272585
0.020000,1.661820,9.452320,1.681339,2.318756,1.006930,-2.938585,0.284658
0.020000,1.706608,9.465728,1.728091,2.337589,0.941669,-3.263015,0.297197
0.020000,1.751541,9.479809,1.775178,2.354376,0.839333,-5.116840,0.310213
0.020000,1.796567,9.494577,1.822565,2.369315,0.746939,-4.619661,0.323716
0.020000,1.841633,9.510048,1.870213,2.382397,0.654127,-4.640639,0.337718
0.020000,1.886686,9.526235,1.918085,2.393636,0.561949,-4.608864,0.352229
0.020000,1.931676,9.543154,1.966152,2.403307,0.483560,-3.919487,0.367258
0.020000,1.976546,9.560816,2.014372,2.411044,0.386856,-4.835154,0.382813
0.020000,2.021249,9.579234,2.062720,2.417397,0.317643,-3.460674,0.398900
0.020000,2.065732,9.598418,2.111164,2.422165,0.238388,-3.962770,0.415525
0.020000,2.109946,9.618379,2.159675,2.425561,0.169793,-3.429717,0.432689
0.020000,2.153845,9.639126,2.208229,2.427722,0.108067,-3.086326,0.450395
0.020000,2.197384,9.660669,2.256807,2.428874,0.057566,-2.525060,0.468640
0.020000,2.240521,9.683016,2.305388,2.429077,0.010154,-2.370558,0.487421
0.020000,2.283215,9.706175,2.353960,2.428568,-0.025459,-1.780645,0.506728
0.020000,2.325430,9.730156,2.402511,2.427551,-0.050809,-1.267511,0.526551
0.020000,2.367135,9.754967,2.451038,2.426356,-0.059777,-0.448395,0.546877
0.020000,2.408299,9.780617,2.499539,2.425066,-0.064511,-0.236731,0.567685
0.020000,2.448897,9.807115,2.548019,2.424011,-0.052752,0.587974,0.588954
0.020000,2.488907,9.834474,2.596489,2.423505,-0.025267,1.374236,0.610657
0.020000,2.528311,9.862705,2.644963,2.423691,0.009302,1.728429,0.632762
0.020000,2.567096,9.891822,2.693461,2.424895,0.060167,2.543283,0.655235
0.020000,2.605251,9.921841,2.742009,2.427413,0.125916,3.287457,0.678036
0.020000,2.642769,9.952778,2.790638,2.431402,0.199459,3.677159,0.701123
0.020000,2.679645,9.984652,2.839380,2.437110,0.285409,4.297489,0.724449
0.020000,2.715877,10.017484,2.888275,2.444741,0.381532,4.806138,0.747964
0.020000,2.751466,10.051295,2.937363,2.454442,0.485071,5.176949,0.771617
0.020000,2.786411,10.086108,2.986690,2.466329,0.594329,5.462888,0.795354
0.020000,2.820716,10.121945,3.036299,2.480476,0.707370,5.652074,0.819119
0.020000,2.854381,10.158830,3.086238,2.496918,0.822090,5.735985,0.842858
0.020000,2.887408,10.196785,3.136551,2.515644,0.936288,5.709898,0.866513
0.020000,2.919798,10.235831,3.187283,2.536599,1.047750,5.573097,0.890032
0.020000,2.951551,10.275988,3.238477,2.559694,1.154746,5.349831,0.913361
0.020000,2.982666,10.317271,3.290172,2.584764,1.253535,4.939420,0.936450
0.020000,3.013138,10.359694,3.342405,2.611653,1.344432,4.544878,0.959249
0.020000,3.042964,10.403267,3.395208,2.640148,1.424721,4.014425,0.981716
0.020000,3.072139,10.447993,3.448608,2.670023,1.493790,3.453438,1.003809
0.020000,3.100654,10.493874,3.502629,2.701021,1.549865,2.803779,1.025490
0.020000,3.128504,10.540905,3.557287,2.732892,1.593570,2.185230,1.046728
0.020000,3.155678,10.589076,3.612594,2.765369,1.623850,1.513993,1.067493
0.020000,3.182169,10.638372,3.668557,2.798161,1.639601,0.787560,1.087762
0.020000,3.207965,10.688766,3.725170,2.830632,1.623565,-0.801795,1.107512
0.020000,3.233052,10.740226,3.782419,2.862479,1.592341,-1.561199,1.126723
0.020000,3.257426,10.792721,3.840297,2.893870,1.569547,-1.139693,1.145384
0.020000,3.281079,10.846218,3.898789,2.924606,1.536814,-1.636663,1.163488
0.020000,3.304006,10.900678,3.957878,2.954460,1.492698,-2.205795,1.181029
0.020000,3.326205,10.956059,4.017543,2.983243,1.439115,-2.679143,1.198005
0.020000,3.347672,11.012318,4.077759,3.010777,1.376721,-3.119708,1.214418
0.020000,3.368407,11.069408,4.138497,3.036931,1.307701,-3.451017,1.230270
0.020000,3.388412,11.127279,4.199729,3.061573,1.232080,-3.781014,1.245568
0.020000,3.407689,11.185881,4.261420,3.084569,1.149827,-4.112689,1.260318
0.020000,3.426243,11.245162,4.323537,3.105841,1.063606,-4.311027,1.274529
0.020000,3.444080,11.305070,4.386043,3.125316,0.973748,-4.492922,1.288210
0.020000,3.461206,11.365550,4.448902,3.142929,0.880625,-4.656130,1.301375
0.020000,3.477633,11.426549,4.512073,3.158584,0.782764,-4.893047,1.314033
0.020000,3.493368,11.488012,4.575519,3.172287,0.685141,-4.881177,1.326198
0.020000,3.508426,11.549886,4.639199,3.183997,0.585479,-4.983082,1.337883
0.020000,3.522817,11.612118,4.703073,3.193690,0.484672,-5.040322,1.349101
0.020000,3.536557,11.674653,4.767099,3.201317,0.381348,-5.166237,1.359866
0.020000,3.549659,11.737439,4.831238,3.206944,0.281378,-4.998507,1.370191
0.020000,3.562140,11.800425,4.895449,3.210521,0.178837,-5.127033,1.380091
0.020000,3.574016,11.863559,4.959690,3.212056,0.076719,-5.105896,1.389579
0.020000,3.585302,11.926790,5.023921,3.211561,-0.024744,-5.073162,1.398668
0.020000,3.596018,11.990071,5.088102,3.209053,-0.125365,-5.031060,1.407373
0.020000,3.606180,12.053351,5.152193,3.204553,-0.224997,-4.981598,1.415705
0.020000,3.615806,12.116584,5.216154,3.198068,-0.324276,-4.963931,1.423679
0.020000,3.624915,12.179722,5.279946,3.189572,-0.424798,-5.026099,1.431306
0.020000,3.633525,12.242720,5.343530,3.179209,-0.518132,-4.666687,1.438598
0.020000,3.641653,12.305533,5.406867,3.166825,-0.619230,-5.054896,1.445569
0.020000,3.649318,12.368117,5.469919,3.152607,-0.710890,-4.583022,1.452229
0.020000,3.656539,12.430430,5.532648,3.136489,-0.805875,-4.749262,1.458590
0.020000,3.663333,12.492429,5.595018,3.118496,-0.899663,-4.689393,1.464662
0.020000,3.669719,12.554072,5.656991,3.098655,-0.992071,-4.620415,1.470456
0.020000,3.675713,12.615319,5.718531,3.076992,-1.083113,-4.552092,1.475983
0.020000,3.681333,12.676131,5.779602,3.053536,-1.172814,-4.485026,1.481252
0.020000,3.686597,12.736468,5.840168,3.028312,-1.261209,-4.419734,1.486273
0.020000,3.691520,12.796292,5.900195,3.001326,-1.349294,-4.404289,1.491055
0.020000,3.696120,12.855565,5.959646,2.972561,-1.438248,-4.447698,1.495608
0.020000,3.700412,12.914251,6.018488,2.942120,-1.522042,-4.189710,1.499939
0.020000,3.704412,12.972313,6.076688,2.909962,-1.607910,-4.293373,1.504058
0.020000,3.708135,13.029714,6.134209,2.876084,-1.693929,-4.300948,1.507972
0.020000,3.711596,13.086420,6.191021,2.840573,-1.775507,-4.078909,1.511689
0.020000,3.714809,13.142407,6.247100,2.803958,-1.830758,-2.762558,1.515218
0.020000,3.717790,13.197662,6.302436,2.766809,-1.857439,-1.334035,1.518567
0.020000,3.720553,13.252175,6.357019,2.729121,-1.884412,-1.348647,1.521745
0.020000,3.723110,13.305934,6.410838,2.690975,-1.907326,-1.145711,1.524758
0.020000,3.725475,13.358928,6.463886,2.652379,-1.929797,-1.123565,1.527614
0.020000,3.727660,13.411149,6.516152,2.613297,-1.954091,-1.214668,1.530322
0.020000,3.729677,13.462586,6.567628,2.573832,-1.973236,-0.957253,1.532886
0.020000,3.731536,13.513231,6.618307,2.533962,-1.993506,-1.013508,1.535314
0.020000,3.733247,13.563076,6.668181,2.493698,-2.013181,-0.983764,1.537612
0.020000,3.734821,13.612112,6.717243,2.453064,-2.031737,-0.927806,1.539786
