dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,8.000000,0.000012,0.001170,0.058501,2.925055,0.002544
0.020000,10.000000,8.000000,0.000059,0.003510,0.117002,2.925055,0.002533
0.020000,10.000000,8.000000,0.000164,0.007020,0.175503,2.925055,0.002511
0.020000,10.000000,8.000000,0.000351,0.011700,0.234004,2.925055,0.002470
0.020000,10.000000,8.000000,0.000644,0.017550,0.292505,2.925055,0.002407
0.020000,10.000000,8.000000,0.001065,0.024570,0.351007,2.925055,0.002316
0.020000,10.000000,8.000000,0.001638,0.032761,0.409508,2.925055,0.002192
0.020000,10.000000,8.000000,0.002387,0.042121,0.468009,2.925055,0.002030
0.020000,10.000000,8.000000,0.003335,0.052651,0.526510,2.925055,0.001825
0.020000,10.000000,8.000000,0.004505,0.064351,0.585011,2.925055,0.001573
0.020000,10.000000,8.000000,0.005920,0.077221,0.643512,2.925055,0.001267
0.020000,10.000000,8.000000,0.007605,0.091262,0.702013,2.925055,0.000902
0.020000,10.000000,8.000000,0.009582,0.106472,0.760514,2.925055,0.000475
0.020000,10.000098,8.000000,0.011876,0.122852,0.819015,2.925055,6.283164
0.020000,10.002732,7.999999,0.014508,0.140403,0.877516,2.925055,6.282594
0.020000,10.005728,7.999996,0.017504,0.159123,0.936018,2.925055,6.281946
0.020000,10.009109,7.999991,0.020885,0.179013,0.994519,2.925055,6.281214
0.020000,10.012899,7.999982,0.024676,0.200074,1.053020,2.925055,6.280392
0.020000,10.017124,7.999968,0.028900,0.222304,1.111521,2.925055,6.279476
0.020000,10.021803,7.999949,0.033580,0.245705,1.170022,2.925055,6.278460
0.020000,10.026963,7.999921,0.038739,0.270275,1.228523,2.925055,6.277339
0.020000,10.032626,7.999885,0.044402,0.296016,1.287024,2.925055,6.276108
0.020000,10.038815,7.999837,0.050592,0.322926,1.345525,2.925055,6.274760
0.020000,10.045553,7.999775,0.057331,0.351007,1.404026,2.925055,6.273291
0.020000,10.052867,7.999697,0.064644,0.380257,1.462527,2.925055,6.271695
0.020000,10.060775,7.999599,0.072553,0.410678,1.521029,2.925055,6.269966
0.020000,10.069303,7.999478,0.081083,0.442268,1.579530,2.925055,6.268099
0.020000,10.078476,7.999331,0.090255,0.475029,1.638031,2.925055,6.266088
0.020000,10.088314,7.999152,0.100095,0.508960,1.696532,2.925055,6.263927
0.020000,10.098842,7.998937,0.110626,0.544060,1.755033,2.925055,6.261610
0.020000,10.110083,7.998680,0.121869,0.580331,1.813534,2.925055,6.259132
0.020000,10.122060,7.998376,0.133851,0.617772,1.872035,2.925055,6.256486
0.020000,10.134797,7.998018,0.146592,0.656382,1.930536,2.925055,6.253666
0.020000,10.148315,7.997599,0.160118,0.696163,1.989037,2.925055,6.250666
0.020000,10.162638,7.997110,0.174450,0.737114,2.047538,2.925055,6.247480
0.020000,10.177792,7.996543,0.189614,0.779235,2.106039,2.925055,6.244100
0.020000,10.193797,7.995889,0.205631,0.822525,2.164541,2.925055,6.240522
0.020000,10.210674,7.995136,0.222526,0.866986,2.223042,2.925055,6.236738
0.020000,10.228450,7.994274,0.240323,0.912617,2.281543,2.925055,6.232741
0.020000,10.247145,7.993291,0.259043,0.959418,2.340044,2.925055,6.228526
0.020000,10.266779,7.992173,0.278711,1.007389,2.398545,2.925055,6.224084
0.020000,10.287380,7.990906,0.299350,1.056530,2.457046,2.925055,6.219410
0.020000,10.308967,7.989474,0.320984,1.106841,2.515547,2.925055,6.214496
0.020000,10.331550,7.987862,0.343624,1.157152,2.515547,0.000000,6.209338
0.020000,10.355126,7.986054,0.367270,1.207463,2.515547,-0.000000,6.203935
0.020000,10.379694,7.984033,0.391922,1.257774,2.515547,0.000000,6.198286
0.020000,10.405255,7.981781,0.417581,1.308085,2.515547,0.000000,6.192387
0.020000,10.431803,7.979282,0.444246,1.358395,2.515547,0.000000,6.186239
0.020000,10.459334,7.976516,0.471917,1.408706,2.515547,0.000000,6.179840
0.020000,10.487849,7.973462,0.500594,1.459017,2.515547,0.000000,6.173190
0.020000,10.517342,7.970102,0.530277,1.509328,2.515547,0.000000,6.166286
0.020000,10.547808,7.966414,0.560967,1.559639,2.515547,0.000000,6.159130
0.020000,10.579245,7.962375,0.592663,1.609950,2.515547,0.000000,6.151719
0.020000,10.611648,7.957964,0.625365,1.660261,2.515547,0.000000,6.144055
0.020000,10.645012,7.953158,0.659073,1.710572,2.515547,0.000000,6.136137
0.020000,10.679331,7.947931,0.693788,1.760883,2.515547,0.000000,6.127966
0.020000,10.714599,7.942260,0.729509,1.811194,2.515547,0.000000,6.119542
0.020000,10.750809,7.936120,0.766236,1.861505,2.515547,0.000000,6.110867
0.020000,10.787954,7.929484,0.803969,1.911816,2.515547,0.000000,6.101944
0.020000,10.826026,7.922327,0.842708,1.962127,2.515547,0.000000,6.092773
0.020000,10.865018,7.914621,0.882454,2.012438,2.515547,0.000000,6.083358
0.020000,10.904919,7.906339,0.923206,2.062749,2.515547,-0.000000,6.073702
0.020000,10.945720,7.897453,0.964964,2.113060,2.515547,0.000000,6.063810
0.020000,10.987411,7.887936,1.007728,2.163371,2.515547,-0.000000,6.053685
0.020000,11.029982,7.877758,1.051499,2.213681,2.515547,0.000000,6.043333
0.020000,11.073420,7.866891,1.096275,2.263992,2.515547,-0.000000,6.032760
0.020000,11.117713,7.855306,1.142058,2.314303,2.515547,0.000000,6.021973
0.020000,11.162847,7.842974,1.188848,2.364614,2.515547,-0.000000,6.010979
0.020000,11.208810,7.829867,1.236643,2.414925,2.515547,0.000000,5.999787
0.020000,11.255586,7.815954,1.285445,2.465236,2.515547,0.000000,5.988405
0.020000,11.303160,7.801208,1.335252,2.515547,2.515547,-0.000000,5.976844
0.020000,11.351518,7.785600,1.386066,2.565858,2.515547,0.000000,5.965113
0.020000,11.400641,7.769101,1.437887,2.616169,2.515547,0.000000,5.953225
0.020000,11.450513,7.751685,1.490713,2.666480,2.515547,-0.000000,5.941192
0.020000,11.501117,7.733323,1.544546,2.716791,2.515547,0.000000,5.929027
0.020000,11.552435,7.713989,1.599385,2.767102,2.515547,0.000000,5.916744
0.020000,11.604447,7.693657,1.655230,2.817413,2.515547,-0.000000,5.904357
0.020000,11.657134,7.672302,1.712081,2.867724,2.515547,0.000000,5.891881
0.020000,11.710478,7.649899,1.769939,2.918035,2.515547,-0.000000,5.879332
0.020000,11.764459,7.626427,1.828803,2.968346,2.515547,0.000000,5.866727
0.020000,11.819057,7.601862,1.888673,3.018657,2.515547,0.000000,5.854083
0.020000,11.874252,7.576183,1.949549,3.068968,2.515547,-0.000000,5.841416
0.020000,11.930024,7.549371,2.011432,3.119278,2.515547,0.000000,5.828746
0.020000,11.986353,7.521408,2.074320,3.169589,2.515547,-0.000000,5.816089
0.020000,12.043209,7.492281,2.138203,3.218730,2.457046,-2.925055,5.803466
0.020000,12.100553,7.461987,2.203058,3.266701,2.398545,-2.925055,5.790901
0.020000,12.158345,7.430524,2.268860,3.313502,2.340044,-2.925055,5.778415
0.020000,12.216547,7.397892,2.335586,3.359133,2.281543,-2.925055,5.766030
0.020000,12.275123,7.364096,2.403213,3.403594,2.223042,-2.925055,5.753769
0.020000,12.334038,7.329140,2.471718,3.446885,2.164541,-2.925055,5.741651
0.020000,12.393257,7.293033,2.541077,3.489005,2.106039,-2.925055,5.729698
0.020000,12.452747,7.255785,2.611267,3.529956,2.047538,-2.925055,5.717927
0.020000,12.512478,7.217409,2.682264,3.569737,1.989037,-2.925055,5.706359
0.020000,12.572420,7.177920,2.754044,3.608348,1.930536,-2.925055,5.695009
0.020000,12.632545,7.137334,2.826586,3.645788,1.872035,-2.925055,5.683895
0.020000,12.692827,7.095671,2.899864,3.682059,1.813534,-2.925055,5.673031
0.020000,12.753241,7.052952,2.973856,3.717160,1.755033,-2.925055,5.662434
0.020000,12.813764,7.009199,3.048539,3.751090,1.696532,-2.925055,5.652115
0.020000,12.874376,6.964435,3.123888,3.783851,1.638031,-2.925055,5.642087
0.020000,12.935056,6.918689,3.199881,3.815442,1.579530,-2.925055,5.632363
0.020000,12.995787,6.871985,3.276494,3.845862,1.521029,-2.925055,5.622952
0.020000,13.056554,6.824354,3.353704,3.875113,1.462527,-2.925055,5.613863
0.020000,13.117341,6.775825,3.431487,3.903193,1.404026,-2.925055,5.605106
0.020000,13.178136,6.726428,3.509820,3.930104,1.345525,-2.925055,5.596687
0.020000,13.238927,6.676197,3.588680,3.955844,1.287024,-2.925055,5.588615
0.020000,13.299705,6.625163,3.668042,3.980415,1.228523,-2.925055,5.580895
0.020000,13.360462,6.573362,3.747884,4.003815,1.170022,-2.925055,5.573532
0.020000,13.421190,6.520827,3.828183,4.026045,1.111521,-2.925055,5.566531
0.020000,13.481884,6.467593,3.908915,4.047106,1.053020,-2.925055,5.559896
0.020000,13.542539,6.413698,3.990056,4.066996,0.994519,-2.925055,5.553631
0.020000,13.603153,6.359176,4.071583,4.085717,0.936018,-2.925055,5.547739
0.020000,13.663724,6.304065,4.153473,4.103267,0.877516,-2.925055,5.542222
0.020000,13.724249,6.248403,4.235702,4.119647,0.819015,-2.925055,5.537083
0.020000,13.784730,6.192227,4.318247,4.134858,0.760514,-2.925055,5.532323
0.020000,13.845167,6.135575,4.401084,4.148898,0.702013,-2.925055,5.527943
0.020000,13.905561,6.078486,4.484191,4.161768,0.643512,-2.925055,5.523946
0.020000,13.965916,6.020997,4.567543,4.173468,0.585011,-2.925055,5.520332
0.020000,14.026234,5.963149,4.651118,4.183998,0.526510,-2.925055,5.517102
0.020000,14.086519,5.904979,4.734892,4.193359,0.468009,-2.925055,5.514257
0.020000,14.146776,5.846528,4.818841,4.201549,0.409508,-2.925055,5.511796
0.020000,14.207009,5.787834,4.902942,4.208569,0.351007,-2.925055,5.509722
0.020000,14.267224,5.728936,4.987172,4.214419,0.292505,-2.925055,5.508033
0.020000,14.327425,5.669875,5.071507,4.219099,0.234004,-2.925055,5.506730
0.020000,14.387619,5.610690,5.155924,4.222609,0.175503,-2.925055,5.505815
0.020000,14.447813,5.551420,5.240400,4.224949,0.117002,-2.925055,5.505285
0.020000,14.508008,5.492109,5.324905,4.225645,0.034780,-4.111090,5.505143
0.020000,14.568199,5.432808,5.409402,4.224000,-0.082222,-5.850110,5.505388
0.020000,14.628384,5.373564,5.493854,4.221186,-0.140723,-2.925055,5.506020
0.020000,14.688570,5.314418,5.578238,4.217201,-0.199224,-2.925055,5.507039
0.020000,14.748763,5.255408,5.662530,4.212047,-0.257725,-2.925055,5.508444
0.020000,14.808967,5.196575,5.746708,4.205722,-0.316226,-2.925055,5.510234
0.020000,14.869189,5.137958,5.830747,4.198228,-0.374727,-2.925055,5.512411
0.020000,14.929433,5.079596,5.914625,4.189563,-0.433228,-2.925055,5.514972
0.020000,14.989705,5.021529,5.998318,4.179729,-0.491729,-2.925055,5.517919
0.020000,15.050008,4.963795,6.081803,4.168724,-0.550231,-2.925055,5.521249
0.020000,15.110346,4.906434,6.165055,4.156549,-0.608732,-2.925055,5.524962
0.020000,15.170722,4.849483,6.248053,4.143205,-0.667233,-2.925055,5.529058
0.020000,15.231138,4.792983,6.330772,4.128690,-0.725734,-2.925055,5.533535
0.020000,15.291596,4.736970,6.413189,4.113005,-0.784235,-2.925055,5.538392
0.020000,15.352095,4.681483,6.495280,4.096151,-0.842736,-2.925055,5.543627
0.020000,15.412637,4.626559,6.577023,4.078126,-0.901237,-2.925055,5.549238
0.020000,15.473218,4.572236,6.658394,4.058931,-0.959738,-2.925055,5.555223
0.020000,15.533837,4.518549,6.739369,4.038566,-1.018239,-2.925055,5.561580
0.020000,15.594491,4.465537,6.819925,4.017032,-1.076740,-2.925055,5.568304
0.020000,15.655175,4.413233,6.900038,3.994327,-1.135242,-2.925055,5.575393
0.020000,15.715881,4.361673,6.979686,3.970452,-1.193743,-2.925055,5.582841
0.020000,15.776605,4.310891,7.058845,3.945407,-1.252244,-2.925055,5.590644
0.020000,15.837335,4.260922,7.137491,3.919192,-1.310745,-2.925055,5.598797
0.020000,15.898062,4.211796,7.215601,3.891807,-1.369246,-2.925055,5.607293
0.020000,15.958775,4.163547,7.293151,3.863252,-1.427747,-2.925055,5.616124
0.020000,16.019460,4.116204,7.370119,3.833527,-1.486248,-2.925055,5.625284
0.020000,16.080102,4.069797,7.446481,3.802632,-1.544749,-2.925055,5.634762
0.020000,16.140685,4.024354,7.522213,3.770567,-1.603250,-2.925055,5.644550
0.020000,16.201190,3.979903,7.597292,3.737332,-1.661751,-2.925055,5.654636
0.020000,16.261597,3.936467,7.671694,3.702927,-1.720253,-2.925055,5.665009
0.020000,16.321885,3.894071,7.745397,3.667352,-1.778754,-2.925055,5.675656
0.020000,16.382031,3.852737,7.818377,3.630607,-1.837255,-2.925055,5.686564
0.020000,16.442008,3.812486,7.890610,3.592692,-1.895756,-2.925055,5.697717
0.020000,16.501792,3.773334,7.962073,3.553607,-1.954257,-2.925055,5.709099
0.020000,16.561352,3.735299,8.032742,3.513352,-2.012758,-2.925055,5.720695
0.020000,16.620660,3.698394,8.102595,3.471926,-2.071259,-2.925055,5.732486
0.020000,16.679683,3.662632,8.171608,3.429331,-2.129760,-2.925055,5.744454
0.020000,16.738389,3.628023,8.239757,3.385566,-2.188261,-2.925055,5.756579
0.020000,16.796744,3.594573,8.307019,3.340631,-2.246762,-2.925055,5.768841
0.020000,16.854710,3.562287,8.373370,3.294526,-2.305263,-2.925055,5.781219
0.020000,16.912252,3.531169,8.438788,3.247250,-2.363765,-2.925055,5.793692
0.020000,16.969331,3.501217,8.503248,3.198805,-2.422266,-2.925055,5.806236
0.020000,17.025908,3.472430,8.566728,3.149190,-2.480767,-2.925055,5.818831
0.020000,17.081947,3.444801,8.629209,3.098879,-2.515547,-1.739020,5.831454
0.020000,17.137423,3.418315,8.690683,3.048568,-2.515547,0.000000,5.844085
0.020000,17.192315,3.392953,8.751152,2.998257,-2.515547,-0.000000,5.856707
0.020000,17.246604,3.368697,8.810614,2.947946,-2.515547,0.000000,5.869302
0.020000,17.300270,3.345524,8.869070,2.897635,-2.515547,0.000000,5.881853
0.020000,17.353293,3.323411,8.926519,2.847324,-2.515547,-0.000000,5.894344
0.020000,17.405654,3.302337,8.982963,2.797013,-2.515547,0.000000,5.906757
0.020000,17.457333,3.282276,9.038400,2.746702,-2.515547,-0.000000,5.919078
0.020000,17.508313,3.263203,9.092831,2.696391,-2.515547,0.000000,5.931291
0.020000,17.558574,3.245092,9.146255,2.646080,-2.515547,0.000000,5.943382
0.020000,17.608098,3.227916,9.198674,2.595769,-2.515547,-0.000000,5.955338
0.020000,17.656869,3.211648,9.250086,2.545458,-2.515547,0.000000,5.967146
0.020000,17.704868,3.196261,9.300492,2.495147,-2.515547,-0.000000,5.978793
0.020000,17.752081,3.181726,9.349892,2.444836,-2.515547,0.000000,5.990270
0.020000,17.798491,3.168014,9.398286,2.394525,-2.515547,0.000000,6.001564
0.020000,17.844083,3.155098,9.445673,2.344215,-2.515547,-0.000000,6.012667
0.020000,17.888845,3.142947,9.492054,2.293904,-2.515547,0.000000,6.023570
0.020000,17.932760,3.131533,9.537429,2.243593,-2.515547,0.000000,6.034265
0.020000,17.975818,3.120828,9.581798,2.193282,-2.515547,-0.000000,6.044744
0.020000,18.018005,3.110803,9.625160,2.142971,-2.515547,0.000000,6.055001
0.020000,18.059311,3.101428,9.667517,2.092660,-2.515547,0.000000,6.065030
0.020000,18.099724,3.092677,9.708867,2.042349,-2.515547,-0.000000,6.074827
0.020000,18.139235,3.084520,9.749211,1.992038,-2.515547,0.000000,6.084386
0.020000,18.177833,3.076931,9.788548,1.941727,-2.515547,0.000000,6.093704
0.020000,18.215511,3.069882,9.826880,1.891416,-2.515547,-0.000000,6.102777
0.020000,18.252259,3.063347,9.864205,1.841105,-2.515547,-0.000000,6.111603
0.020000,18.288071,3.057300,9.900524,1.790794,-2.515547,0.000000,6.120181
0.020000,18.322940,3.051714,9.935837,1.740483,-2.515547,0.000000,6.128507
0.020000,18.356857,3.046566,9.970143,1.690172,-2.515547,-0.000000,6.136581
0.020000,18.389819,3.041830,10.003444,1.639861,-2.515547,-0.000000,6.144403
0.020000,18.421819,3.037484,10.035738,1.589550,-2.515547,0.000000,6.151971
0.020000,18.452853,3.033504,10.067026,1.539239,-2.515547,0.000000,6.159285
0.020000,18.482915,3.029868,10.097307,1.488928,-2.515547,0.000000,6.166346
0.020000,18.512002,3.026554,10.126583,1.438618,-2.515547,-0.000000,6.173155
0.020000,18.540111,3.023542,10.154852,1.388307,-2.515547,-0.000000,6.179711
0.020000,18.567236,3.020812,10.182115,1.337996,-2.515547,0.000000,6.186016
0.020000,18.593376,3.018343,10.208372,1.287685,-2.515547,0.000000,6.192071
0.020000,18.618529,3.016119,10.233622,1.237374,-2.515547,-0.000000,6.197876
0.020000,18.642692,3.014120,10.257867,1.187063,-2.515547,-0.000000,6.203434
0.020000,18.665861,3.012331,10.281105,1.136752,-2.515547,0.000000,6.208746
0.020000,18.688036,3.010733,10.303337,1.086441,-2.515547,0.000000,6.213812
0.020000,18.709218,3.009313,10.324567,1.036604,-2.491826,1.186035,6.218637
0.020000,18.729423,3.008053,10.344813,0.987938,-2.433325,2.925055,6.223224
0.020000,18.748675,3.006940,10.364097,0.940441,-2.374824,2.925055,6.227581
0.020000,18.766995,3.005958,10.382442,0.894115,-2.316323,2.925055,6.231715
0.020000,18.784403,3.005095,10.399873,0.848959,-2.257822,2.925055,6.235632
0.020000,18.800926,3.004340,10.416412,0.804972,-2.199321,2.925055,6.239340
0.020000,18.816583,3.003680,10.432083,0.762156,-2.140820,2.925055,6.242844
0.020000,18.831398,3.003107,10.446910,0.720509,-2.082319,2.925055,6.246151
0.020000,18.845395,3.002610,10.460915,0.680033,-2.023818,2.925055,6.249268
0.020000,18.858596,3.002182,10.474123,0.640727,-1.965317,2.925055,6.252201
0.020000,18.871024,3.001814,10.486556,0.602590,-1.906815,2.925055,6.254956
0.020000,18.882702,3.001499,10.498238,0.565624,-1.848314,2.925055,6.257539
0.020000,18.893653,3.001231,10.509193,0.529828,-1.789813,2.925055,6.259956
0.020000,18.903900,3.001005,10.519443,0.495202,-1.731312,2.925055,6.262214
0.020000,18.913467,3.000814,10.529013,0.461745,-1.672811,2.925055,6.264319
0.020000,18.922378,3.000655,10.537925,0.429459,-1.614310,2.925055,6.266275
0.020000,18.930656,3.000522,10.546203,0.398343,-1.555809,2.925055,6.268090
0.020000,18.938322,3.000413,10.553870,0.368397,-1.497308,2.925055,6.269768
0.020000,18.945401,3.000323,10.560950,0.339621,-1.438807,2.925055,6.271316
0.020000,18.951918,3.000251,10.567467,0.312015,-1.380306,2.925055,6.272739
0.020000,18.957892,3.000192,10.573443,0.285578,-1.321805,2.925055,6.274042
0.020000,18.963352,3.000146,10.578901,0.260312,-1.263303,2.925055,6.275232
0.020000,18.968317,3.000109,10.583867,0.236216,-1.204802,2.925055,6.276313
0.020000,18.972812,3.000080,10.588362,0.213290,-1.146301,2.925055,6.277290
0.020000,18.976861,3.000058,10.592410,0.191534,-1.087800,2.925055,6.278170
0.020000,18.980484,3.000041,10.596035,0.170948,-1.029299,2.925055,6.278957
0.020000,18.983709,3.000029,10.599260,0.151532,-0.970798,2.925055,6.279657
0.020000,18.986558,3.000020,10.602108,0.133286,-0.912297,2.925055,6.280275
0.020000,18.989054,3.000013,10.604603,0.116211,-0.853796,2.925055,6.280815
0.020000,18.991218,3.000008,10.606768,0.100305,-0.795295,2.925055,6.281284
0.020000,18.993076,3.000005,10.608627,0.085569,-0.736794,2.925055,6.281687
0.020000,18.994652,3.000003,10.610202,0.072003,-0.678292,2.925055,6.282028
0.020000,18.995968,3.000002,10.611519,0.059607,-0.619791,2.925055,6.282313
0.020000,18.997048,3.000001,10.612598,0.048381,-0.561290,2.925055,6.282547
0.020000,18.997916,3.000000,10.613466,0.038325,-0.502789,2.925055,6.282734
0.020000,18.998594,3.000000,10.614143,0.029440,-0.444288,2.925055,6.282881
0.020000,18.999105,3.000000,10.614655,0.021724,-0.385787,2.925055,6.282992
0.020000,18.999475,3.000000,10.615024,0.015178,-0.327286,2.925055,6.283072
0.020000,18.999725,3.000000,10.615274,0.009803,-0.268785,2.925055,6.283126
0.020000,18.999879,3.000000,10.615428,0.005597,-0.210284,2.925055,6.283159
0.020000,18.999960,3.000000,10.615509,0.002561,-0.151783,2.925055,6.283177
0.020000,18.999993,3.000000,10.615542,0.000696,-0.093281,2.925055,6.283184
0.020000,19.000000,3.000000,10.615549,0.000000,-0.034780,2.925055,6.283185
0.020000,19.000000,3.000000,10.615549,0.000000,0.000000,1.739020,6.283185
