dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,8.000000,0.000012,0.001180,0.059025,2.951235,6.281779
0.020000,0.000000,8.000000,0.000059,0.003541,0.118049,2.951235,6.281784
0.020000,0.000000,8.000000,0.000165,0.007083,0.177074,2.951235,6.281794
0.020000,0.000000,8.000000,0.000354,0.011805,0.236099,2.951235,6.281812
0.020000,0.000000,8.000000,0.000649,0.017707,0.295123,2.951235,6.281840
0.020000,0.000000,8.000000,0.001074,0.024790,0.354148,2.951235,6.281880
0.020000,0.000000,8.000000,0.001653,0.033054,0.413173,2.951235,6.281935
0.020000,0.000000,8.000000,0.002408,0.042498,0.472198,2.951235,6.282007
0.020000,0.000000,8.000000,0.003364,0.053122,0.531222,2.951235,6.282098
0.020000,0.000000,8.000000,0.004545,0.064927,0.590247,2.951235,6.282210
0.020000,0.000000,8.000000,0.005973,0.077913,0.649272,2.951235,6.282346
0.020000,0.000000,8.000000,0.007673,0.092079,0.708296,2.951235,6.282507
0.020000,0.000000,8.000000,0.009668,0.107425,0.767321,2.951235,6.282697
0.020000,0.000000,8.000000,0.011982,0.123952,0.826346,2.951235,6.282917
0.020000,0.000000,8.000000,0.014638,0.141659,0.885370,2.951235,6.283170
0.020000,0.002862,8.000000,0.017660,0.160547,0.944395,2.951235,0.000273
0.020000,0.006275,8.000002,0.021072,0.180616,1.003420,2.951235,0.000598
0.020000,0.010100,8.000005,0.024897,0.201864,1.062445,2.951235,0.000963
0.020000,0.014359,8.000010,0.029158,0.224294,1.121469,2.951235,0.001371
0.020000,0.019083,8.000017,0.033880,0.247904,1.180494,2.951235,0.001823
0.020000,0.024289,8.000028,0.039086,0.272694,1.239519,2.951235,0.002322
0.020000,0.030000,8.000043,0.044800,0.298665,1.298543,2.951235,0.002871
0.020000,0.036248,8.000063,0.051045,0.325816,1.357568,2.951235,0.003473
0.020000,0.043045,8.000089,0.057844,0.354148,1.416593,2.951235,0.004128
0.020000,0.050426,8.000122,0.065222,0.383661,1.475617,2.951235,0.004842
0.020000,0.058403,8.000163,0.073202,0.414353,1.534642,2.951235,0.005616
0.020000,0.067011,8.000215,0.081808,0.446227,1.593667,2.951235,0.006453
0.020000,0.076265,8.000279,0.091063,0.479281,1.652691,2.951235,0.007355
0.020000,0.086192,8.000357,0.100991,0.513515,1.711716,2.951235,0.008327
0.020000,0.096818,8.000451,0.111616,0.548930,1.770741,2.951235,0.009370
0.020000,0.108162,8.000564,0.122960,0.585525,1.829766,2.951235,0.010488
0.020000,0.120248,8.000698,0.135049,0.623301,1.888790,2.951235,0.011684
0.020000,0.133101,8.000856,0.147904,0.662257,1.947815,2.951235,0.012961
0.020000,0.146746,8.001042,0.161551,0.702394,2.006840,2.951235,0.014323
0.020000,0.161205,8.001260,0.176012,0.743711,2.065864,2.951235,0.015773
0.020000,0.176503,8.001513,0.191311,0.786209,2.124889,2.951235,0.017315
0.020000,0.192663,8.001806,0.207472,0.829887,2.183914,2.951235,0.018953
0.020000,0.209707,8.002144,0.224518,0.874746,2.242938,2.951235,0.020690
0.020000,0.227658,8.002532,0.242473,0.920785,2.301963,2.951235,0.022531
0.020000,0.246538,8.002976,0.261361,0.968005,2.360988,2.951235,0.024479
0.020000,0.266378,8.003482,0.281205,1.016405,2.420013,2.951235,0.026540
0.020000,0.287181,8.004057,0.302018,1.064806,2.420013,0.000000,0.028717
0.020000,0.308952,8.004707,0.323798,1.113206,2.420013,-0.000000,0.031012
0.020000,0.331687,8.005440,0.346546,1.161606,2.420013,0.000000,0.033426
0.020000,0.355391,8.006263,0.370262,1.210006,2.420013,0.000000,0.035965
0.020000,0.380058,8.007183,0.394946,1.258407,2.420013,0.000000,0.038629
0.020000,0.405688,8.008209,0.420598,1.306807,2.420013,-0.000000,0.041421
0.020000,0.432283,8.009350,0.447218,1.355207,2.420013,0.000000,0.044346
0.020000,0.459842,8.010616,0.474806,1.403607,2.420013,0.000000,0.047406
0.020000,0.488364,8.012014,0.503363,1.452008,2.420013,-0.000000,0.050604
0.020000,0.517849,8.013557,0.532887,1.500408,2.420013,0.000000,0.053946
0.020000,0.548295,8.015254,0.563379,1.548808,2.420013,-0.000000,0.057433
0.020000,0.579698,8.017117,0.594839,1.597208,2.420013,0.000000,0.061071
0.020000,0.612062,8.019157,0.627267,1.645609,2.420013,-0.000000,0.064863
0.020000,0.645385,8.021388,0.660663,1.694009,2.420013,0.000000,0.068815
0.020000,0.679661,8.023821,0.695028,1.742409,2.420013,-0.000000,0.072930
0.020000,0.714894,8.026471,0.730360,1.790809,2.420013,0.000000,0.077215
0.020000,0.751081,8.029352,0.766660,1.839210,2.420013,0.000000,0.081674
0.020000,0.788217,8.032478,0.803928,1.887610,2.420013,-0.000000,0.086313
0.020000,0.826303,8.035866,0.842164,1.936010,2.420013,0.000000,0.091139
0.020000,0.865335,8.039532,0.881369,1.984410,2.420013,0.000000,0.096156
0.020000,0.905312,8.043492,0.921541,2.032811,2.420013,0.000000,0.101372
0.020000,0.946230,8.047766,0.962681,2.081211,2.420013,-0.000000,0.106793
0.020000,0.988085,8.052372,1.004789,2.129611,2.420013,0.000000,0.112428
0.020000,1.030873,8.057330,1.047865,2.178011,2.420013,-0.000000,0.118282
