dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001758,6.750001,0.000012,0.001180,0.059025,2.951235,6.281779
0.020000,-0.001752,6.750001,0.000017,0.000280,-0.045015,-5.201995,6.281784
0.020000,-0.001739,6.750001,0.000030,0.000630,0.017512,3.126378,6.281794
0.020000,-0.001717,6.750001,0.000052,0.001121,0.024519,0.350315,6.281812
0.020000,-0.001682,6.750001,0.000087,0.001751,0.031527,0.350419,6.281840
0.020000,-0.001631,6.750001,0.000138,0.002522,0.038539,0.350589,6.281880
0.020000,-0.001563,6.750001,0.000207,0.003433,0.045556,0.350841,6.281935
0.020000,-0.001473,6.750001,0.000296,0.004485,0.052580,0.351194,6.282007
0.020000,-0.001360,6.750001,0.000410,0.005677,0.059613,0.351662,6.282098
0.020000,-0.001219,6.750001,0.000550,0.007010,0.066658,0.352262,6.282210
0.020000,-0.001050,6.750000,0.000720,0.008485,0.073718,0.353013,6.282346
0.020000,-0.000848,6.750000,0.000922,0.010101,0.080797,0.353929,6.282507
0.020000,-0.000610,6.750000,0.001159,0.011858,0.087897,0.355029,6.282697
0.020000,-0.000335,6.750000,0.001434,0.013759,0.095024,0.356329,6.282917
0.020000,-0.000019,6.750000,0.001750,0.015803,0.102181,0.357846,6.283170
0.020000,0.003203,6.750000,0.004973,0.161130,7.266373,358.209629,0.000273
0.020000,0.007023,6.750002,0.008792,0.190988,1.492890,-288.674191,0.000598
0.020000,0.011304,6.750005,0.013073,0.214042,1.152710,-17.009001,0.000963
0.020000,0.016072,6.750011,0.017841,0.238391,1.217437,3.236369,0.001371
0.020000,0.021362,6.750019,0.023131,0.264503,1.305612,4.408768,0.001823
0.020000,0.027192,6.750032,0.028962,0.291525,1.351090,2.273887,0.002322
0.020000,0.033589,6.750048,0.035358,0.319830,1.415249,3.207923,0.002871
0.020000,0.040589,6.750070,0.042358,0.349996,1.508305,4.652811,0.003473
0.020000,0.048206,6.750099,0.049975,0.380849,1.542631,1.716321,0.004128
0.020000,0.056478,6.750136,0.058248,0.413640,1.639589,4.847890,0.004842
0.020000,0.065422,6.750183,0.067192,0.447203,1.678141,1.927575,0.005616
0.020000,0.075077,6.750241,0.076847,0.482762,1.777952,4.990561,0.006453
0.020000,0.085459,6.750313,0.087229,0.519088,1.816292,1.917014,0.007355
0.020000,0.096600,6.750400,0.098371,0.557091,1.900130,4.191905,0.008327
0.020000,0.108530,6.750506,0.110301,0.596518,1.971347,3.560836,0.009370
0.020000,0.121271,6.750633,0.123043,0.637092,2.028737,2.869489,0.010488
0.020000,0.134853,6.750783,0.136625,0.679102,2.100474,3.586886,0.011684
0.020000,0.149302,6.750961,0.151076,0.722541,2.171977,3.575133,0.012961
0.020000,0.164649,6.751171,0.166424,0.767405,2.243192,3.560756,0.014323
0.020000,0.180921,6.751415,0.182698,0.813686,2.314066,3.543683,0.015773
0.020000,0.198146,6.751700,0.199925,0.861377,2.384543,3.523848,0.017315
0.020000,0.216353,6.752031,0.218135,0.910469,2.454567,3.501191,0.018953
0.020000,0.235568,6.752411,0.237354,0.960950,2.524080,3.475657,0.020690
0.020000,0.255819,6.752849,0.257610,1.012811,2.593024,3.447200,0.022531
0.020000,0.277134,6.753350,0.278931,1.066037,2.661339,3.415785,0.024479
0.020000,0.299550,6.753922,0.301353,1.121137,2.754994,4.682725,0.026540
0.020000,0.323072,6.754572,0.324885,1.176595,2.772898,0.895199,0.028717
0.020000,0.347711,6.755308,0.349534,1.232453,2.792875,0.998853,0.031012
0.020000,0.373462,6.756138,0.375299,1.288225,2.788601,-0.213676,0.033426
0.020000,0.400337,6.757071,0.402190,1.344570,2.817258,1.432847,0.035965
0.020000,0.428331,6.758115,0.430204,1.400696,2.806292,-0.548324,0.038629
0.020000,0.457450,6.759281,0.459346,1.457093,2.819870,0.678916,0.041421
0.020000,0.487697,6.760579,0.489621,1.513747,2.832667,0.639858,0.044346
0.020000,0.519077,6.762020,0.521034,1.570640,2.844676,0.600420,0.047406
0.020000,0.551593,6.763615,0.553589,1.627758,2.855890,0.560692,0.050604
0.020000,0.585248,6.765375,0.587291,1.685084,2.866305,0.520767,0.053946
0.020000,0.620046,6.767315,0.622143,1.742602,2.875920,0.480748,0.057433
0.020000,0.655989,6.769447,0.658149,1.800297,2.884735,0.440743,0.061071
0.020000,0.693084,6.771786,0.695317,1.858408,2.905535,1.040013,0.064863
0.020000,0.731335,6.774346,0.733654,1.916853,2.922252,0.835863,0.068815
0.020000,0.770743,6.777144,0.773161,1.975368,2.925747,0.174726,0.072930
0.020000,0.811317,6.780195,0.813849,2.034411,2.952162,1.320738,0.077215
0.020000,0.853060,6.783518,0.855725,2.093775,2.968213,0.802554,0.081674
0.020000,0.895975,6.787131,0.898792,2.153335,2.978007,0.489734,0.086313
0.020000,0.940068,6.791054,0.943058,2.213342,3.000339,1.116572,0.091139
0.020000,0.985344,6.795306,0.988534,2.273780,3.021869,1.076508,0.096156
0.020000,1.031810,6.799910,1.035227,2.334631,3.042592,1.036175,0.101372
0.020000,1.079468,6.804888,1.083144,2.395882,3.062508,0.995756,0.106793
0.020000,1.128323,6.810264,1.132295,2.457514,3.081616,0.955443,0.112428
0.020000,1.178381,6.816064,1.182687,2.519623,3.105436,1.190987,0.118282
0.020000,1.229652,6.822314,1.234337,2.582515,3.144637,1.960024,0.124365
0.020000,1.282131,6.829043,1.287247,2.645463,3.147398,0.138086,0.130684
0.020000,1.335834,6.836280,1.341434,2.709394,3.196539,2.457055,0.137250
0.020000,1.390759,6.844057,1.396908,2.773684,3.214503,0.898161,0.144070
0.020000,1.446913,6.852406,1.453679,2.838552,3.243390,1.444361,0.151154
0.020000,1.504301,6.861363,1.511761,2.904111,3.277962,1.728632,0.158512
0.020000,1.562927,6.870964,1.571168,2.970343,3.311603,1.682027,0.166156
0.020000,1.622794,6.881248,1.631913,3.037229,3.344298,1.634750,0.174096
0.020000,1.683906,6.892255,1.694008,3.104750,3.376039,1.587034,0.182343
0.020000,1.746272,6.904030,1.757476,3.173397,3.432374,2.816775,0.190911
0.020000,1.809885,6.916618,1.822322,3.242329,3.446588,0.710672,0.199810
0.020000,1.874757,6.930067,1.888574,3.312559,3.511483,3.244763,0.209056
0.020000,1.940882,6.944427,1.956239,3.383294,3.536737,1.262726,0.218661
0.020000,2.008261,6.959751,2.025340,3.455015,3.586047,2.465477,0.228639
0.020000,2.076895,6.976097,2.095894,3.527690,3.633764,2.385847,0.239005
0.020000,2.146781,6.993524,2.167919,3.601286,3.679794,2.301495,0.249775
0.020000,2.217913,7.012093,2.241435,3.675767,3.724041,2.212365,0.260962
0.020000,2.290288,7.031871,2.316464,3.751460,3.784696,3.032755,0.272585
0.020000,2.363894,7.052925,2.393022,3.827915,3.822750,1.902694,0.284658
0.020000,2.438712,7.075326,2.471121,3.904946,3.851531,1.439028,0.297197
0.020000,2.514694,7.099137,2.550747,3.981298,3.817576,-1.697732,0.310213
0.020000,2.591797,7.124427,2.631892,4.057235,3.796882,-1.034690,0.323716
0.020000,2.669972,7.151265,2.714545,4.132654,3.770936,-1.297319,0.337718
0.020000,2.749164,7.179720,2.798694,4.207451,3.739834,-1.555089,0.352229
0.020000,2.829321,7.209866,2.884333,4.281955,3.725239,-0.729746,0.367258
0.020000,2.910374,7.241772,2.971439,4.355319,3.668181,-2.852920,0.382813
0.020000,2.992261,7.275512,3.060005,4.428284,3.648265,-0.995774,0.398900
0.020000,3.074906,7.311156,3.150009,4.500203,3.595911,-2.617714,0.415525
0.020000,3.158230,7.348775,3.241431,4.571121,3.545927,-2.499221,0.432689
0.020000,3.242147,7.388438,3.334249,4.640900,3.488967,-2.847985,0.450395
0.020000,3.326568,7.430211,3.428440,4.709516,3.430772,-2.909736,0.468640
0.020000,3.411392,7.474156,3.523971,4.776574,3.352881,-3.894557,0.487421
0.020000,3.496512,7.520333,3.620810,4.841957,3.269193,-4.184408,0.506728
0.020000,3.581817,7.568793,3.718919,4.905441,3.174173,-4.751008,0.526551
0.020000,3.667191,7.619585,3.818259,4.966999,3.077899,-4.813702,0.546877
0.020000,3.752504,7.672747,3.918781,5.026069,2.953507,-6.219566,0.567685
0.020000,3.837626,7.728310,4.020432,5.082552,2.824161,-6.467337,0.588954
0.020000,3.922421,7.786295,4.123158,5.136304,2.687568,-6.829635,0.610657
0.020000,4.006748,7.846713,4.226894,5.186804,2.525008,-8.127980,0.632762
0.020000,4.090460,7.909560,4.331572,5.233929,2.356279,-8.436464,0.655235
0.020000,4.173414,7.974826,4.437123,5.277529,2.179962,-8.815834,0.678036
0.020000,4.255460,8.042483,4.543467,5.317188,1.982984,-9.848933,0.701123
0.020000,4.336452,8.112491,4.650522,5.352760,1.778605,-10.218950,0.724449
0.020000,4.416247,8.184797,4.758204,5.384087,1.566329,-10.613776,0.747964
0.020000,4.494704,8.259335,4.866423,5.410993,1.345330,-11.049969,0.771617
0.020000,4.571690,8.336027,4.975090,5.433351,1.117877,-11.372625,0.795354
0.020000,4.647077,8.414783,5.084112,5.451078,0.886353,-11.576220,0.819119
0.020000,4.720749,8.495500,5.193395,5.464142,0.653183,-11.658510,0.842858
0.020000,4.792598,8.578066,5.302846,5.472557,0.420770,-11.620645,0.866513
0.020000,4.862528,8.662364,5.412374,5.476386,0.191428,-11.467111,0.890032
0.020000,4.930457,8.748267,5.521889,5.475750,-0.031788,-11.160804,0.913361
0.020000,4.996313,8.835643,5.631304,5.470738,-0.250619,-10.941509,0.936450
0.020000,5.060040,8.924357,5.740535,5.461562,-0.458778,-10.407952,0.959249
0.020000,5.121594,9.014275,5.849503,5.448416,-0.657323,-9.927269,0.981716
0.020000,5.180945,9.105259,5.958134,5.431540,-0.843759,-9.321795,1.003809
0.020000,5.238076,9.197174,6.066357,5.411162,-1.018941,-8.759114,1.025490
0.020000,5.292980,9.289888,6.174108,5.387565,-1.179807,-8.043305,1.046728
0.020000,5.345664,9.383272,6.281329,5.361013,-1.327636,-7.391438,1.067493
0.020000,5.396144,9.477201,6.387963,5.331723,-1.464464,-6.841416,1.087762
0.020000,5.444438,9.571544,6.493948,5.299267,-1.622797,-7.916642,1.107512
0.020000,5.490575,9.666173,6.599226,5.263856,-1.770571,-7.388689,1.126723
0.020000,5.534598,9.760981,6.703756,5.226517,-1.866934,-4.818169,1.145384
0.020000,5.576555,9.855870,6.807506,5.187523,-1.949719,-4.139216,1.163488
0.020000,5.616500,9.950744,6.910447,5.147042,-2.024027,-3.715399,1.181029
0.020000,5.654491,10.045519,7.012553,5.105263,-2.088977,-3.247503,1.198005
0.020000,5.690588,10.140112,7.113799,5.062342,-2.146041,-2.853200,1.214418
0.020000,5.724855,10.234450,7.214169,5.018459,-2.194130,-2.404482,1.230270
0.020000,5.757357,10.328466,7.313643,4.973744,-2.235783,-2.082623,1.245568
0.020000,5.788158,10.422095,7.412209,4.928276,-2.273370,-1.879356,1.260318
0.020000,5.817325,10.515281,7.509853,4.882181,-2.304779,-1.570453,1.274529
0.020000,5.844924,10.607970,7.606564,4.835549,-2.331613,-1.341689,1.288210
0.020000,5.871019,10.700115,7.702332,4.788445,-2.355165,-1.177583,1.301375
0.020000,5.895675,10.791671,7.797150,4.740860,-2.379260,-1.204748,1.314033
0.020000,5.918955,10.882596,7.891008,4.692904,-2.397811,-0.927598,1.326198
0.020000,5.940921,10.972853,7.983900,4.644591,-2.415638,-0.891329,1.337883
0.020000,5.961632,11.062408,8.075818,4.595941,-2.432518,-0.843978,1.349101
